time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,shield/stage,shield/transition_timestep,shield/delta
7,49152,61.46,6668,0.6120508313179016,1,,,,,,,,,,,,,
18,98304,54.92,5249,0.6429179906845093,2,0.013156469,0.108642578125,-1.933006539195776,0.0003,-0.0004553794860839844,0.011916148780680183,10,0.2,-0.009090151832909517,-0.005444438196718693,,,
32,147456,57.44,4602,0.5406327843666077,3,0.016410267,0.21136881510416666,-1.8916252504413327,0.0003,0.7030575275421143,0.013822175182576757,20,0.2,-0.020063168836107554,0.018045879900455475,0,100008,0.75
43,196608,47.93,4530,0.6506718993186951,4,0.01323017,0.17786865234375,-1.8445962571228545,0.0003,0.6947945356369019,0.012810878265008796,30,0.2,-0.017034707682493416,-0.026703890413045883,,,
57,245760,59.82,4291,0.4908789098262787,5,0.014666419,0.22349039713541666,-1.7677473800256849,0.0003,0.7011998891830444,0.013256259258681288,40,0.2,-0.02207804501874004,-0.005620535463094711,1,200016,0.5
68,294912,37.53,4283,0.5064101219177246,6,0.0135278525,0.177618408203125,-1.6955913338189323,0.0003,0.5841333866119385,0.015152419437557303,50,0.2,-0.016755307588149058,0.013333206996321678,,,
83,344064,42.21,4136,0.382210910320282,7,0.013134145,0.2035888671875,-1.6002983355894684,0.0003,0.5772493481636047,0.016411545257627343,60,0.2,-0.018776241954886547,-0.010468784719705582,2,300000,0.25
95,393216,36.11,4125,0.517464816570282,8,0.013746743,0.17547403971354167,-1.542373118425409,0.0003,0.5365853309631348,0.018518335724365897,70,0.2,-0.014152177437426871,0.009363329038023949,,,
108,442368,14.0,4078,0.06910156458616257,9,0.013753705,0.1964599609375,-1.4700399428606032,0.0003,0.5795230865478516,0.018054879390789817,80,0.2,-0.016708094155425592,-0.009790291078388691,3,400008,0.0
119,491520,20.32,4127,0.11155858635902405,10,0.0176305,0.2590230305989583,-1.4244817210361362,0.0003,0.300275981426239,0.02868602848611772,90,0.2,-0.02523624226608566,-0.017120979726314545,,,
131,540672,23.82,4113,0.21608984470367432,11,0.026125995,0.285064697265625,-1.3638470975061259,0.0003,0.4510754346847534,0.023706537027222415,100,0.2,-0.030417101296188777,-0.016408855095505714,,,
