shield/constant_delta,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,shield/stage,shield/ignore_prob,shield/transition_timestep
0.9,49152,6161,153.11,0.3317222595214844,7,1,,,,,,,,,,,,,
,98304,5055,130.9,0.4541389048099518,19,2,-0.005133320125363146,0.006289843038878947,-0.01386343128979206,0.2,10,-0.018370985984802246,-1.9327101231863102,0.015073386,0.08365071614583333,0.0003,,,
,147456,4372,114.27,0.5408889055252075,33,3,-0.007393950949275071,0.008644041359366384,0.001947662327438593,0.2,20,0.516497015953064,-1.8858036221315464,0.016138228,0.091754150390625,0.0003,0,0.25,100008
,196608,4312,94.02,0.5675833225250244,45,4,-0.008258069584614228,0.010990024417696986,0.01599842868745327,0.2,30,0.6215436458587646,-1.824509461224079,0.011764833,0.10310872395833333,0.0003,,,
,245760,4084,85.25,0.6039167046546936,60,5,-0.0077051099461338405,0.013366314844461158,-0.008781803771853447,0.2,40,0.6547809839248657,-1.7722359984492262,0.010462508,0.08692423502604167,0.0003,1,0.5,200016
,294912,4092,67.79,0.6784443855285645,72,6,-0.009175913653901564,0.013015739132727806,-0.0021823844872415066,0.2,50,0.6631549000740051,-1.6925948622326057,0.011377302,0.11970418294270833,0.0003,,,
,344064,3967,62.44,0.6967499256134033,86,7,-0.008526405826705741,0.013029608418097876,-0.0034649367444217205,0.2,60,0.6575360298156738,-1.6082486207907398,0.01034644,0.11687825520833334,0.0003,2,0.75,300000
,393216,3976,62.58,0.7135277390480042,98,8,-0.007724011711131121,0.012944656198184627,-0.009110170416533947,0.2,70,0.6443326473236084,-1.5144794835398594,0.009955826,0.11485392252604167,0.0003,,,
,442368,3884,55.27,0.6860833168029785,113,9,-0.00726866927507217,0.01257589702339222,0.01633489690721035,0.2,80,0.6264233589172363,-1.41969785541296,0.010611102,0.111004638671875,0.0003,3,1,400008
,491520,3889,49.86,0.6884722709655762,126,10,-0.004440933524589733,0.011245595789660001,0.003649513702839613,0.2,90,0.6131008267402649,-1.343769777007401,0.008979649,0.08704833984375,0.0003,,,
,540672,3814,50.36,0.7349444031715393,141,11,-0.004360319233743818,0.011204684298475816,0.004719769116491079,0.2,100,0.5877045392990112,-1.273954149025182,0.008144346,0.08294270833333334,0.0003,,,
