shield/constant_delta,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,shield/stage,shield/ignore_prob,shield/transition_timestep
0.9,49152,7096,233.7,0.061964284628629684,6,1,,,,,,,,,,,,,
,98304,5760,215.03,0.13946428894996643,17,2,-0.002637503210038024,0.0008698077328593475,0.011702785268425941,0.2,10,-0.035694241523742676,-1.9411256213362018,0.005737037,0.0328369140625,0.0003,,,
,147456,4959,193.65,0.2733928859233856,29,3,-0.00721491993778424,0.0016353105509400241,-0.01792248524725437,0.2,20,0.2943342924118042,-1.9292259762063622,0.01038825,0.09383138020833333,0.0003,0,0.25,100008
,196608,4902,156.45,0.41632145643234253,40,4,-0.010035500938950765,0.0036510883257506064,-0.013183627277612686,0.2,30,0.4025697112083435,-1.8996853149185577,0.010009454,0.129107666015625,0.0003,,,
,245760,4661,104.7,0.6117499470710754,52,5,-0.01288753784247092,0.006493849049608495,-0.019243814051151276,0.2,40,0.5067976713180542,-1.8582489214837552,0.013135421,0.15220540364583332,0.0003,1,0.5,200016
,294912,4665,82.95,0.6940000057220459,63,6,-0.015122150671959388,0.009123834727264087,-0.00786743126809597,0.2,50,0.5985077619552612,-1.7923866829524437,0.012532152,0.17650960286458334,0.0003,,,
,344064,4515,65.64,0.7461428046226501,76,7,-0.01629508422120125,0.01113550214698383,0.00030258437618613243,0.2,60,0.6415410041809082,-1.7022743611286084,0.013962522,0.18907063802083332,0.0003,2,0.75,300000
,393216,4511,53.7,0.8082142472267151,87,8,-0.02032742351051032,0.01188654736421692,-0.018608804792165756,0.2,70,0.6588869094848633,-1.5800734729195633,0.01462808,0.23478800455729168,0.0003,,,
,442368,4397,46.16,0.8351429104804993,100,9,-0.019314986179445746,0.010098498997103888,-0.0037676184438169003,0.2,80,0.6544466614723206,-1.4263132323200505,0.016915582,0.24600423177083333,0.0003,3,1,400008
,491520,4395,38.78,0.8416786193847656,111,10,-0.01754760029980389,0.007247371944443633,-0.008811863139271736,0.2,90,0.6256476640701294,-1.2573140365382036,0.020649916,0.23156941731770833,0.0003,,,
,540672,4311,35.14,0.8548927903175354,125,11,-0.012054733518501356,0.0056195322170727495,-0.0027520754374563694,0.2,100,0.6056099534034729,-1.1062600584079822,0.012721862,0.17999471028645833,0.0003,,,
