#{"t_start": 1773070323.9411776, "env_id": "None"}
r,l,t
0.0,1,0.012709
0.0,1,0.012725
0.0,2,0.016215
0.0,2,0.016227
0.0,5,0.026829
0.0,29,0.162219
0.859375,40,0.253148
0.82421875,50,0.354084
0.82070315,51,0.364358
0.8136719,53,0.385064
0.0,55,0.405354
0.79609376,58,0.445694
0.7890625,60,0.456225
0.0,1,0.466628
0.77851564,63,0.487242
0.78203124,62,0.538402
0.75742185,69,0.548656
0.75039065,71,0.568635
0.7433594,73,0.589097
0.7363281,75,0.608344
0.7222656,79,0.64942
0.70820314,83,0.689281
0.70820314,83,0.689312
0.68710935,89,0.750023
0.775,64,0.810129
0.82070315,51,0.89993
0.6308594,105,0.910233
0.8066406,55,0.959487
0.85234374,42,1.009359
0.5957031,115,1.009392
0.72578126,78,1.038857
0.75039065,71,1.069805
0.82070315,51,1.080206
0.5640625,124,1.101232
0.0,1,1.111669
0.72929686,77,1.14214
0.0,4,1.152334
0.746875,72,1.172784
0.5324219,133,1.192672
0.746875,72,1.192696
0.75742185,69,1.242852
0.0,10,1.242884
0.0,1,1.253096
0.8769531,35,1.26344
0.0,3,1.283209
0.0,3,1.313397
0.0,58,1.333373
0.7011719,85,1.34397
0.75742185,69,1.383441
0.86992186,37,1.443817
0.44101563,159,1.454241
0.0,2,1.464434
0.82070315,51,1.474389
0.690625,88,1.494229
0.65898436,97,1.513942
0.7046875,84,1.533831
0.0,53,1.544369
0.8066406,55,1.564645
0.86992186,37,1.564668
0.0,82,1.635236
0.79609376,58,1.665174
0.859375,40,1.715424
0.7398437,74,1.78699
0.6765625,92,1.826827
0.75390625,70,1.85727
0.8734375,36,1.927273
0.7644531,67,1.937691
0.7152344,81,1.987497
0.8171875,52,1.987528
0.7363281,75,1.997644
0.82070315,51,2.048388
0.2265625,220,2.699077
0.84882814,43,2.701854
0.746875,72,2.704686
0.48671874,146,2.707385
0.6660156,95,2.715144
0.7644531,67,2.715158
0.7609375,68,2.727978
0.0,2,2.73324
0.75390625,70,2.741255
0.0,15,2.741268
0.8875,32,2.75861
0.7609375,68,2.758622
0.82421875,50,2.761384
0.859375,40,2.776394
0.6273438,106,2.779146
0.65898436,97,2.787032
0.0,15,2.79956
0.65546876,98,2.799572
0.0,3,2.807078
0.0,43,2.814407
0.0,5,2.819549
0.72578126,78,2.822159
0.60976565,111,2.848793
0.7609375,68,2.860533
0.7644531,67,2.868163
0.49726564,143,2.872733
0.7925781,59,2.887653
0.75390625,70,2.890029
0.75039065,71,2.892483
0.82773435,49,2.897433
0.79960936,57,2.90011
0.84882814,43,2.9049
0.6484375,100,2.910099
0.6449219,101,2.915081
0.5535156,127,2.925407
0.68710935,89,2.930541
0.0,12,2.940619
0.82421875,50,2.945412
0.56757814,123,2.950461
0.7925781,59,2.965038
0.68359375,90,2.965049
0.68710935,89,2.97982
0.7222656,79,2.982616
0.64140624,102,2.987418
0.85234374,42,2.997719
0.6730469,93,3.009945
0.8417969,45,3.012426
0.7679688,66,3.036308
0.0,20,3.03632
0.0,1,3.038982
0.71875,80,3.046302
0.85234374,42,3.048787
0.8066406,55,3.0514
0.75742185,69,3.058716
0.746875,72,3.067978
0.86992186,37,3.070773
0.43398437,161,3.0759
0.0,46,3.078329
0.6765625,92,3.095288
0.8734375,36,3.100049
0.91914064,23,3.104918
0.68007815,91,3.129216
0.7222656,79,3.144012
0.84882814,43,3.144023
0.0,47,3.151395
0.0,3,3.151406
0.68007815,91,3.153967
0.6308594,105,3.156554
0.0,1,3.159422
0.68007815,91,3.164641
0.75039065,71,3.1722
0.8628906,39,3.172212
0.0,2,3.177132
0.0,11,3.17989
0.0,3,3.179901
0.75390625,70,3.182587
0.690625,88,3.199522
0.0,1,3.202086
0.5921875,116,3.212147
0.634375,104,3.221625
0.8101562,54,3.229169
0.47265625,150,3.231952
0.7644531,67,3.234507
0.0,6,3.246565
0.75742185,69,3.270919
0.690625,88,3.28776
0.803125,56,3.29738
0.7152344,81,3.304461
0.8101562,54,3.314306
0.634375,104,3.333664
0.85234374,42,3.348154
0.5640625,124,3.350754
0.775,64,3.357837
0.5535156,127,3.362771
0.0,4,3.372435
0.7152344,81,3.377594
0.775,64,3.377605
0.65898436,97,3.382716
0.0,2,3.382728
0.6695312,94,3.394484
0.61328125,110,3.399547
0.15625,240,3.404246
0.0,1,3.406872
0.63789064,103,3.406883
0.82421875,50,3.409518
0.6273438,106,3.412053
0.0,41,3.414528
0.82773435,49,3.417253
0.89453125,30,3.431599
0.6308594,105,3.436814
0.6730469,93,3.439362
0.7011719,85,3.441954
0.0,22,3.453436
0.82070315,51,3.458345
0.83125,48,3.465957
0.8839844,33,3.494664
0.61328125,110,3.497381
0.82773435,49,3.502218
0.8347656,47,3.530118
0.7714844,65,3.530129
0.84882814,43,3.535128
0.7679688,66,3.537592
0.84882814,43,3.539972
0.7714844,65,3.539982
0.7222656,79,3.542481
0.8347656,47,3.554677
0.0,7,3.559653
0.5746094,121,3.564539
0.4375,160,3.56715
0.7433594,73,3.572098
0.75039065,71,3.579278
0.85234374,42,3.596057
0.7222656,79,3.598768
0.56757814,123,3.603762
0.75039065,71,3.611248
0.1984375,228,3.616204
0.8769531,35,3.616215
0.6941406,87,3.623706
0.859375,40,3.6338
0.6203125,108,3.671113
0.68359375,90,3.675948
0.82070315,51,3.678497
0.79609376,58,3.68097
0.775,64,3.685962
0.71875,80,3.690624
0.79960936,57,3.697695
0.690625,88,3.714238
0.7328125,76,3.721581
0.60625,112,3.724214
0.0,23,3.726952
0.859375,40,3.729459
0.0,80,3.734552
0.0,4,3.734563
0.7363281,75,3.746676
0.7363281,75,3.749436
0.9015625,28,3.749446
0.7328125,76,3.756897
0.803125,56,3.759431
0.7714844,65,3.769216
0.746875,72,3.778951
0.7644531,67,3.778963
0.72929686,77,3.784124
0.8417969,45,3.796465
0.51484376,138,3.801376
0.7011719,85,3.80672
0.8769531,35,3.809082
0.83125,48,3.816892
0.0,2,3.821985
0.79609376,58,3.821996
0.0,1,3.824369
0.8066406,55,3.827175
0.6941406,87,3.829575
0.0,33,3.832071
0.8839844,33,3.841933
0.86992186,37,3.841945
0.86992186,37,3.84924
0.7925781,59,3.875921
0.5746094,121,3.875933
0.9261719,21,3.881114
0.8558594,41,3.8863
0.0,4,3.896492
0.0,1,3.899114
0.8628906,39,3.92348
0.83125,48,3.925965
0.0,2,3.931097
0.8382813,46,3.935736
0.75390625,70,3.943011
0.7925781,59,3.955291
0.6730469,93,3.964983
0.58867186,117,3.964995
0.78203124,62,3.976969
0.6625,96,3.984645
0.82773435,49,3.997146
0.77851564,63,3.997157
0.68007815,91,4.004511
0.7714844,65,4.009716
0.578125,120,4.012239
0.0,1,4.012249
0.6625,96,4.017376
0.89804685,29,4.036646
0.803125,56,4.036658
0.7046875,84,4.039336
0.7152344,81,4.04186
0.5535156,127,4.041871
0.8453125,44,4.04434
0.0,2,4.047048
0.0,1,4.049655
0.8453125,44,4.064616
0.6273438,106,4.064628
0.0,1,4.067348
0.85234374,42,4.082252
0.58867186,117,4.086981
0.0,69,4.11347
0.7222656,79,4.118514
0.8804687,34,4.12336
0.65546876,98,4.123372
0.9050781,27,4.133072
0.8101562,54,4.145543
0.72578126,78,4.157691
0.82070315,51,4.17528
0.803125,56,4.175291
0.70820314,83,4.190198
0.7398437,74,4.195242
0.61328125,110,4.202791
0.9015625,28,4.202803
0.7714844,65,4.205562
0.32851562,191,4.20826
0.6625,96,4.235717
0.71171874,82,4.240531
0.7714844,65,4.247673
0.8839844,33,4.257585
0.79960936,57,4.265121
0.4375,160,4.273087
0.7679688,66,4.288022
0.7855469,61,4.30987
0.82773435,49,4.31229
0.7152344,81,4.314836
0.6695312,94,4.314847
0.0,2,4.319524
0.8382813,46,4.321904
