shield/constant_delta,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,shield/stage,shield/ignore_prob,shield/transition_timestep
0.9,49152,6818,55.04,0.5731093883514404,7,1,,,,,,,,,,,,,
,98304,5393,48.95,0.6526562571525574,18,2,-0.00970442544312391,0.011784008007574205,-0.0008339774794876575,0.2,10,0.006149172782897949,-1.9313640641669432,0.014766053,0.13806355794270833,0.0003,,,
,147456,4678,38.19,0.6771992444992065,31,3,-0.020321623820079064,0.0141259628435364,-0.013304364867508411,0.2,20,0.693558394908905,-1.8905944495772322,0.016612059,0.21912638346354166,0.0003,0,0.25,100008
,196608,4599,35.65,0.6820507645606995,42,4,-0.020779685287561734,0.015023749497292254,-0.019952330738306046,0.2,30,0.6959495544433594,-1.8269410994524757,0.0146501055,0.20180257161458334,0.0003,,,
,245760,4338,28.13,0.7444804906845093,56,5,-0.01657344243249099,0.013642001691672097,-0.01031284499913454,0.2,40,0.6149383783340454,-1.7462420877069236,0.0152318375,0.207220458984375,0.0003,1,0.5,200016
,294912,4318,26.96,0.7979960441589355,68,6,-0.012538952735728042,0.011908031229540938,0.0006437567062675953,0.2,50,0.5415270328521729,-1.656849909822146,0.014252127,0.19320882161458333,0.0003,,,
,344064,4179,23.84,0.7392109632492065,82,7,-0.009120366731804098,0.013275666120656145,-0.015368346124887466,0.2,60,0.4473797678947449,-1.5591062209258477,0.011967373,0.16765950520833334,0.0003,2,0.75,300000
,393216,4159,23.08,0.7815664410591125,94,8,-0.006040598827409364,0.014450337086357953,-0.008248127065598965,0.2,70,0.40719205141067505,-1.4696659783522288,0.009535964,0.13053792317708332,0.0003,,,
,442368,4055,22.37,0.7637109160423279,109,9,-0.004401426282311149,0.015076286554297743,0.008548974990844727,0.2,80,0.35726314783096313,-1.394589099722604,0.008780844,0.10310872395833333,0.0003,3,1,400008
,491520,4065,19.36,0.705382764339447,120,10,-0.0035036588296255408,0.015763731441256822,-0.008414728567004204,0.2,90,0.32821059226989746,-1.3474232735733191,0.008745032,0.096826171875,0.0003,,,
,540672,4006,19.03,0.7856640815734863,134,11,-0.003272914972815973,0.014820654456464884,-0.013037201017141342,0.2,100,0.34825992584228516,-1.2650607160603007,0.008533321,0.08482666015625,0.0003,,,
