#{"t_start": 1773069155.8190763, "env_id": "None"}
r,l,t
0.0,33,0.894924
0.0,7,0.977822
0.0,52,1.120501
0.0,60,1.214636
0.8111111,68,1.307225
0.0,8,1.307257
0.0,79,1.436186
0.76666665,84,1.494994
0.75,90,1.565478
0.0,62,2.032997
0.61944443,137,2.115069
0.0,151,2.278538
0.0,9,2.383858
0.0,30,2.466116
0.0,176,2.571358
0.51111114,176,2.571388
0.5083333,177,2.58303
0.5972222,145,2.812997
0.42222223,208,2.942415
0.0,213,3.001128
0.51666665,174,3.012835
0.0,33,3.882945
0.35277778,233,3.890874
0.3,252,3.942516
0.88611114,41,3.948044
0.28333333,258,3.958655
0.74444443,92,3.961591
0.0,72,4.018707
0.21944444,281,4.0217
0.0,36,4.041742
0.18333334,294,4.057884
0.0,35,4.117058
0.0,24,4.122665
0.108333334,321,4.131233
0.0,324,4.139405
0.0,324,4.139418
0.0,324,4.139423
0.0,324,4.139426
0.0,52,4.16346
0.0,11,4.17183
0.0,83,4.188681
0.22777778,278,4.262079
0.0,39,4.278784
0.0,324,4.32556
0.3888889,220,4.337134
0.0,324,4.356298
0.31666666,246,4.36467
0.35833332,231,4.370296
0.0,324,4.370309
0.5611111,158,4.395669
0.7138889,103,4.423115
0.15555556,304,4.442242
0.45,198,4.490943
0.0,66,4.536902
0.23888889,274,4.587215
0.525,171,4.605454
0.0,324,4.618916
0.0,84,4.622095
0.43333334,204,4.678909
0.0,143,4.724033
0.7972222,73,4.732038
0.4138889,211,4.735074
0.0,324,4.766614
0.0,33,4.769721
0.0,324,4.775569
0.22777778,278,4.800674
0.43888888,202,4.829115
0.0,128,4.840584
0.49722221,181,4.865827
0.74444443,92,4.874302
0.0,226,4.880034
0.0,53,4.88289
0.425,207,4.893253
0.0,12,4.912548
0.49722221,181,4.937722
0.14444445,308,4.962688
0.73055553,97,4.99559
0.0,324,5.02
0.0,153,5.028474
0.0,324,5.028564
0.57222223,154,5.047492
0.7138889,103,5.055931
0.0,324,5.074346
0.0,105,5.090929
0.29444444,254,5.118705
0.0,324,5.249476
0.0,324,5.255175
0.7222222,100,5.266664
0.6111111,140,5.275131
0.5416667,165,5.280388
0.4611111,194,5.306963
0.5888889,148,5.339653
0.0,37,5.380634
0.175,297,5.400024
0.6472222,127,5.463181
0.28611112,257,5.471252
0.7722222,82,5.474382
0.0,169,5.488127
0.5416667,165,5.496171
0.36944443,227,5.501654
0.53333336,168,5.512316
0.3611111,230,5.539434
0.7083333,105,5.553684
0.0,60,5.564485
0.0,324,5.623415
0.18333334,294,5.642886
0.61944443,137,5.648957
0.0,101,5.657071
0.55,162,5.696835
0.82222223,64,5.713295
0.13055556,313,5.727286
0.27222222,262,5.740438
0.5555556,160,5.743516
0.0,324,5.74887
0.0,29,5.824736
0.0,324,5.841012
0.79444444,74,5.841025
0.0,324,5.897203
0.13333334,312,5.91849
0.0,176,5.961477
0.0,94,5.964421
0.0,232,5.967151
0.0,324,5.967164
0.55833334,159,5.992344
0.0,19,6.014467
0.5777778,152,6.032977
0.0,21,6.069767
0.4,216,6.083175
0.3472222,235,6.105317
0.5638889,157,6.119194
0.0,62,6.134762
0.30277777,251,6.140565
0.45555556,196,6.184301
0.27222222,262,6.203173
0.4027778,215,6.226743
0.0,128,6.242807
0.525,171,6.286425
0.375,225,6.332722
0.0,20,6.341303
0.0,324,6.349506
0.5388889,166,6.368826
0.45,198,6.377449
0.44444445,200,6.383118
0.0,324,6.389027
0.0,16,6.414834
0.30555555,250,6.420462
0.0,324,6.431471
0.0,29,6.46436
0.7277778,98,6.472824
0.0,25,6.488881
0.0,151,6.497328
0.0,112,6.535604
0.7861111,77,6.555089
0.0,38,6.600137
0.35277778,233,6.602968
0.50555557,178,6.605968
0.0,324,6.620527
0.0,20,6.659083
0.28611112,257,6.731734
0.61388886,139,6.755872
0.0,102,6.828194
0.0,150,6.836686
0.0,324,6.845133
0.61388886,139,6.848176
0.31111112,248,6.858974
0.0,324,6.872636
0.49722221,181,6.881014
0.0,159,6.894885
0.0,18,6.894898
0.7361111,95,6.914084
0.0,62,6.924579
0.39444444,218,6.92746
0.17222223,298,6.945983
0.0,324,6.951995
0.0,34,6.952008
0.2638889,265,6.965893
0.0,26,6.965907
0.14444445,308,6.979915
0.0,324,6.988333
0.0,25,6.994178
0.0,16,7.011016
0.45833334,195,7.064249
0.35555556,232,7.117546
0.0,62,7.120329
0.78055555,79,7.141897
0.24444444,272,7.153234
0.55,162,7.172512
0.0,72,7.189153
0.0,324,7.231742
0.0,142,7.234891
0.58055556,151,7.248851
0.84166664,57,7.271952
0.60555553,142,7.280368
0.0,22,7.294245
0.60555553,142,7.336573
0.24722221,271,7.352691
0.0,78,7.381276
0.2,288,7.383963
0.7083333,105,7.403421
0.0,29,7.414638
0.0,104,7.432586
0.5361111,167,7.459891
0.0,324,7.476375
0.0,36,7.479356
0.0,124,7.523354
0.0,58,7.542126
0.41111112,212,7.56199
0.6472222,127,7.57577
0.5222222,172,7.60734
0.8333333,60,7.639064
0.24444444,272,7.650291
0.75555557,88,7.699582
0.5638889,157,7.705072
0.0,324,7.707895
0.0,39,7.746438
0.7722222,82,7.74645
0.0,53,7.752485
0.0,324,7.752498
0.0,324,7.760817
0.17777778,296,7.783358
0.13055556,313,7.816913
0.6027778,143,7.824929
0.0,324,7.827936
0.5555556,160,7.852236
0.7,108,7.857905
0.0,39,7.868751
0.38055557,223,7.880063
0.0,17,7.904655
0.0,12,7.912765
0.64166665,129,7.928713
0.46388888,193,7.93137
0.8111111,68,7.93929
0.0,324,7.945319
0.17777778,296,8.0985
0.65555555,124,8.120442
0.0,324,8.128937
0.31666666,246,8.150438
0.575,153,8.168313
0.6527778,125,8.206512
0.0,187,8.217849
0.0,177,8.228499
0.0,324,8.234457
0.45833334,195,8.278472
0.0,18,8.278485
0.46388888,193,8.341048
0.28333333,258,8.353991
0.75,90,8.364732
0.4722222,190,8.367658
0.55,162,8.370625
0.0,20,8.409397
0.0,324,8.425919
0.225,279,8.460603
0.0,115,8.463664
0.0,68,8.463676
0.46944445,191,8.463681
0.6388889,130,8.482072
0.0,49,8.501454
0.5138889,175,8.57436
0.0,324,8.587982
0.0,55,8.613498
0.0,170,8.632519
0.11111111,320,8.696383
0.7583333,87,8.696395
0.0,324,8.704245
0.13333334,312,8.758923
0.0,22,8.764714
0.5861111,149,8.775251
0.71944445,101,8.775264
0.0,324,8.783763
0.0,324,8.809063
0.0,324,8.820236
0.0,55,14.680252
0.5555556,160,14.694028
0.0,21,14.699312
0.44166666,201,14.72069
0.0,157,14.723424
0.31111112,248,14.726384
0.0,119,14.731652
0.29722223,253,14.755176
0.0,58,14.765896
0.0,14,14.768638
0.0,129,14.795871
0.0,12,14.79893
0.0,46,14.804032
0.0,31,14.807163
0.0,26,14.839498
0.0,18,14.848047
0.7083333,105,14.881979
0.0,43,14.912418
0.0,324,14.920409
0.0,303,14.934138
0.30833334,249,14.988295
0.5222222,172,14.993609
0.25833333,267,15.016773
0.43055555,205,15.016786
0.5833333,150,15.019819
0.0,4,15.030183
0.0,97,15.06215
0.0,58,15.064671
0.0,29,15.070258
0.0,324,15.073152
0.5972222,145,15.081851
0.7138889,103,15.081865
