#{"t_start": 1773069294.0997317, "env_id": "None"}
r,l,t
0.0,40,0.2628
0.33571428,186,1.803006
0.13928571,241,2.830343
0.0,252,2.855809
0.0,252,2.855821
0.0,252,2.855826
0.0,252,2.855829
0.0,252,2.855832
0.0,252,2.855835
0.0,252,2.855838
0.0,252,2.85584
0.0,252,2.855843
0.0,252,2.855846
0.0,252,2.855849
0.0,252,2.855852
0.0,252,2.855855
0.0,252,2.855857
0.0,252,2.85586
0.0,252,2.855863
0.0,252,2.855866
0.0,252,2.855868
0.0,252,2.855871
0.0,252,2.855874
0.0,252,2.855877
0.0,252,2.948559
0.0,252,3.281005
0.0,252,3.405563
0.114285715,248,3.422018
0.0,252,3.432336
0.0,252,3.432348
0.0,252,3.432353
0.0,252,3.432356
0.0,252,3.432359
0.0,252,3.432362
0.0,252,3.432364
0.0,252,3.432367
0.0,252,3.43237
0.0,252,3.432374
0.0,252,3.432376
0.0,252,3.432379
0.0,252,3.432382
0.0,252,3.432384
0.0,252,3.432387
0.0,252,3.43239
0.0,252,3.432393
0.0,252,3.432395
0.0,252,3.432398
0.0,252,3.432401
0.0,9,3.446354
0.0,28,3.497389
0.0,252,3.525326
0.47142857,148,3.767969
0.36785713,177,3.808542
0.0,252,3.852968
0.21071428,221,3.932675
0.18214285,229,3.95059
0.0,252,4.002689
0.0,252,4.002701
0.0,252,4.002705
0.0,252,4.002708
0.0,252,4.002711
0.0,252,4.002714
0.0,252,4.002717
0.0,252,4.002719
0.0,252,4.002722
0.0,252,4.002725
0.0,252,4.002727
0.0,252,4.00273
0.0,252,4.002733
0.0,252,4.002735
0.0,252,4.002738
0.0,252,4.00274
0.0,252,4.015363
0.82857144,48,4.041857
0.0,252,4.066303
0.0,252,4.094025
0.62857145,104,4.237311
0.6,112,4.256146
0.55714285,124,4.283173
0.0,252,4.336962
0.45714286,152,4.346033
0.43571427,158,4.359383
0.0,252,4.377765
0.3857143,172,4.392315
0.37142858,176,4.401233
0.0,252,4.422671
0.18928571,227,4.514505
0.0,252,4.519306
0.27142859,204,4.526714
0.6464286,99,4.559626
0.0,252,4.57135
0.0,252,4.571361
0.0,252,4.571366
0.0,252,4.571369
0.1,252,4.571372
0.0,252,4.571376
0.0,252,4.571378
0.0,252,4.571381
0.0,252,4.583615
0.48214287,145,4.611879
0.0,252,4.611891
0.0,252,4.663435
0.0,252,4.80811
0.0,252,4.826113
0.38214287,173,4.908371
0.0,252,4.91764
0.0,252,4.931552
0.0,252,4.949546
0.0,252,4.963659
0.0,252,4.973047
0.0,252,4.995607
0.114285715,248,5.083856
0.0,252,5.100071
0.14642857,239,5.116102
0.0,7,5.132292
0.0,252,5.134606
0.0,4,5.143468
0.0,252,5.146315
0.0,252,5.146325
0.0,252,5.14633
0.0,252,5.146333
0.0,252,5.146337
0.0,252,5.14634
0.0,252,5.146343
0.0,2,5.152156
0.0,252,5.159018
0.0,252,5.186618
0.0,252,5.186631
0.0,252,5.238045
0.0,252,5.381777
0.0,252,5.401107
0.0,252,5.481866
0.0,252,5.491079
0.45,154,5.49584
0.0,252,5.505106
0.0,252,5.522988
0.0,252,5.536906
0.0,252,5.546587
0.0,252,5.569515
0.0,252,5.656881
0.0,252,5.672925
0.0,252,5.705113
0.0,252,5.716966
0.0,252,5.719816
0.0,252,5.719828
0.0,252,5.719833
0.0,252,5.719837
0.0,252,5.719841
0.0,252,5.725313
0.0,252,5.732571
0.0,252,5.760784
0.0,252,5.760797
0.0,252,5.813951
0.0,252,5.959903
0.0,3,5.966908
0.60714287,110,5.974147
0.0,252,5.978312
0.5535714,125,6.007134
0.0,252,6.058669
0.0,252,6.068114
0.0,252,6.0728
0.0,252,6.082091
0.14642857,239,6.084823
0.0,252,6.100416
0.0,252,6.123424
0.0,252,6.146138
0.0,252,6.23348
0.0,252,6.249421
0.0,252,6.281315
0.0,252,6.292678
0.0,252,6.295506
0.0,252,6.295518
0.0,252,6.295523
0.0,252,6.300621
0.0,252,6.307524
0.0,252,6.334832
0.0,252,6.334844
0.0,252,6.386397
0.4,168,6.440532
0.0,252,6.537273
0.0,252,6.544057
0.0,252,6.548975
0.0,252,6.577484
0.21071428,221,6.584604
0.0,252,6.63778
0.0,252,6.6426
0.0,252,6.651701
0.0,252,6.67034
0.5321429,131,6.68172
0.375,175,6.690606
0.0,252,6.693113
0.0,252,6.716592
0.0,252,6.806316
0.0,252,6.821915
0.15,238,6.835572
0.0,252,6.853015
0.0,252,6.864077
0.0,252,6.866437
0.0,252,6.871027
0.0,252,6.877993
0.0,252,6.905823
0.0,252,6.905836
0.0,252,12.78799
0.69285715,86,12.806967
0.39285713,170,12.879551
0.35,182,12.882061
0.0,252,12.886635
0.0,252,12.89395
0.0,252,12.898806
0.23928571,213,12.905993
0.0,252,12.92874
0.0,252,12.935874
0.43928573,157,12.940979
0.0,252,12.991184
0.0,252,13.005042
0.0,252,13.023369
0.0,252,13.035221
0.0,252,13.047251
0.3607143,179,13.059025
