#{"t_start": 1773068791.4601128, "env_id": "None"}
r,l,t
0.0,7,0.670375
0.0,12,0.68106
0.0,21,0.700143
0.0,20,0.903099
0.0,27,0.903131
0.0,31,0.948478
0.0,34,0.982615
0.0,7,0.982649
0.0,44,1.0937
0.0,53,1.19539
0.0,54,1.206991
0.0,61,1.286004
0.0,15,1.376948
0.0,76,1.456237
0.0,32,1.563591
0.0,94,1.671519
0.0,68,1.761522
0.0,92,1.783708
0.0,74,1.828233
0.0,108,1.828267
0.0,111,1.861941
0.0,51,1.873262
0.0,119,1.951538
0.0,120,1.962971
0.0,45,1.974286
0.0,121,1.974307
0.0,18,1.985561
0.0,6,2.041387
0.0,26,2.052968
0.0,20,2.264089
0.0,38,2.376547
0.0,136,2.376581
0.0,160,2.41021
0.0,53,2.421768
0.0,39,2.490983
0.0,98,2.491017
0.7722222,82,2.491022
0.0,56,2.592586
0.0,30,2.749454
0.0,193,2.782991
0.0,27,2.79452
0.0,38,2.80594
0.0,77,2.851155
0.0,45,2.884958
0.0,35,2.984096
0.0,109,3.050969
0.0,16,3.062009
0.0,9,3.084066
0.7222222,100,3.095351
0.0,74,3.095374
0.0,11,3.875422
0.0,8,3.87545
0.0,37,3.877764
0.0,35,3.877773
0.0,72,3.884183
0.0,7,3.890694
0.0,42,3.890706
0.0,24,3.908926
0.0,81,3.915229
0.0,60,3.919452
0.0,17,3.925624
0.0,38,3.936051
0.0,29,3.944299
0.0,5,3.94652
0.0,28,3.948728
0.8138889,67,3.952908
0.0,18,3.957215
0.0,15,3.980129
0.0,253,3.982328
0.0,29,3.986588
0.0,116,3.988811
0.0,32,4.011423
0.0,296,4.015728
0.0,14,4.017896
0.0,54,4.02207
0.16666667,300,4.024256
0.4611111,194,4.03438
0.0,206,4.061004
0.0,224,4.061016
0.0,290,4.067544
0.0,321,4.067555
0.0,324,4.074013
0.0,324,4.074024
0.0,36,4.090782
0.0,40,4.095048
0.0,71,4.101364
0.0,43,4.107662
0.0,124,4.109983
0.0,9,4.109993
0.0,21,4.11226
0.0,5,4.112272
0.0,115,4.118571
0.0,66,4.12485
0.0,69,4.12703
0.0,93,4.141294
0.0,9,4.143525
0.0,27,4.151963
0.0,23,4.166634
0.0,324,4.166646
0.0,141,4.173067
0.0,72,4.175378
0.0,30,4.175389
0.0,56,4.17961
0.0,36,4.185874
0.0,59,4.198233
0.0,9,4.198245
0.0,16,4.200444
0.0,45,4.206664
0.0,51,4.214904
