time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_range
49152,0.0011944444850087166,1,91.81,7,7012,,,,,,,,,,
98304,0.01491666678339243,2,97.05,16,5800,-0.013361802324652672,-0.001787179108032433,-1.9399423638979594,0.000726250298023956,0.03169962565104167,10,0.0003,-0.02122950553894043,0.0069531016,0.2
147456,0.01147222239524126,3,90.64,26,5488,-0.018643859773874283,-0.00303074354033015,-1.9302296097079912,0.0006204935771677355,0.08954671223958334,20,0.0003,0.1282641887664795,0.013928078,0.2
196608,0.014277778565883636,4,83.08,37,5304,0.013102944009006023,-0.003670997535634039,-1.9254608878865838,0.0009749234110358884,0.065606689453125,30,0.0003,0.22547316551208496,0.009205573,0.2
245760,0.03652777895331383,5,95.92,47,5225,-0.020376060158014297,-0.005465028163174187,-1.9107011249288917,0.0012630046255784086,0.07835693359375,40,0.0003,0.31225502490997314,0.008393377,0.2
294912,0.04452778026461601,6,91.69,56,5176,-0.0018103260081261396,-0.005662844692233193,-1.8902573791642985,0.0018916622249738188,0.089971923828125,50,0.0003,0.3848583698272705,0.009416833,0.2
344064,0.11444444954395294,7,98.22,66,5140,-0.023331360891461372,-0.006163727312923584,-1.8631000122055412,0.002408616407410591,0.1057861328125,60,0.0003,0.4847971200942993,0.0099377,0.2
393216,0.18550001084804535,8,93.59,77,5101,-0.013473093509674072,-0.007539998327532279,-1.8363002492735783,0.003759302078287874,0.12450968424479167,70,0.0003,0.5096676349639893,0.012775254,0.2
442368,0.36997222900390625,9,96.7,87,5078,0.005303617566823959,-0.00810419907332592,-1.7798706889152527,0.005317456730578366,0.15124715169270833,80,0.0003,0.5899501442909241,0.014911133,0.2
491520,0.3684166371822357,10,92.1,97,5060,-0.014227384701371193,-0.008729753422267094,-1.6975407689188917,0.008685317827621475,0.15128173828125,90,0.0003,0.6036782264709473,0.011696037,0.2
540672,0.4645833671092987,11,78.67,109,4921,0.010072003118693829,-0.008662502241895709,-1.6178162169953187,0.009927813786149878,0.134454345703125,100,0.0003,0.6356291770935059,0.011750816,0.2
