#{"t_start": 1773069020.192124, "env_id": "None"}
r,l,t
0.0,1,0.014655
0.0,1,0.014677
0.0,1,0.014682
0.0,1,0.014685
0.0,1,0.014692
0.0,1,0.014696
0.0,1,0.01696
0.0,3,0.01937
0.0,3,0.019382
0.0,4,0.021611
0.0,5,0.023841
0.0,6,0.026015
0.0,7,0.03033
0.0,10,0.034594
0.0,14,0.042986
0.0,2,0.047342
0.0,16,0.047354
0.0,19,0.086432
0.0,25,0.095885
0.0,26,0.115807
0.0,2,0.115825
0.0,30,0.147831
0.0,32,0.168272
0.0,32,0.168295
0.0,3,0.177942
0.0,6,0.226954
0.0,38,0.226982
0.0,11,0.226987
0.0,37,0.274589
0.0,43,0.294195
0.0,1,0.305079
0.0,30,0.305096
0.0,44,0.317049
0.0,43,0.317069
0.0,2,0.337381
0.0,13,0.355796
0.0,16,0.434591
0.0,59,0.443898
0.0,37,0.454007
0.0,54,0.463784
0.0,30,0.463799
0.0,12,0.473321
0.0,15,0.482535
0.0,2,0.482551
0.0,40,0.512558
0.0,4,0.521945
0.0,4,0.521962
0.0,11,0.541506
0.0,9,0.541524
0.0,24,0.552238
0.0,3,0.552257
0.0,3,0.573169
0.0,8,0.600644
0.71875,80,0.640429
0.0,79,0.640457
0.0,75,0.688904
0.0,50,0.717591
0.0,19,0.736979
0.0,19,0.736998
0.0,13,0.765662
0.0,1,0.775358
0.0,22,0.785891
0.0,36,0.796299
0.0,97,0.806689
0.0,2,0.806704
0.0,98,0.816412
0.0,10,0.835566
0.0,39,0.854556
0.0,27,0.86374
0.0,101,0.873283
0.0,14,0.873297
0.0,6,0.873302
0.0,17,0.882665
0.0,1,0.882681
0.0,3,0.901437
0.0,1,0.911176
0.0,47,0.92096
0.0,16,0.960793
0.0,29,0.970897
0.0,16,0.992483
0.0,116,1.00183
0.0,10,1.020927
0.0,12,1.032354
0.0,3,1.032368
0.0,42,1.054411
0.0,7,1.11785
0.0,18,1.136463
0.0,94,1.145807
0.0,27,1.145823
0.0,87,1.155082
0.0,88,1.164361
0.0,31,1.183096
0.0,2,1.201706
0.0,140,1.220005
0.0,37,1.229315
0.0,125,1.229331
0.0,23,1.247535
0.0,10,1.247553
0.0,48,1.265912
0.0,31,1.26593
0.0,54,1.29335
0.0,5,1.293369
0.0,11,1.302629
0.0,4,1.302644
0.0,18,1.302648
0.0,84,1.320526
0.0,31,1.320541
0.0,17,1.37443
0.0,11,1.40124
0.0,10,1.410292
0.0,3,1.428358
0.0,14,1.428374
0.0,166,1.45539
0.0,71,1.464556
0.0,21,1.482632
0.0,23,1.50056
0.0,15,1.546356
0.0,61,1.55589
0.0,45,1.555905
0.0,8,1.574334
0.0,2,1.57435
0.0,78,1.583302
0.0,40,1.610003
0.0,4,1.618998
0.0,5,1.655302
0.0,55,1.664825
0.0,5,1.66484
0.0,70,1.664844
0.0,13,1.692012
0.44101563,159,1.692028
0.0,3,1.692034
0.0,1,1.701355
0.0,1,1.701369
0.0,31,1.736785
0.0,49,1.745528
0.0,12,1.772484
0.0,1,1.78161
0.0,63,1.80043
0.0,11,1.800445
0.0,2,1.80045
0.0,26,1.809731
0.0,30,1.818798
0.0,137,1.828106
0.0,2,1.82812
0.0,5,1.846259
0.0,4,1.855218
0.0,108,1.864243
0.0,23,1.873299
0.0,1,1.873314
0.0,2,1.891266
0.0,12,1.909239
0.0,5,1.918301
0.0,1,1.927309
0.0,2,1.945338
