time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_range
49152,0.0,1,23.87,6,7710,,,,,,,,,,
98304,0.0,2,30.69,16,5985,-0.00526069849729538,-0.003354431463655298,-1.9376237157111367,0.0003000798002328035,0.095477294921875,10,0.0003,-0.1525874137878418,0.0123712085,0.2
147456,0.0,3,18.56,26,5555,-0.009309115819633007,-0.004237893227082168,-1.924548749253154,0.0002501318350657774,0.098480224609375,20,0.0003,0.07191699743270874,0.013923693,0.2
196608,0.0,4,18.5,36,5363,-0.006554826628416777,-0.005690004258152233,-1.9094846602529287,0.00040277320504221356,0.10949300130208334,30,0.0003,0.1387242078781128,0.012974965,0.2
245760,0.011492188088595867,5,29.95,46,5269,-0.006115397904068232,-0.006699807590121054,-1.8835590943073233,0.0012378847811987726,0.1313720703125,40,0.0003,0.2649725675582886,0.01292855,0.2
294912,0.061488281935453415,6,29.5,56,5219,-0.02375989407300949,-0.00937261637524595,-1.8376532875622311,0.00251693017805034,0.14569498697916666,50,0.0003,0.41437435150146484,0.01264631,0.2
344064,0.17112889885902405,7,29.3,66,5182,-0.007931021973490715,-0.01388666070021524,-1.7890856158609192,0.006369230856701809,0.17918701171875,60,0.0003,0.5721447467803955,0.012720908,0.2
393216,0.3901718556880951,8,37.89,76,5155,-0.007085828110575676,-0.01846204750096755,-1.7129498486717543,0.010772560932916045,0.21174723307291668,70,0.0003,0.6831021308898926,0.015342596,0.2
442368,0.43650391697883606,9,30.24,86,5130,-0.014722712337970734,-0.02157823619854753,-1.611494828388095,0.015928825091395992,0.227642822265625,80,0.0003,0.6863908171653748,0.015146325,0.2
491520,0.4763984680175781,10,28.95,96,5108,-0.012911863625049591,-0.02241751821578267,-1.4757215614120165,0.018015041248872876,0.24833170572916666,90,0.0003,0.6742657423019409,0.016516691,0.2
540672,0.5656952857971191,11,28.62,108,4992,-0.020235033705830574,-0.020091616372883436,-1.3192425145457187,0.020586169519325872,0.22897745768229166,100,0.0003,0.5992164611816406,0.017840935,0.2
