#{"t_start": 1772029536.494072, "env_id": "None"}
r,l,t
0.0,11,0.594473
0.0,33,0.652026
0.8666667,48,0.691049
0.8527778,53,0.70442
0.83055556,61,0.725362
0.8055556,70,0.776525
0.7722222,82,0.779248
0.74444443,92,0.805251
0.0,96,0.815815
0.71666664,102,0.831336
0.6666667,120,0.877813
0.65555555,124,0.888057
0.61944443,137,0.920836
0.6111111,140,0.928158
0.60833335,141,0.930867
0.5861111,149,0.952224
0.5833333,150,0.954937
0.58055556,151,0.957809
0.53333336,168,1.0022
0.5472222,163,1.073007
0.0,72,1.073019
0.71666664,102,1.078307
0.44722223,199,1.08114
0.6527778,125,1.099169
0.41944444,209,1.106656
0.5611111,158,1.261035
0.7916667,75,1.272664
0.39444444,218,1.34138
0.7222222,100,1.607757
0.0,35,1.66564
0.64444447,128,1.689014
0.44444445,200,1.689043
0.0,8,1.780488
0.83055556,61,1.815099
0.61388886,139,2.043241
0.21388888,283,2.088506
0.7583333,87,2.088539
0.0,5,2.145581
0.0,15,2.26077
0.43611112,203,2.340919
0.0,324,2.558448
0.0,324,2.55848
0.0,48,2.59447
0.49722221,181,2.629498
0.6527778,125,2.676125
0.66944444,119,2.711543
0.47777778,188,2.735371
0.0,11,2.839612
0.7,108,2.851127
0.43888888,202,2.886287
0.0,25,2.967279
0.58055556,151,3.012746
0.0,20,3.081612
0.0,324,3.263747
0.6111111,140,3.276138
0.6166667,138,3.276161
0.0,82,3.288012
0.0,71,3.450399
0.13333334,312,3.48578
0.8194444,65,3.485812
0.0,324,3.509638
0.65,126,4.318947
0.54444444,164,4.344059
0.86388886,49,4.378834
0.0,87,4.414277
0.76944447,83,4.419624
0.28611112,257,4.42232
0.7,108,4.430764
0.0,9,4.439178
0.26666668,264,4.449947
0.775,81,4.457834
0.6805556,115,4.478422
0.0,27,4.49211
0.0,324,4.525432
0.34166667,237,4.528722
0.20277777,287,4.528733
0.59444445,146,4.541855
0.0,22,4.584864
0.6805556,115,4.587592
0.44166666,201,4.609763
0.65833336,123,4.614939
0.5833333,150,4.638377
0.7138889,103,4.705296
0.64166665,129,4.763561
0.44444445,200,4.766398
0.15833333,303,4.804282
0.49166667,183,4.817125
0.0,133,4.819952
0.7777778,80,4.819961
0.56666666,156,4.825402
0.59166664,147,4.827968
0.7027778,107,4.8575
0.16944444,299,4.868317
0.45555556,196,4.884294
0.36666667,228,4.889577
0.0,18,4.905274
0.53333336,168,4.923471
0.0,324,4.926078
0.0,54,4.95944
0.7861111,77,4.964532
0.43888888,202,4.977611
0.0,21,5.033603
0.0,56,5.036428
0.2,288,5.042057
0.0,93,5.047984
0.0,41,5.069035
0.0,12,5.080067
0.0,82,5.143775
0.0,324,5.164318
0.0,5,5.178013
0.0,71,5.231043
0.0,67,5.257476
0.0,91,5.278037
0.0,175,5.28911
0.0,183,5.306916
0.0,112,5.364702
0.0,324,5.37005
0.0,324,5.373255
0.0,324,5.387178
0.0,11,5.395967
0.0,66,5.406714
0.0,7,5.414691
0.0,324,5.435995
0.0,324,5.459874
0.0,69,5.462889
0.0,122,5.468453
0.0,29,5.484169
0.0,324,5.489781
0.0,29,5.492929
0.0,26,5.529284
0.12777779,314,5.53217
0.29166666,255,5.560479
0.0,230,5.576252
0.0,20,5.581569
0.0,258,5.589687
0.0,117,5.600197
0.0,52,5.605882
0.0,55,5.608837
0.0,45,5.611741
0.6805556,115,5.614288
0.0,324,5.619873
0.0,221,5.622917
0.0,13,5.641661
0.0,16,5.655272
0.0,324,5.676144
0.0,324,5.679044
0.0,22,5.681903
0.0,38,5.72184
0.0,108,5.724397
0.0,19,5.727039
0.0,324,5.730098
0.0,33,5.73011
0.0,59,5.740982
0.0,9,5.748791
0.0,26,5.751674
0.0,10,5.767174
0.0,324,5.785555
0.0,10,5.793985
0.0,20,5.801787
0.0,34,5.841108
0.0,45,5.849384
0.0,50,5.86299
0.0,108,5.865807
0.0,79,5.865819
0.0,99,5.879067
0.0,60,5.88199
0.0,18,5.897987
0.0,26,5.948087
0.0,40,5.971603
0.0,52,5.979885
0.0,244,6.02278
0.0,35,6.038829
0.0,324,6.038842
0.0,8,6.044583
0.29444444,254,6.062486
0.0,65,6.067864
0.0,115,6.088846
0.0,86,6.091613
0.0,86,6.107523
0.0,324,6.118553
0.0,31,6.127085
0.0,242,6.132815
0.0,130,6.1385
0.0,38,6.169464
0.0,50,6.172276
0.0,34,6.209242
0.22222222,280,6.227137
0.0,324,6.232414
0.0,13,6.24337
