shield/transition_timestep,time/iterations,rollout/ep_rew_mean,shield/stage,shield/ignore_prob,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl
15312,1,0.4087499976158142,2,0.3,49152,6145,7,145.6,,,,,,,,,,
,2,0.43591663241386414,,,98304,5026,19,142.59,0.0019760518334805965,-1.9330771412079533,0.069476318359375,-0.004899024963378906,-0.0056588161611216495,0.2,0.0003,0.006827301405064645,10,0.014191025
,3,0.5864999890327454,,,147456,4745,31,105.66,-0.005726160481572151,-1.8927257989843687,0.06786295572916666,0.5215916633605957,-0.005699992795689468,0.2,0.0003,0.008511739491465657,20,0.012657725
183192,4,0.5941944718360901,3,0.5,196608,4636,42,110.45,0.004569856449961662,-1.8527390071501335,0.09880574544270833,0.6093188524246216,-0.008128529515973544,0.2,0.0003,0.01046967442962341,30,0.011325012
,5,0.5330278277397156,,,245760,4551,54,73.8,-0.0017518806271255016,-1.7923886257534225,0.11922200520833333,0.6378567218780518,-0.009318594633623434,0.2,0.0003,0.012127481446077582,40,0.012121435
,6,0.6372500061988831,,,294912,4461,66,69.71,-0.002297511324286461,-1.7162943926329415,0.114178466796875,0.6517277956008911,-0.00862238584716882,0.2,0.0003,0.012853617950167973,50,0.012268401
,7,0.7119167447090149,,,344064,4399,78,70.24,-0.014206637628376484,-1.6289351688077052,0.11995035807291667,0.6644966006278992,-0.009062386715959292,0.2,0.0003,0.012675512094574515,60,0.011974961
354672,8,0.6834444999694824,4,0.7,393216,4349,90,58.68,-0.010797882452607155,-1.5409735173607866,0.11941731770833333,0.65079265832901,-0.008454723963131983,0.2,0.0003,0.01257949758679994,70,0.011083138
,9,0.6936111450195312,,,442368,4314,102,48.45,-0.01243547908961773,-1.4334693931664029,0.106182861328125,0.6453077793121338,-0.0061184857844637005,0.2,0.0003,0.011508991259809894,80,0.010428187
,10,0.7517778277397156,,,491520,4284,114,50.93,-0.0031669167801737785,-1.340290062315762,0.09954833984375,0.6198139786720276,-0.005628572474173173,0.2,0.0003,0.01146964292396054,90,0.009418859
,11,0.699999988079071,,,540672,4168,129,46.02,0.004368259105831385,-1.247710516365866,0.084173583984375,0.6058962941169739,-0.004368933419027598,0.2,0.0003,0.011019860172867386,100,0.0076404144
,12,0.7106388807296753,,,589824,4141,142,45.2,-0.0012814952060580254,-1.1908002120132248,0.07901204427083333,0.5837295651435852,-0.0036031272533970575,0.2,0.0003,0.011428031420412784,110,0.007683491
,13,0.7480833530426025,,,638976,4117,155,44.98,-0.0032745790667831898,-1.118217502720654,0.06439208984375,0.5569457411766052,-0.002476459664042826,0.2,0.0003,0.011364354629282996,120,0.006098459
,14,0.7424721717834473,,,688128,4096,167,44.65,-0.005361166317015886,-1.0580276725503306,0.06508992513020834,0.5532075762748718,-0.002657548484845999,0.2,0.0003,0.011366013682466777,130,0.00641322
,15,0.7556388974189758,,,737280,4090,180,46.19,0.00851848442107439,-1.0087085834083458,0.06300252278645833,0.5473971366882324,-0.0022193803523502236,0.2,0.0003,0.011965487303435414,140,0.0057133506
,16,0.7441667318344116,,,786432,4084,192,41.07,0.005670920945703983,-0.9779190664179623,0.05867919921875,0.5488424301147461,-0.0022173441083699194,0.2,0.0003,0.01076350909449199,150,0.005932449
,17,0.7027499675750732,,,835584,4080,204,41.68,0.004669993184506893,-0.9444869184556107,0.06641438802083334,0.5404725074768066,-0.002788674005266027,0.2,0.0003,0.010500706735183486,160,0.006176433
,18,0.8074721693992615,,,884736,4076,217,44.91,0.002971466165035963,-0.9199977363459766,0.05926310221354167,0.5386437177658081,-0.0021289312010291423,0.2,0.0003,0.010641737363039283,170,0.005701702
