#{"t_start": 1772065704.725111, "env_id": "None"}
r,l,t
0.0,9,0.032511
0.53571427,130,0.315015
0.5321429,131,0.317429
0.42857143,160,0.38522
0.0,252,0.932724
0.0,252,0.932756
0.0,252,0.932762
0.0,252,0.932766
0.0,252,0.932769
0.0,252,0.932772
0.0,252,0.932775
0.0,252,0.932778
0.0,252,0.932781
0.0,252,0.932784
0.0,252,0.932787
0.0,252,0.93279
0.0,252,0.932793
0.0,252,0.932796
0.0,252,0.932799
0.0,252,0.932802
0.0,252,0.932805
0.0,252,0.932808
0.0,252,0.932811
0.0,252,0.932813
0.0,252,1.022877
0.7285714,76,1.678547
0.0,252,2.209476
0.0,252,2.219498
0.0,252,3.083351
0.39285713,170,3.107375
0.38214287,173,3.114387
0.40714285,166,3.11915
0.3,196,3.167439
0.25357142,209,3.198558
0.18214285,229,3.245599
0.41785714,163,3.269141
0.125,245,3.283152
0.0,252,3.30093
0.0,252,3.300942
0.0,252,3.300947
0.0,252,3.300951
0.0,252,3.300954
0.0,252,3.300958
0.0,252,3.300961
0.0,252,3.300964
0.0,252,3.300967
0.0,252,3.300971
0.0,252,3.300975
0.0,252,3.300978
0.0,252,3.300982
0.0,2,3.307428
0.4857143,144,3.449806
0.30357143,195,3.478765
0.46785715,149,3.553242
0.0,252,3.609305
0.21785714,219,3.633255
0.0,252,3.680424
0.0,252,3.716722
0.5857143,116,3.724262
0.35357141,181,3.731549
0.0,252,3.76684
0.28214285,201,3.779248
0.0,252,3.845879
0.0,252,3.869739
0.0,252,3.883912
0.0,252,3.901182
0.0,252,3.901194
0.0,252,3.901199
0.0,252,3.901202
0.0,252,3.901205
0.0,252,3.901208
0.0,252,3.901212
0.0,252,3.901214
0.0,252,3.901217
0.0,252,3.90122
0.0,252,3.907166
0.0,252,4.075444
0.0,252,4.150485
0.32142857,190,4.167267
0.54285717,128,4.20263
0.0,252,4.207302
0.0,252,4.23069
0.0,252,4.278282
0.0,252,4.321552
0.0,252,4.3288
0.0,252,4.36358
0.0,252,4.375892
0.23571429,214,4.411728
0.0,252,4.44251
0.0,252,4.466236
0.0,252,4.480733
0.5214286,134,4.485715
0.0,252,4.497722
0.0,252,4.497735
0.0,252,4.497739
0.0,252,4.497743
0.0,252,4.497746
0.0,252,4.497749
0.0,252,4.497751
0.0,252,4.497754
0.0,252,4.497757
0.0,40,4.591098
0.0,252,4.67083
0.69285715,86,4.6984
0.0,252,4.745597
0.45,154,4.774865
0.0,252,4.798321
0.0,252,4.803235
0.13214286,243,4.806054
0.46785715,149,4.848577
0.0,252,4.87427
0.12857144,244,4.897929
0.0,252,4.923712
0.28928572,199,4.935782
0.0,252,4.958941
0.0,252,4.97081
0.0,252,5.036638
0.0,252,5.073763
0.0,252,5.078745
0.0,252,5.090956
0.0,252,5.090968
0.0,252,5.090973
0.0,252,5.090976
0.0,252,5.09098
0.0,252,5.090983
0.32857144,188,5.143445
0.0,10,5.166869
0.0,252,5.185565
0.3,196,5.263692
0.0,252,5.263705
0.0,252,5.339396
0.0,252,5.367709
0.0,252,5.391732
0.0,252,5.399334
0.0,252,5.441083
0.0,252,5.467135
0.11071429,249,5.484104
0.0,252,5.516844
0.0,252,5.528695
0.0,252,5.552442
0.0,252,5.564279
0.0,252,5.630363
0.13214286,243,5.664169
0.0,252,5.66876
0.0,252,5.673714
0.0,252,5.685958
0.0,252,5.685971
0.0,252,5.685976
0.0,252,5.685981
0.0,252,5.685984
0.0,22,5.73793
0.28214285,201,5.740574
0.0,252,5.761619
0.0,252,5.780713
0.0,252,5.860481
0.0,252,5.93479
0.27857143,202,5.944836
0.33214286,187,5.959104
0.0,252,5.963965
0.0,252,5.987912
0.0,252,5.995077
0.0,252,6.03841
0.0,252,6.080218
0.12857144,244,6.10626
0.14642857,239,6.129916
0.31428573,192,6.139054
0.0,252,6.148568
0.0,252,6.225685
0.24285714,212,6.239889
0.0,252,6.259224
0.0,252,6.264168
0.0,252,6.269136
0.0,252,6.281201
0.0,252,6.281214
0.0,252,6.28122
0.0,4,6.291042
0.0,252,6.333999
0.0,252,6.358003
0.0,252,6.376745
0.51428574,136,6.428987
0.0,252,6.457182
0.0,252,6.531937
0.0,252,6.541401
0.0,252,6.555342
0.0,252,6.560345
