time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,shield/ignore_prob,shield/transition_timestep,shield/stage
49152,7068,6,1,0.05664285644888878,234.26,,,,,,,,,,,,,
98304,5567,17,2,0.15925000607967377,216.7,-0.014696460217237473,-1.934559296319882,0.04367268880208333,-0.028259754180908203,-0.003470041905954228,0.2,0.0003,0.0008404198582828334,10,0.01186199,,,
147456,5215,28,3,0.2517143189907074,194.03,-0.010724767111241817,-1.9166793085634708,0.09191080729166666,0.3081324100494385,-0.00731513751015882,0.2,0.0003,0.0016677644470367643,20,0.011416431,0.1,110088,1
196608,5054,38,4,0.38478565216064453,161.21,-0.01088964007794857,-1.901198939792812,0.11993408203125,0.42119652032852173,-0.009265288806333653,0.2,0.0003,0.0035143120847957714,30,0.012601313,0.3,166632,2
245760,4968,49,5,0.5339642763137817,127.62,-0.00326617737300694,-1.8615524868791302,0.138006591796875,0.4946969151496887,-0.012115934053266149,0.2,0.0003,0.005837256889329486,40,0.011685203,,,
294912,4906,60,6,0.6456427574157715,85.7,-0.019868988543748856,-1.7981938859447837,0.18425089518229168,0.5654127597808838,-0.01577956318900154,0.2,0.0003,0.008768157335968378,50,0.014024836,0.5,250080,3
344064,4855,70,7,0.7346785068511963,68.75,-0.03736418858170509,-1.7020318873847524,0.193548583984375,0.6173452734947205,-0.017322308354414416,0.2,0.0003,0.011395786615563945,60,0.014731694,0.7,303888,4
393216,4812,81,8,0.7955357432365417,54.47,-0.013361125253140926,-1.5900009529665113,0.22000935872395833,0.6449794769287109,-0.018518663366679296,0.2,0.0003,0.011476630654457646,70,0.014889992,,,
442368,4772,92,9,0.8147857785224915,46.62,0.004497619345784187,-1.4429989822829763,0.23141682942708333,0.6431229114532471,-0.01895293496878973,0.2,0.0003,0.010102833780789904,80,0.016682798,,,
491520,4735,103,10,0.8596071004867554,39.31,-0.02988070249557495,-1.2776354487364492,0.221478271484375,0.6318237781524658,-0.016657740168617843,0.2,0.0003,0.008095854019241717,90,0.015911216,1.0,464304,5
540672,4611,117,11,0.83689284324646,37.66,-0.012135225348174572,-1.125918953679502,0.1806396484375,0.622959315776825,-0.01249259625862275,0.2,0.0003,0.005808031716393695,100,0.012304995,,,
589824,4591,128,12,0.8743571639060974,32.4,-0.010979912243783474,-1.0095660397782922,0.143695068359375,0.618569016456604,-0.010431721901841228,0.2,0.0003,0.004797418847253236,110,0.00885985,,,
638976,4570,139,13,0.8870357275009155,31.63,-0.004079944454133511,-0.8818490566064914,0.12035115559895833,0.614539623260498,-0.008678047888982595,0.2,0.0003,0.003520851103288199,120,0.008598025,,,
688128,4552,151,14,0.8721785545349121,30.28,-0.0008341403445228934,-0.7925646492280066,0.08961385091145833,0.6147477626800537,-0.00623092796383086,0.2,0.0003,0.003171878021142523,130,0.006616932,,,
737280,4535,162,15,0.8912141919136047,30.46,-0.006013046950101852,-0.6989045581780374,0.07881673177083333,0.5918984413146973,-0.004922693179833004,0.2,0.0003,0.0030469196162812295,140,0.0056687878,,,
