#{"t_start": 1771726473.1682377, "env_id": "None"}
r,l,t
0.0,5,0.577619
0.0,6,0.580409
0.0,16,0.606676
0.0,17,0.609731
0.0,21,0.620431
0.0,23,0.626032
0.0,24,0.62894
0.0,28,0.639929
0.0,20,0.659941
0.0,39,0.667942
0.0,44,0.68135
0.0,52,0.702632
0.0,34,0.729065
0.0,26,0.729077
0.0,66,0.739741
0.0,48,0.75324
0.0,10,0.766809
0.0,78,0.772483
0.0,39,0.772495
0.0,79,0.775437
0.0,66,0.796772
0.0,9,0.7995
0.0,91,0.807646
0.0,5,0.812822
0.0,92,0.822965
0.68333334,114,0.86722
0.0,117,0.874833
0.0,84,0.902961
0.0,136,0.923645
0.55833334,159,0.983421
0.0,144,0.988933
0.0,163,0.9946
0.0,160,1.002233
0.0,9,1.018012
0.0,82,1.034976
0.0,3,1.042671
0.0,30,1.078712
0.0,113,1.089245
0.0,12,1.109723
0.73333335,96,1.299457
0.0,87,1.324431
0.0,59,1.360409
0.0,50,1.408521
0.37777779,224,1.43234
0.0,23,1.517495
0.0,76,1.589084
0.0,13,1.672644
0.0,47,1.708467
0.0,27,1.914457
0.24166666,273,2.0241
0.4888889,184,2.048692
0.39166668,219,2.119684
0.0,17,2.320039
0.0,74,2.320071
0.0,212,2.402153
0.0,229,2.426428
0.0,32,2.426462
0.0,89,2.426468
0.0,10,2.542234
0.275,261,2.613563
0.0,110,2.613595
0.0,324,2.625837
0.0,324,2.625859
0.0,56,2.684875
0.0,72,2.768351
0.2611111,266,2.839003
0.0,99,2.885897
0.0,324,2.909962
0.0,25,2.922305
0.0,12,2.981056
0.0,52,3.040759
0.0,31,3.052612
0.0,15,3.099349
0.0,184,3.123298
0.0,44,3.135297
0.0,29,3.230472
0.0,324,3.24272
0.0,10,3.242743
0.0,3,3.279635
0.0,21,3.291717
0.0,78,3.328211
0.0,30,3.340126
0.0,73,3.411331
0.0,324,3.470048
0.0,180,3.470077
0.0,324,3.553185
0.0,38,3.553218
0.0,4,3.601248
0.0,45,4.421447
0.0,67,4.431751
0.0,205,4.464612
0.7083333,105,4.469957
0.0,4,4.47555
0.0,324,4.494695
0.0,107,4.508656
0.0,67,4.508668
0.0,85,4.514404
0.0,50,4.514416
0.0,19,4.528763
0.0,71,4.531383
0.0,68,4.534568
0.0,324,4.555859
0.0,69,4.567485
0.0,22,4.570441
0.0,80,4.584148
0.0,22,4.589804
0.0,77,4.609605
0.0,54,4.620821
0.0,192,4.640037
0.0,8,4.64326
0.0,112,4.643272
0.0,55,4.64904
0.0,48,4.668164
0.0,20,4.697662
0.0,24,4.705684
0.0,140,4.708472
0.0,54,4.732613
0.0,84,4.746385
0.0,38,4.751995
0.0,31,4.752007
0.0,26,4.767777
0.0,73,4.77107
0.0,9,4.771082
0.0,24,4.771087
0.0,79,4.785027
0.0,21,4.809021
0.0,150,4.819592
0.0,25,4.837896
0.0,28,4.845513
0.0,324,4.851324
0.47777778,188,4.860341
0.26666668,264,4.860354
0.0,35,4.865991
0.0,56,4.885039
0.0,139,4.890737
0.0,52,4.893591
0.0,136,4.928873
0.0,31,4.944938
0.0,22,4.953404
0.0,95,4.966742
0.0,30,4.972115
0.0,41,4.977774
0.0,138,4.986037
0.18333334,294,4.98605
0.0,14,4.991981
0.0,324,5.00052
0.0,59,5.009117
0.0,29,5.009131
0.0,19,5.020926
0.0,13,5.037656
0.0,6,5.05399
0.0,40,5.056951
0.0,27,5.06276
0.0,114,5.098525
0.0,47,5.109705
0.0,36,5.109717
0.0,57,5.131622
0.0,16,5.14278
0.0,27,5.183991
0.0,49,5.189668
0.0,157,5.200322
0.0,60,5.22675
0.0,133,5.226762
0.0,35,5.237353
0.0,96,5.251281
0.57222223,154,5.262866
0.0,14,5.276168
0.0,237,5.292728
0.0,107,5.316242
0.0,324,5.316255
0.0,324,5.324909
0.4722222,190,5.34344
0.0,23,5.357534
0.0,31,5.362818
0.0,324,5.405492
0.0,32,5.411618
0.0,324,5.422735
0.5833333,150,5.422748
0.0,324,5.479426
0.0,112,5.495937
0.0,259,5.520491
0.0,41,5.523426
0.0,84,5.545743
0.30833334,249,5.57023
0.0,11,5.57586
0.0,30,5.578732
0.0,142,5.589418
0.0,221,5.600483
0.0,29,5.603717
0.0,66,5.60373
0.0,81,5.629052
0.5472222,163,5.632229
0.0,20,5.659604
0.0,32,5.692785
0.0,100,5.698294
0.0,324,5.744263
0.0,89,5.766909
0.0,35,5.788294
0.0,61,5.799016
0.73055553,97,5.855059
0.0,105,5.857955
0.18611111,293,5.861076
0.0,65,5.874972
0.0,7,5.874985
0.0,32,5.87499
0.0,146,5.880708
0.0,85,5.891941
0.0,19,5.932901
0.0,132,5.93827
0.16111112,302,5.960184
0.0,219,5.963093
0.0,40,5.98458
0.0,324,5.997783
0.0,20,6.017304
0.0,256,6.017317
0.0,82,6.022389
0.0,4,6.033401
0.0,67,6.041666
0.0,44,6.052769
