#{"t_start": 1772059040.9831035, "env_id": "None"}
r,l,t
0.0,6,0.628169
0.0,6,0.628198
0.0,9,0.634405
0.0,14,0.644622
0.0,18,0.670831
0.0,32,0.680837
0.0,34,0.684981
0.0,38,0.693262
0.0,39,0.695438
0.0,43,0.703499
0.0,47,0.711573
0.0,58,0.733701
0.0,66,0.749788
0.0,32,0.757931
0.0,64,0.77419
0.0,78,0.774201
0.0,78,0.774206
0.0,52,0.786278
0.0,98,0.814564
0.0,99,0.816719
0.0,94,0.818947
0.0,94,0.818956
0.0,101,0.821123
0.0,70,0.845341
0.0,16,0.851408
0.0,121,0.861607
0.0,44,0.863834
0.0,113,0.899812
0.0,42,0.906137
0.0,146,0.912349
0.0,153,0.926834
0.0,13,0.926845
0.0,76,0.940762
0.0,27,0.961063
0.0,172,0.965265
0.0,134,0.967355
0.51111114,176,0.97338
0.0,56,0.977608
0.0,35,0.983752
0.0,8,0.989827
0.0,119,0.991922
0.0,73,1.000103
0.0,70,1.00426
0.725,99,1.016663
0.0,97,1.016675
0.0,32,1.031335
0.0,26,1.031346
0.0,172,1.323999
0.0,35,1.335427
0.3888889,220,1.335449
0.0,24,1.346992
0.0,144,1.358474
0.0,42,1.480166
0.0,19,1.55656
0.0,22,1.567762
0.0,69,1.579075
0.0,58,1.579097
0.0,57,1.623459
0.0,68,1.656073
0.0,13,1.721967
0.0,204,1.798798
0.0,44,1.820544
0.0,4,1.864983
0.0,25,1.930958
0.0,56,1.95322
0.0,207,1.964544
0.0,41,2.030554
0.0,10,2.041901
0.0,45,2.118744
0.0,199,2.194746
0.0,46,2.227866
0.0,17,2.227899
0.0,269,2.250215
0.0,139,2.315963
0.0,109,2.360016
0.0,116,2.437164
0.0,22,2.437199
0.0,46,2.470119
0.0,324,2.481195
0.0,166,2.503804
0.0,76,2.634032
0.0,15,2.667215
0.0,60,3.017258
0.0,78,3.083862
0.0,61,3.150503
0.0,153,3.162049
0.0,82,3.217712
0.0,72,3.229023
0.0,198,3.262324
0.0,106,3.284587
0.0,74,3.284616
0.0,134,3.339295
0.0,324,3.339328
0.0,11,3.350692
0.0,35,3.405775
0.0,170,4.167172
0.0,11,4.189966
0.0,84,4.192174
0.0,23,4.200596
0.0,51,4.208911
0.0,33,4.219391
0.0,324,4.223787
0.0,35,4.223799
0.0,43,4.230391
0.5388889,166,4.248873
0.0,14,4.248886
0.0,157,4.271408
0.0,53,4.273572
0.0,16,4.281873
0.0,48,4.300539
0.0,324,4.307046
0.0,324,4.307058
0.0,140,4.315727
0.0,25,4.326066
0.0,267,4.33244
0.0,58,4.369369
0.0,113,4.371571
0.0,36,4.37578
0.0,125,4.388086
0.0,197,4.390298
0.0,242,4.392414
0.0,82,4.39451
0.0,41,4.400495
0.0,225,4.408653
0.0,24,4.424905
0.0,98,4.432986
0.0,153,4.45738
0.0,75,4.461623
0.0,132,4.465921
0.0,29,4.468103
0.0,91,4.470382
0.0,6,4.470391
0.0,42,4.478625
0.0,324,4.489013
0.0,91,4.495465
0.0,53,4.497647
0.0,84,4.499863
0.0,191,4.512336
0.0,120,4.520602
0.0,43,4.522807
0.0,13,4.525111
0.0,28,4.525122
0.0,12,4.545297
0.0,79,4.553502
0.0,175,4.553514
0.0,160,4.555659
0.0,112,4.563722
0.0,10,4.565858
0.0,8,4.570085
0.0,49,4.572232
0.0,94,4.588298
0.0,62,4.598569
0.0,44,4.612711
0.0,50,4.62667
0.0,20,4.62884
0.0,113,4.633104
0.0,13,4.639357
0.0,10,4.649626
0.0,102,4.687989
0.0,69,4.712549
0.0,80,4.718717
0.0,119,4.732914
0.0,84,4.735038
0.62222224,136,4.741068
0.0,124,4.749173
0.0,25,4.763674
0.0,106,4.770019
0.0,132,4.782435
0.0,22,4.786708
0.0,324,4.78672
0.0,12,4.789115
0.0,35,4.791461
0.0,20,4.791471
0.0,81,4.793742
0.0,73,4.800017
0.0,7,4.804221
0.0,12,4.812398
0.0,93,4.824903
0.0,15,4.835264
0.0,168,4.845402
0.0,38,4.849581
0.0,33,4.855632
0.0,30,4.861848
0.0,239,4.86407
0.0,15,4.876473
0.0,324,4.878614
0.0,45,4.887186
0.0,13,4.889381
0.55,162,4.899823
0.0,20,4.920686
0.0,46,4.920698
0.0,113,4.922802
0.0,19,4.927082
0.0,25,4.929312
0.0,69,4.935577
0.0,97,4.937825
0.0,19,4.940021
0.0,17,4.956735
0.0,17,4.956747
0.0,63,4.981199
0.0,28,4.987838
0.0,94,4.987849
0.0,86,4.992083
0.0,41,5.008501
0.0,58,5.010732
0.0,311,5.013052
0.0,27,5.013064
0.0,84,5.031297
0.0,47,5.033517
0.0,53,5.037751
0.0,16,5.041996
0.0,18,5.048169
0.0,12,5.062544
0.0,26,5.066774
0.0,30,5.075279
0.0,116,5.077583
0.0,15,5.079854
0.0,107,5.088323
0.0,73,5.092555
0.0,51,5.094719
0.0,324,5.096944
0.0,12,5.105346
0.0,63,5.113484
0.0,39,5.115626
0.0,66,5.129531
0.0,18,5.131691
0.0,324,5.139824
0.0,33,5.14415
0.31388888,247,5.15231
0.0,18,5.152322
0.15,306,5.158416
0.0,43,5.166725
0.0,61,5.168896
0.0,18,5.181424
0.0,68,5.208252
0.0,38,5.208263
0.0,62,5.216683
0.0,55,5.218865
0.0,138,5.225268
0.0,131,5.229577
0.0,35,5.231818
0.0,39,5.234053
0.0,324,5.242374
0.0,38,5.248581
0.0,39,5.262858
0.0,24,5.269064
0.0,324,5.27127
0.0,67,5.279879
0.33055556,241,5.285947
0.0,44,5.299989
0.0,45,5.302127
0.0,22,5.308373
0.0,138,5.318787
0.0,90,5.318799
0.0,42,5.321096
0.0,44,5.321108
0.0,27,5.335308
0.0,27,5.374063
0.0,70,5.376245
0.0,38,5.380548
0.0,33,5.386803
0.0,58,5.391076
0.0,324,5.4079
0.0,35,5.407912
0.0,203,5.410476
0.0,11,5.410487
0.0,7,5.424817
0.0,76,5.427034
0.0,91,5.431267
0.0,162,5.433527
0.49166667,183,5.443761
0.0,71,5.468259
0.0,26,5.484754
0.0,53,5.490975
0.0,92,5.499064
0.0,138,5.503292
0.0,63,5.507503
0.0,46,5.519717
0.0,52,5.534137
0.0,126,5.546592
0.0,67,5.546604
0.0,28,5.548743
0.0,24,5.552876
0.78055555,79,5.555012
0.0,30,5.58194
0.0,68,5.58414
0.0,203,5.588427
0.0,20,5.590612
0.0,27,5.602914
0.0,112,5.607128
0.0,55,5.613338
0.0,253,5.617516
0.0,42,5.63386
0.0,120,5.658157
0.0,40,5.666636
0.0,125,5.666649
0.0,179,5.670819
0.0,27,5.672978
0.0,256,5.683265
0.75,90,5.693488
0.0,115,5.722229
0.0,24,5.722241
0.0,21,5.726479
0.0,69,5.732661
0.0,33,5.734854
0.0,4,5.743036
0.0,102,5.745311
0.0,11,5.745323
0.0,84,5.755667
0.0,75,5.762071
0.0,51,5.776561
0.0,69,5.776573
0.0,94,5.782826
0.0,324,5.784969
0.0,20,5.787319
0.0,46,5.789525
0.0,8,5.793721
0.0,33,5.795899
0.0,6,5.800084
0.0,23,5.804206
0.0,10,5.806367
0.0,9,5.818646
0.0,44,5.83664
0.17777778,296,5.838804
0.0,56,5.84898
0.0,62,5.851095
0.0,46,5.857282
0.0,130,5.871361
0.0,13,5.877603
0.0,49,5.889966
0.0,134,5.889978
0.0,66,5.918657
0.0,30,5.918669
0.0,324,5.918674
0.0,38,5.927159
0.0,66,5.931449
0.0,58,5.937761
0.0,7,5.946267
0.0,55,5.950805
0.0,71,5.950817
0.0,31,5.955143
0.0,5,5.961576
0.0,7,5.965831
0.0,24,5.978394
0.0,15,5.993071
0.0,324,5.993084
0.0,270,5.993089
0.0,16,6.011961
0.0,11,6.016191
0.0,28,6.024627
0.0,5,6.026831
0.0,15,6.0435
0.0,121,6.045795
0.0,79,6.056448
0.0,56,6.05646
0.0,287,6.065032
0.0,87,6.102139
0.0,83,6.120671
0.0,91,6.14572
0.0,44,6.147935
0.0,293,6.16211
0.0,26,6.174265
0.0,169,6.190656
0.0,26,6.19888
0.12222222,316,6.210981
0.0,167,6.219281
0.0,144,6.219293
0.0,22,6.243796
0.0,46,6.256372
0.0,267,6.29718
0.0,38,6.297193
0.0,133,6.299456
0.0,33,6.312346
0.0,324,6.331239
0.0,57,6.337877
0.0,324,6.340219
0.0,72,6.340232
0.0,274,6.346655
0.0,9,6.356933
0.0,267,6.361168
0.0,30,6.363383
0.0,106,6.367603
0.0,7,6.375826
0.0,99,6.380106
0.0,45,6.392658
0.0,47,6.39694
0.0,198,6.404982
0.0,10,6.413124
0.0,25,6.41928
0.0,154,6.421412
0.0,30,6.425615
0.0,85,6.433827
0.0,17,6.440084
0.0,62,6.442369
0.0,8,6.442381
0.0,22,6.464992
0.0,35,6.469307
0.0,70,6.477526
0.0,204,6.47972
0.0,271,6.48387
0.0,52,6.487978
0.0,27,6.490144
