time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/learning_rate,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range
1,29.56,7662,49152,0.0054296874441206455,6,,,,,,,,,,
2,25.27,5871,98304,0.0,16,-0.014245540834963322,0.0003,10,-1.9400145468612513,0.011708971,-0.09047555923461914,-0.0030479965482906363,0.0003264283501673996,0.068682861328125,0.2
3,27.33,5461,147456,0.0,26,-0.019903719425201416,0.0003,20,-1.9167053365459046,0.012675081,0.10367608070373535,-0.004528361030012699,0.0005892982495045847,0.11520182291666667,0.2
4,55.73,5292,196608,0.010894532315433025,37,-0.01731552742421627,0.0003,30,-1.8878150646264353,0.019628033,0.19634222984313965,-0.006676999845027846,0.000488445713906079,0.130230712890625,0.2
5,81.29,5221,245760,0.06119921803474426,47,-0.019580677151679993,0.0003,40,-1.8703316015501816,0.010823484,0.2910653352737427,-0.006189790773260029,0.0009235377020862264,0.1014892578125,0.2
6,74.99,5178,294912,0.16395312547683716,56,-0.028592852875590324,0.0003,50,-1.840587855875492,0.018933585,0.39996200799942017,-0.008095063342019178,0.002374557164936656,0.14784138997395832,0.2
7,55.87,5156,344064,0.3338046669960022,66,-0.029289929196238518,0.0003,60,-1.7964754727979502,0.014065164,0.5130075216293335,-0.012802616003621854,0.006011646879536177,0.18240559895833333,0.2
8,48.0,5142,393216,0.4307304620742798,76,-0.013384065590798855,0.0003,70,-1.7243555581197143,0.015918264,0.6348119974136353,-0.017113741787640416,0.009769767727023766,0.21250813802083332,0.2
9,44.06,5130,442368,0.5060195326805115,86,-0.0199957937002182,0.0003,80,-1.6215720474720001,0.013679042,0.6884971857070923,-0.020710669711600835,0.013959803458904692,0.21764729817708334,0.2
10,34.8,5108,491520,0.5721406936645508,96,-0.03212253749370575,0.0003,90,-1.493371761776507,0.016030625,0.6963217258453369,-0.02311430776899215,0.015085339661648807,0.246722412109375,0.2
11,29.8,4991,540672,0.6556757092475891,108,-0.037242691963911057,0.0003,100,-1.331188265234232,0.016588846,0.6263012886047363,-0.01844679847805916,0.016990818896738348,0.22741292317708334,0.2
12,26.89,4974,589824,0.6936914920806885,118,-0.01622428186237812,0.0003,110,-1.1666891464963556,0.014948338,0.5477486252784729,-0.014674087151555189,0.016830736346795067,0.210211181640625,0.2
13,22.83,4959,638976,0.7142031192779541,128,-0.0119531424716115,0.0003,120,-1.025299563445151,0.011783324,0.46648961305618286,-0.009809265388260732,0.018371358620061073,0.15354817708333332,0.2
14,22.45,4955,688128,0.717613160610199,138,0.012378580868244171,0.0003,130,-0.8957579743427535,0.009416067,0.41244274377822876,-0.0063838639407549636,0.018317922600059926,0.12239176432291667,0.2
15,22.32,4952,737280,0.7564882636070251,148,0.010569137521088123,0.0003,140,-0.7796364310818414,0.0076105036,0.3680720329284668,-0.005136782242789195,0.020077894181546676,0.10315958658854167,0.2
16,21.06,4944,786432,0.7304609417915344,159,0.007927307859063148,0.0003,150,-0.6918169381717841,0.0062417523,0.3645760416984558,-0.0040133160068459494,0.0174515642109327,0.088385009765625,0.2
17,20.14,4937,835584,0.7824648022651672,169,0.002023214939981699,0.0003,160,-0.6131931518825392,0.005966949,0.33713287115097046,-0.0035981688854008096,0.01805930652505291,0.08047078450520834,0.2
18,20.6,4930,884736,0.7601445913314819,179,0.007007720414549112,0.0003,170,-0.5511249754267434,0.005649287,0.2971310019493103,-0.002461515381461747,0.019530153837210188,0.05859781901041667,0.2
19,19.09,4930,933888,0.7472811937332153,189,0.01232051756232977,0.0003,180,-0.5200235718550782,0.0048416746,0.29749441146850586,-0.002753522766579408,0.018982593847613315,0.06113077799479167,0.2
20,18.6,4873,983040,0.7588281035423279,201,0.0026515088975429535,0.0003,190,-0.4601366353376458,0.004751377,0.30532699823379517,-0.002339160317630255,0.01856114855133152,0.050343831380208336,0.2
21,18.92,4822,1032192,0.7865078449249268,214,0.009500566869974136,0.0003,200,-0.39904310951630273,0.0034692679,0.28234589099884033,-0.0013829399886769048,0.019765550844264606,0.040629069010416664,0.2
22,16.82,4819,1081344,0.7040312886238098,224,0.0045935725793242455,0.0003,210,-0.35050097469550867,0.0027926539,0.3062034249305725,-0.001353516208534226,0.01678210333241926,0.03561604817708333,0.2
23,19.0,4815,1130496,0.7664726376533508,234,0.008174661546945572,0.0003,220,-0.31005387104426824,0.0030963346,0.28619247674942017,-0.0013229187383027843,0.018221005508530654,0.035052490234375,0.2
24,17.99,4812,1179648,0.7293555736541748,245,0.014832934364676476,0.0003,230,-0.2993046327416475,0.0040061288,0.2666947841644287,-0.0009989941210733378,0.021360251330528022,0.029390462239583335,0.2
