rollout/ep_rew_mean,shield/actions_blocked,shield/actions_block_ignored,shield/constant_delta,shield/actions_allowed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/learning_rate,shield/ignore_prob,shield/transition_timestep,shield/stage
0.43069443106651306,6890,0,0.9,14170,49152,1,156.28,6,8035,,,,,,,,,,,,,
0.4242500066757202,15142,0,,30585,98304,2,128.01,18,5426,10,0.2,-0.014285922050476074,-0.008441895246505737,-1.9329556277021767,-0.005103050871912274,0.014738098,0.006396372621020418,0.06522216796875,0.0003,,,
0.5505833625793457,24761,0,,49928,147456,3,114.65,30,4864,20,0.2,0.5346362590789795,0.0062975506298244,-1.8903677692636847,-0.007249993237079858,0.015761374,0.008125975914056956,0.09231160481770834,0.0003,0.25,100008,0
0.6081944704055786,36143,0,,70476,196608,4,93.24,42,4648,30,0.2,0.6144813895225525,0.0013038404285907745,-1.839787795394659,-0.008300559229428472,0.01199316,0.010121083350046927,0.105841064453125,0.0003,,,
0.6433332562446594,48700,0,,91733,245760,5,83.16,54,4496,40,0.2,0.6571654081344604,-0.0009302236139774323,-1.788404918462038,-0.00857601747144751,0.010916933,0.011672597887809388,0.10010172526041666,0.0003,0.5,200016,1
0.6278610825538635,62958,0,,113802,294912,6,63.25,66,4409,50,0.2,0.6523374319076538,-0.019670134410262108,-1.7128694510708253,-0.009755096456380367,0.011786573,0.012477431500641008,0.12418416341145834,0.0003,,,
0.6361944079399109,78428,0,,136806,344064,7,66.76,79,4319,60,0.2,0.6542069911956787,0.013716945424675941,-1.6275758285696307,-0.009494797847946757,0.010974686,0.01254042200356101,0.12365926106770833,0.0003,0.75,300000,2
0.6926667094230652,95313,0,,159989,393216,8,59.58,92,4258,70,0.2,0.6442763209342957,-0.012437194585800171,-1.5476790020863216,-0.008486223210214423,0.010634653,0.012348070537458018,0.117669677734375,0.0003,,,
0.7215278148651123,113047,0,,183771,442368,9,52.54,105,4202,80,0.2,0.6242092847824097,-0.005689367651939392,-1.4531199865664044,-0.007140666659931109,0.011424345,0.012257353587968586,0.10971272786458333,0.0003,1,400008,3
0.7626388669013977,131173,0,,208161,491520,10,54.16,118,4159,90,0.2,0.6050384044647217,0.003941262140870094,-1.3634450351819396,-0.005813191429721579,0.009749781,0.01213152172761814,0.09836629231770834,0.0003,,,
0.6931944489479065,150112,0,,232599,540672,11,52.7,131,4122,100,0.2,0.6015157699584961,-0.011464975774288177,-1.2758481949567795,-0.005060564248500062,0.009217665,0.011259312325758703,0.09302164713541666,0.0003,,,
