time/total_timesteps,shield/actions_block_ignored,rollout/ep_len_mean,rollout/ep_rew_mean,shield/actions_allowed,time/iterations,shield/actions_blocked,time/fps,time/time_elapsed,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,shield_cutoff_timestep
49152,0,171.23,0.2554444372653961,16890,1,4178,8006,6,,,,,,,,,,,
98304,0,157.86,0.3028889000415802,36755,2,8872,5454,18,0.0003,0.003920749848869794,0.0145778665,-0.006445089355111122,10,-0.004752690330375723,-1.9329761784523725,0.05379842122395833,0.2,-0.008257269859313965,
147456,0,145.94,0.3438611328601837,59274,3,14403,4901,30,0.0003,0.005122484324480562,0.011888248,-0.0092992652207613,20,-0.00572001601831289,-1.9007504420354961,0.07346394856770834,0.2,0.45023536682128906,
196608,0,115.33,0.38349997997283936,82641,4,20671,4642,42,0.0003,0.0063375679015734935,0.010207788,-0.01238834485411644,30,-0.006900507158873855,-1.8606849508360028,0.09751180013020834,0.2,0.5839520692825317,
245760,0,102.12,0.47119444608688354,106404,5,27865,4495,54,0.0003,0.008898816480116997,0.011215198,-0.0012132278643548489,40,-0.008488504935545886,-1.819680903169016,0.12259114583333333,0.2,0.6052664518356323,
294912,0,60.43,0.09022222459316254,108535,6,28545,4502,65,0.0003,0.010017319134203718,0.0120546175,-0.009653540328145027,50,-0.009751211113568085,-1.752587346546352,0.1295166015625,0.2,0.6624021530151367,250008
344064,,69.02,0.054527778178453445,,7,,4532,75,0.0003,0.0071303939170320515,0.01200635,-0.014834380708634853,60,-0.009017465279309059,-1.7190146253133813,0.13595174153645834,0.2,0.47237831354141235,
393216,,80.28,0.20100000500679016,,8,,4556,86,0.0003,0.006638490712915276,0.0129710855,-0.015166756696999073,70,-0.010539158788560599,-1.6801685405895115,0.15290323893229166,0.2,0.5023200511932373,
442368,,72.87,0.2709999978542328,,9,,4577,96,0.0003,0.008592268713982776,0.012335114,-0.03833473101258278,80,-0.010775927765280358,-1.6106803178787232,0.15699666341145832,0.2,0.4746999144554138,
491520,,82.4,0.43130558729171753,,10,,4592,107,0.0003,0.010358582109135265,0.0116745755,-0.00948657188564539,90,-0.010999665275145768,-1.5116413816188772,0.1473388671875,0.2,0.5028406381607056,
540672,,58.5,0.5051666498184204,,11,,4597,117,0.0003,0.013317115438985639,0.01236327,-0.021403422579169273,100,-0.011923703928490188,-1.4112862233072518,0.16110432942708333,0.2,0.5254387259483337,
