rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl
95.88,4,0.01067857164889574,49152,1,11989,,,,,,,,,,
141.2,13,0.020642857998609543,98304,2,7191,0.0001982444870227103,-0.015559345483779907,0.2,-0.005773958623497795,10,-1.937400346683959,-0.24661242961883545,0.0003,0.08200480143229166,0.011543684
167.96,23,0.026107143610715866,147456,3,6274,0.0005157792386341953,-0.013560731895267963,0.2,-0.005987402250078351,20,-1.9260166826968392,0.12235677242279053,0.0003,0.13006184895833334,0.011090239
187.62,33,0.10449999570846558,196608,4,5909,0.00046332371668427185,-0.01852271519601345,0.2,-0.00661494030355243,30,-1.9046127621705333,0.3086375594139099,0.0003,0.13491007486979167,0.011181555
163.54,42,0.29157140851020813,245760,5,5716,0.0013722838405859268,-0.0038286102935671806,0.2,-0.007704266677137639,40,-1.8857360505188505,0.3480861783027649,0.0003,0.13638712565104166,0.010265238
113.81,52,0.4650714099407196,294912,6,5612,0.0044474985350461795,-0.014390965923666954,0.2,-0.01201354694070081,50,-1.8455908322706818,0.40537184476852417,0.0003,0.15199788411458334,0.012678017
85.6,62,0.6069286465644836,344064,7,5538,0.00855019246567584,-0.018161771818995476,0.2,-0.015403784554837329,60,-1.783897861217459,0.49423837661743164,0.0003,0.18872273763020833,0.013630986
70.36,71,0.7077857255935669,393216,8,5493,0.011296326324615318,-0.005983178503811359,0.2,-0.017360282529868223,70,-1.6929510882745187,0.5932222604751587,0.0003,0.20630086263020833,0.014358881
49.59,81,0.7705714702606201,442368,9,5441,0.01285758703306783,-0.011527318507432938,0.2,-0.02010485714332996,80,-1.5639886101707816,0.6457366943359375,0.0003,0.22291666666666668,0.015888926
44.87,91,0.8023213744163513,491520,10,5395,0.012141323419443021,-0.01591024175286293,0.2,-0.021187988700936935,90,-1.3889827471226455,0.6555381417274475,0.0003,0.26116739908854164,0.01675869
36.27,101,0.8140357136726379,540672,11,5347,0.009758178645279258,0.01352235022932291,0.2,-0.017693836725508543,100,-1.2000952693323295,0.6356980204582214,0.0003,0.23359781901041668,0.019890303
