rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl
35.74,4,0.0,49152,1,11229,,,,,,,,,,
41.05,14,0.0,98304,2,6852,0.0003042293316831035,-0.011376753449440002,0.2,-0.0037040778047715624,10,-1.9409701966991026,-0.10742473602294922,0.0003,0.044097900390625,0.010761346
48.22,24,0.011683592572808266,147456,3,6083,0.0006923085295118388,0.007103085517883301,0.2,-0.0026908318413916277,20,-1.9259331321964661,0.05825650691986084,0.0003,0.07362263997395833,0.010500344
26.99,34,0.0,196608,4,5765,0.0006621860214825877,0.0012264589313417673,0.2,-0.0042139124930145044,30,-1.9134070402632157,0.17915946245193481,0.0003,0.08155721028645833,0.010042169
32.87,44,0.018714843317866325,245760,5,5580,0.0010624724954861147,-0.001498677651397884,0.2,-0.005481539332201161,40,-1.8921280686433117,0.30616647005081177,0.0003,0.09440511067708333,0.009890729
35.83,54,0.10410156100988388,294912,6,5457,0.0035655664992191305,-0.013381377793848515,0.2,-0.00990238606852169,50,-1.8715865205973388,0.38739699125289917,0.0003,0.13857828776041667,0.012709382
40.39,63,0.22453516721725464,344064,7,5384,0.006877235104184365,-0.010072484612464905,0.2,-0.013355798840833207,60,-1.8164305728549759,0.5370873808860779,0.0003,0.17341105143229166,0.015502244
32.99,73,0.30854296684265137,393216,8,5326,0.010981839820548582,-0.010331863537430763,0.2,-0.017510962061714964,70,-1.7308770104000966,0.6324973106384277,0.0003,0.2103515625,0.014160705
30.8,83,0.4046406149864197,442368,9,5280,0.014251080420217476,-0.017729178071022034,0.2,-0.02185205090730354,80,-1.6191401111582915,0.6842226982116699,0.0003,0.23626912434895833,0.015100566
32.65,93,0.5307890772819519,491520,10,5241,0.017414589869440535,-0.015749551355838776,0.2,-0.024828156378377268,90,-1.4672299347197015,0.6803911924362183,0.0003,0.26642049153645836,0.01699662
26.58,104,0.6154844164848328,540672,11,5196,0.018998372176429256,-0.0028417659923434258,0.2,-0.02090324632966561,100,-1.300755853081743,0.6218253374099731,0.0003,0.24536336263020833,0.017409863
