time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
5,49152,1,8771,72.17,12316,0,8730,0.6387382745742798,,,,,,,,,,,,,
16,98304,2,5891,61.57,26731,0,19313,0.6050390601158142,-1.9319386745492617,-0.00956026463818489,0.0003,0.16008504231770834,0.012132554949979142,0.004331648349761963,10,0.2,-0.0031642685644328594,0.014208209,,,
27,147456,3,5268,41.19,42090,0,32178,0.6426796913146973,-1.8928357952584822,-0.018812913750783384,0.0003,0.20123494466145833,0.013258448157284875,0.6855122447013855,20,0.2,-0.009015806950628757,0.016143782,,,
39,196608,4,4984,37.16,58575,0,47232,0.6975508332252502,-1.8333186938116948,-0.020390768227540927,0.0003,0.20570068359375,0.015297653430025093,0.6937395334243774,30,0.2,-0.016177672892808914,0.014257979,,,
51,245760,5,4814,31.04,75536,0,64542,0.7445312738418579,-1.7523926749825478,-0.01723074685305619,0.0003,0.189569091796875,0.014459058483771514,0.6293388605117798,40,0.2,-0.005982785485684872,0.014804989,,,
63,294912,6,4671,21.97,92939,0,83819,0.6179648041725159,-1.6644163036098083,-0.013331104056608941,0.0003,0.18187459309895834,0.013690621142207723,0.5405209064483643,50,0.2,0.0029231514781713486,0.013640191,,,
75,344064,7,4557,25.48,110986,0,104657,0.7622851729393005,-1.5728412737449011,-0.009861813987784747,0.0003,0.163677978515625,0.014088584604420855,0.47671645879745483,60,0.2,-0.018055181950330734,0.011857579,,,
87,393216,8,4469,23.15,129586,0,126860,0.7516015768051147,-1.4897013914460937,-0.0076279381493804975,0.0003,0.14102376302083333,0.012533707195931736,0.42380934953689575,70,0.2,-0.0045782169327139854,0.010185155,,,
100,442368,9,4401,22.71,148363,0,150255,0.7618125081062317,-1.391784636179606,-0.00558997903102257,0.0003,0.12339274088541667,0.013563106507596482,0.3896692991256714,80,0.2,-0.003435407765209675,0.010456007,,,
112,491520,10,4366,21.22,167348,0,175105,0.7873671650886536,-1.3282178123171131,-0.004023058831323093,0.0003,0.106878662109375,0.01336545873224774,0.36511337757110596,90,0.2,0.016295280307531357,0.009001687,,,
125,540672,11,4325,20.92,186703,0,200207,0.8189492225646973,-1.2607860677565137,-0.002928520778732491,0.0003,0.087603759765625,0.014676164261375864,0.34034883975982666,100,0.2,-0.008931221440434456,0.0074905194,,,
137,589824,12,4301,18.59,205957,0,226071,0.6991445422172546,-1.2146702957029143,-0.0025469777171868674,0.0003,0.077459716796875,0.018122367953522674,0.305289626121521,110,0.2,0.011635931208729744,0.00826469,,,
149,638976,13,4281,19.01,226730,0,251102,0.7772461175918579,-1.1726422790437936,-0.0027449333643138137,0.0003,0.06946818033854167,0.015652193422041213,0.3184242844581604,120,0.2,0.0015223082154989243,0.007947749,,,
161,688128,14,4264,18.71,247469,0,276491,0.7664023637771606,-1.1275751790652673,-0.0017815500087939049,0.0003,0.06213175455729167,0.015880042209270567,0.30651068687438965,130,0.2,-0.0035099247470498085,0.006485077,,,
173,737280,15,4248,19.6,268874,0,301652,0.793765664100647,-1.089730563076834,-0.0018859460775274783,0.0003,0.06423543294270834,0.018104956894239875,0.2896740436553955,140,0.2,0.0050472659058868885,0.007863059,,,
185,786432,16,4233,19.14,290535,0,326791,0.7571757435798645,-1.0727361695840956,-0.001439912880474973,0.0003,0.0514892578125,0.017179572581032213,0.29090672731399536,150,0.2,0.015223246067762375,0.0055051385,,,
197,835584,17,4221,18.73,311924,0,352363,0.7486875057220459,-1.0370778012710313,-0.0017716433606741095,0.0003,0.06140950520833333,0.016419427530975857,0.3000234365463257,160,0.2,0.012437761761248112,0.006696087,,,
210,884736,18,4208,19.16,333651,0,377646,0.7844687700271606,-1.032510146840165,-0.0011344822200953786,0.0003,0.056742350260416664,0.016380555112846196,0.2969169616699219,170,0.2,0.01853133551776409,0.0065846853,,,
222,933888,19,4197,17.92,355215,0,403144,0.7390390038490295,-1.0095784023093681,-0.001497405684434246,0.0003,0.055161539713541666,0.01707196884356866,0.2882999777793884,180,0.2,0.005926836282014847,0.0063918233,,,
235,983040,20,4182,19.9,375964,0,429768,0.8110936880111694,-1.0056563729109864,-0.0014486527695529124,0.0003,0.05303751627604167,0.016061412431736245,0.29463207721710205,190,0.2,0.0032272664830088615,0.0066700294,,,
247,1032192,21,4167,28.66,402973,0,450198,0.7081367373466492,-0.9771388085869451,-0.0019937309078462326,0.0003,0.058349609375,0.016885674636432667,0.2860639691352844,200,0.2,2.3832544684410095e-05,0.006006395,0,0.75,1000008
260,1081344,22,4151,24.14,431955,0,468593,0.7588242292404175,-0.9659519281859199,-0.004892243482572667,0.0003,0.09083048502604167,0.018608467687348213,0.31042855978012085,210,0.2,-0.007539857178926468,0.007760472,,,
273,1130496,23,4135,22.66,460165,0,488026,0.7531484961509705,-0.9366272064546745,-0.007362204750764553,0.0003,0.114892578125,0.017869818411660767,0.3460710048675537,220,0.2,-0.0052824257872998714,0.008436218,,,
286,1179648,24,4123,20.59,487281,0,508440,0.7801445722579956,-0.9110002583203216,-0.006414683423402797,0.0003,0.10535074869791666,0.0164001427826103,0.3636816740036011,230,0.2,0.004886121954768896,0.008047246,,,
298,1228800,25,4115,20.38,513957,0,529408,0.7124296426773071,-0.8990161721905072,-0.00459544972218282,0.0003,0.080560302734375,0.018980005827809995,0.33421647548675537,240,0.2,-0.0025808573700487614,0.007854547,,,
311,1277952,26,4108,20.74,540637,0,550563,0.7795819640159607,-0.8783679169913133,-0.003908924095685507,0.0003,0.07746175130208334,0.016907384132355218,0.34529489278793335,250,0.2,-0.0015006382018327713,0.006499134,,,
323,1327104,27,4101,19.99,566431,0,572603,0.763308584690094,-0.8544678339113791,-0.003228779591275573,0.0003,0.06803385416666667,0.017742114592935346,0.3270012140274048,260,0.2,-0.010563093237578869,0.006545951,,,
336,1376256,28,4095,20.11,591365,0,595755,0.8217967748641968,-0.8375472864756982,-0.0028316739311170145,0.0003,0.063983154296875,0.01573875348161285,0.31369465589523315,270,0.2,-0.005298834294080734,0.0055738795,,,
348,1425408,29,4089,19.52,616260,0,619048,0.7446798086166382,-0.8141122717720767,-0.0021223492089120556,0.0003,0.05543212890625,0.01767125072753212,0.30264580249786377,280,0.2,0.006604329217225313,0.008838211,,,
360,1474560,30,4085,17.98,641609,0,641931,0.7025194764137268,-0.7892021712536613,-0.0020338252047319354,0.0003,0.054036458333333336,0.01721778252297857,0.2948194742202759,290,0.2,0.008114011958241463,0.0058959033,,,
373,1523712,31,4081,17.52,665520,0,666378,0.7429413795471191,-0.765200297255069,-0.0017853190777411025,0.0003,0.050710042317708336,0.01608799105961225,0.3039255142211914,300,0.2,0.009565934538841248,0.0060705226,,,
385,1572864,32,4077,18.4,690514,0,689862,0.7682304382324219,-0.7436143753118813,-0.0009426521057321225,0.0003,0.04348347981770833,0.018148497273553707,0.29028236865997314,310,0.2,0.007550735492259264,0.004490428,,,
398,1622016,33,4072,17.54,715457,0,713448,0.7511132955551147,-0.722387921375533,-0.0011142985113110626,0.0003,0.045186360677083336,0.01531348920276893,0.3029608726501465,320,0.2,0.0034508700482547283,0.005306132,,,
411,1671168,34,4065,17.0,739507,0,737915,0.7428359389305115,-0.7079292348586023,-0.0017056636428605999,0.0003,0.05356648763020833,0.015752462843617348,0.29460281133651733,330,0.2,-0.0008534961380064487,0.006008381,,,
423,1720320,35,4057,19.06,764506,0,761464,0.7649609446525574,-0.6962280230596661,-0.0012254813599459644,0.0003,0.04544270833333333,0.016506700635363813,0.28431880474090576,340,0.2,0.005630689673125744,0.0054916404,,,
436,1769472,36,4050,16.68,789376,0,785139,0.696175754070282,-0.7032696560646097,-0.001197880422569142,0.0003,0.041121419270833334,0.01814602741408938,0.27620428800582886,350,0.2,0.006441622041165829,0.0057148435,,,
449,1818624,37,4043,19.03,814132,0,808880,0.7648906707763672,-0.7017764583540459,-0.0010673076849343488,0.0003,0.04110310872395833,0.017818616596438613,0.2825358510017395,360,0.2,0.007734226994216442,0.0053201565,,,
462,1867776,38,4039,17.91,839245,0,832312,0.7893202900886536,-0.7000096317070226,-0.0008928420780042264,0.0003,0.034956868489583334,0.01741358685734061,0.27943187952041626,370,0.2,0.002394489012658596,0.00396606,,,
475,1916928,39,4033,17.61,864353,0,855708,0.7307968139648438,-0.7047174175269901,-0.0014909194146942657,0.0003,0.040032958984375,0.01708568848722886,0.29977649450302124,380,0.2,0.00861611682921648,0.0066796965,,,
488,1966080,40,4027,19.3,889631,0,878895,0.784960925579071,-0.6931517322237293,-0.0009053151219632127,0.0003,0.03299357096354167,0.01716054251858926,0.29143571853637695,390,0.2,0.010939488187432289,0.005191168,,,
501,2015232,41,4021,41.1,916473,0,900504,0.6463398933410645,-0.6975724415232738,-0.0009832064110014472,0.0003,0.034796142578125,0.017170297769916944,0.2927711009979248,400,0.2,0.007653634063899517,0.0044461507,1,0.5,2000016
513,2064384,42,4016,25.78,945897,0,918587,0.6917421817779541,-0.6804989023134113,-0.0032750193448616,0.0003,0.06198527018229167,0.01683796058568987,0.2256009578704834,410,0.2,0.009775267913937569,0.009253555,,,
526,2113536,43,4013,27.06,974945,0,937421,0.7294726371765137,-0.6654603909390668,-0.005519451552936516,0.0003,0.08232218424479167,0.014018853418626047,0.34327107667922974,420,0.2,0.0067191291600465775,0.006616552,,,
539,2162688,44,4008,25.21,1003903,0,956766,0.763374924659729,-0.6618664608647425,-0.00650764324618649,0.0003,0.07885538736979167,0.014279325303990238,0.43604809045791626,430,0.2,0.006361011881381273,0.015796475,,,
551,2211840,45,4007,21.42,1032285,0,976803,0.7374725937843323,-0.6683760569430888,-0.006502371223117128,0.0003,0.07404988606770833,0.017371931875338,0.3982654809951782,440,0.2,-0.0031857574358582497,0.0057372213,,,
564,2260992,46,4005,20.06,1060553,0,996986,0.7425000071525574,-0.6517853346032401,-0.007067586454286357,0.0003,0.09149373372395833,0.0170027449055245,0.3525635004043579,450,0.2,-0.0026520313695073128,0.007048154,,,
576,2310144,47,4004,18.29,1089231,0,1016849,0.6984062194824219,-0.6350496076668303,-0.005336803483987751,0.0003,0.09554443359375,0.0180795908284684,0.34136587381362915,460,0.2,0.010527137666940689,0.0065670735,,,
589,2359296,48,4003,20.3,1117545,0,1037135,0.7898280620574951,-0.6157859847260018,-0.0045236390884383585,0.0003,0.07267252604166667,0.016779929797727768,0.3292897939682007,470,0.2,0.007799207232892513,0.0059468844,,,
602,2408448,49,3999,19.51,1145681,0,1057620,0.8129921555519104,-0.5896583395078778,-0.003770847467482478,0.0003,0.082977294921875,0.015217694625850224,0.3114003539085388,480,0.2,0.005110022146254778,0.009607577,,,
615,2457600,50,3994,18.83,1173865,0,1078040,0.7567187547683716,-0.559734969586134,-0.0024399793644382345,0.0003,0.05125732421875,0.01755241913124337,0.29779380559921265,490,0.2,0.0050510987639427185,0.016864523,,,
627,2506752,51,3993,18.42,1202086,0,1098409,0.7671053409576416,-0.5409775490562121,-0.0013731883290044303,0.0003,0.0413818359375,0.016823253250186097,0.30963438749313354,500,0.2,0.007041845936328173,0.0048225266,,,
640,2555904,52,3989,16.97,1230196,0,1118976,0.743539035320282,-0.5511195922115196,-0.0010118671341842855,0.0003,0.035353597005208334,0.017249448275591325,0.295171320438385,510,0.2,0.011764508672058582,0.003257895,,,
653,2605056,53,3988,17.77,1258115,0,1139735,0.769601583480835,-0.5481913148735961,-0.0008645773654279765,0.0003,0.032637532552083334,0.017991248752756896,0.28091078996658325,520,0.2,0.0101208770647645,0.0044779475,,,
665,2654208,54,3987,16.47,1285616,0,1160912,0.7242421507835388,-0.5354993486932168,-0.0012012759506130047,0.0003,0.0391845703125,0.016861327564402017,0.28666001558303833,530,0.2,0.0024906289763748646,0.0043409746,,,
678,2703360,55,3985,18.24,1312806,0,1182436,0.7881953716278076,-0.5235426152590662,-0.001242390616789635,0.0003,0.03328857421875,0.0171690764320374,0.2814108729362488,540,0.2,0.004734026733785868,0.0045455145,,,
690,2752512,56,3984,16.78,1339912,0,1203949,0.7239609360694885,-0.518170227839922,-0.0008442072673763808,0.0003,0.034063720703125,0.018390358881636832,0.2802213430404663,550,0.2,0.005708322860300541,0.0049318923,,,
703,2801664,57,3983,19.91,1366766,0,1225799,0.7823945879936218,-0.48914207114527625,-0.0012481652849298068,0.0003,0.035546875,0.01660429448529612,0.29258453845977783,560,0.2,0.01213060226291418,0.0040678405,,,
715,2850816,58,3982,19.03,1393845,0,1247417,0.8042226433753967,-0.4786232171424975,-0.0008521854146844514,0.0003,0.030865478515625,0.01569429219828938,0.29285740852355957,570,0.2,0.010190082713961601,0.0031000879,,,
728,2899968,59,3981,17.15,1421387,0,1268550,0.7809375524520874,-0.4859355284987638,-0.001419030027318513,0.0003,0.04023030598958333,0.0176729036871014,0.27924543619155884,580,0.2,0.004918013699352741,0.004384451,,,
740,2949120,60,3980,18.81,1448557,0,1290088,0.7959452867507935,-0.48898785390580696,-0.001401487241309951,0.0003,0.03807373046875,0.016771423561052264,0.28580498695373535,590,0.2,0.010051768273115158,0.004045223,,,
753,2998272,61,3980,17.08,1475982,0,1311159,0.741992175579071,-0.46978010282230875,-0.0014872550876740811,0.0003,0.033489990234375,0.016155735238741423,0.28819531202316284,600,0.2,0.004332134500145912,0.0057862946,,,
765,3047424,62,3978,24.69,1510952,0,1324671,0.4990195035934448,-0.4683180185034871,-0.0008751801778392594,0.0003,0.0294189453125,0.016963183387027434,0.2853662967681885,610,0.2,0.00728557538241148,0.0040278775,2,0.25,3000000
778,3096576,63,3977,23.83,1545784,0,1338388,0.557437539100647,-0.5299942126031965,-0.009860777016244052,0.0003,0.10985107421875,0.0372655091099053,0.25724154710769653,620,0.2,-0.004452656954526901,0.021557927,,,
790,3145728,64,3977,21.58,1580743,0,1351948,0.593273401260376,-0.49984193264196314,-0.009788119353106594,0.0003,0.09055582682291667,0.029868811348569578,0.41623979806900024,630,0.2,0.003031066618859768,0.0060340986,,,
803,3194880,65,3978,22.52,1615771,0,1365453,0.6488788723945618,-0.5005833715355644,-0.010655845989458613,0.0003,0.10924479166666666,0.027795068938091087,0.4135533571243286,640,0.2,0.006368969567120075,0.007374326,,,
815,3244032,66,3977,21.93,1651382,0,1378367,0.7190898656845093,-0.5084319718182087,-0.00970621346829527,0.0003,0.12776082356770832,0.02361136693361914,0.4059752821922302,650,0.2,-0.0022380156442523003,0.0148935355,,,
827,3293184,67,3977,20.23,1687732,0,1390560,0.7324649095535278,-0.488592251467829,-0.008740010466984435,0.0003,0.11986490885416666,0.02307764525030507,0.36703020334243774,660,0.2,0.011505652219057083,0.010261245,,,
