time/fps,time/total_timesteps,shield/actions_allowed,rollout/ep_rew_mean,time/iterations,shield/actions_block_ignored,shield/actions_blocked,shield/constant_delta,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,shield/stage,shield/transition_timestep,shield/ignore_prob
8158,49152,14342,0.4306666851043701,1,0,6762,0.9,6,156.67,,,,,,,,,,,,,
5622,98304,30918,0.5339444875717163,2,0,15051,,17,124.38,0.0003,0.006009113073499369,10,0.012833933,0.2,0.04831136067708333,-1.9340719904750585,-0.00397568350090296,0.010507047176361084,-0.0026537179946899414,,,
5004,147456,50479,0.5193055868148804,3,0,24563,,29,123.89,0.0003,0.009480517637954714,20,0.014860757,0.2,0.10766194661458334,-1.891913296530644,-0.007848584986641071,-0.012170683592557907,0.5388486981391907,,,
4720,196608,71239,0.5556944608688354,4,0,35644,,41,93.81,0.0003,0.010017278151644859,30,0.011143292,0.2,0.08944295247395834,-1.8405081887419026,-0.007405969311063624,-0.008187003433704376,0.6244121193885803,,,
4552,245760,92872,0.6158611178398132,5,0,48281,,53,73.25,0.0003,0.012191440384291733,40,0.011031777,0.2,0.10204671223958334,-1.7805963988105455,-0.008728058386441261,0.016887051984667778,0.651073694229126,,,
4446,294912,114983,0.6630833148956299,6,0,62031,,66,73.62,0.0003,0.013024226104122742,50,0.011709505,0.2,0.12321370442708333,-1.6990008199587465,-0.01040122113020819,0.0038511259481310844,0.6562223434448242,,,
4380,344064,138324,0.6910833120346069,7,0,76759,,78,67.74,0.0003,0.012392725900281221,60,0.0106233405,0.2,0.108038330078125,-1.6317457532510162,-0.008359923494087223,-0.0019989912398159504,0.6626409292221069,,,
4314,393216,162210,0.7218334078788757,8,0,92494,,91,62.18,0.0003,0.01175929958941803,70,0.010150784,0.2,0.11616414388020833,-1.5466182209551333,-0.007682463689464688,-0.009409444406628609,0.6480098962783813,,,
4259,442368,186963,0.7104167342185974,9,0,108830,,103,55.85,0.0003,0.011371545786096249,80,0.011220192,0.2,0.12200927734375,-1.4462359443306922,-0.007793627970871361,0.005134435370564461,0.6327471733093262,,,
4218,491520,211978,0.7177221775054932,10,0,126059,,116,50.28,0.0003,0.01114472198629907,90,0.009863017,0.2,0.101629638671875,-1.3574756917233268,-0.005672417331212879,-0.003947870805859566,0.6195203065872192,,,
4189,540672,237736,0.6985833644866943,11,0,143432,,129,44.09,0.0003,0.011045198674643568,100,0.008811844,0.2,0.09056396484375,-1.276280906361838,-0.004563421520348735,8.93925316631794e-05,0.5982948541641235,,,
4159,589824,263408,0.6806666851043701,12,0,161710,,141,49.22,0.0003,0.011452742302208208,110,0.0074377223,0.2,0.08132731119791667,-1.2088887656728426,-0.003925730910850689,0.003648100420832634,0.5911601781845093,,,
4139,638976,289271,0.7461667060852051,13,0,180389,,154,50.03,0.0003,0.01105135322213755,120,0.0076583587,0.2,0.08006184895833333,-1.1676272312179208,-0.0036201332364119783,0.011243220418691635,0.5683826208114624,,,
4120,688128,314459,0.7485554218292236,14,0,200365,,166,45.57,0.0003,0.010909598051997212,130,0.00764871,0.2,0.08256022135416667,-1.1124734746292233,-0.00339518805546201,-0.003095709253102541,0.5413708686828613,,,
4103,737280,339617,0.7308055758476257,15,0,220746,,179,49.05,0.0003,0.011199752534836686,140,0.005907631,0.2,0.06420491536458334,-1.0607188656305273,-0.0024496686261045396,-0.002763921394944191,0.5508632659912109,,,
4085,786432,364853,0.7516111135482788,16,0,241241,,192,48.51,0.0003,0.010769526336177174,150,0.0055372654,0.2,0.06115315755208333,-1.0325485264261565,-0.002316242085665484,0.01160428300499916,0.5448728203773499,,,
4071,835584,390429,0.763888955116272,17,0,261732,,205,46.66,0.0003,0.010905104007057768,160,0.006161804,0.2,0.0646240234375,-1.0306181418399016,-0.0026723880027323807,0.0050360895693302155,0.5409391522407532,,,
4054,884736,415817,0.7508611083030701,18,0,282569,,218,44.37,0.0003,0.009999630992630652,170,0.0065549053,0.2,0.06894327799479166,-0.9786324735110005,-0.0029719156878854846,0.0006240839138627052,0.5340195894241333,,,
4043,933888,440762,0.7603611946105957,19,0,304113,,230,44.68,0.0003,0.010759646208316553,180,0.005949805,0.2,0.06370646158854167,-0.9594569323894878,-0.0020914125629739526,-0.0037681390531361103,0.5347050428390503,,,
4034,983040,465902,0.7534999251365662,20,0,325616,,243,43.68,0.0003,0.011078744055945814,190,0.006959843,0.2,0.06915486653645833,-0.936660650682946,-0.0029889165845209693,0.008399521000683308,0.5289475917816162,,,
4016,1032192,491282,0.7841388583183289,21,0,347115,,256,46.29,0.0003,0.011827779895247659,200,0.00546368,0.2,0.057871500651041664,-0.9329593471561869,-0.002443057265675937,0.006241653114557266,0.5261439085006714,0,1000008,0.25
4006,1081344,516853,0.7402499914169312,22,0,368487,,269,41.65,0.0003,0.011475854859357544,210,0.0066192276,0.2,0.06370035807291667,-0.8690489610036214,-0.002977230725021703,0.010122103616595268,0.5115704536437988,,,
3997,1130496,542587,0.7560277581214905,23,0,389845,,282,43.99,0.0003,0.01084424239282574,220,0.005040782,0.2,0.05560099283854167,-0.8608155769295991,-0.0018520214718591888,-0.0065522575750947,0.5374571084976196,,,
3993,1179648,568195,0.760722279548645,24,0,411529,,295,41.54,0.0003,0.011052771532073772,230,0.0051998827,0.2,0.05657552083333333,-0.8288797080827256,-0.0024433850976492977,0.01063046045601368,0.5293638706207275,,,
3987,1228800,593947,0.7787778377532959,25,0,433173,,308,41.64,0.0003,0.010840338813189495,240,0.0056422204,0.2,0.05740152994791667,-0.8020763444403808,-0.002081769276749886,0.004919133614748716,0.5255204439163208,,,
3982,1277952,619345,0.7733055949211121,26,0,455382,,320,43.45,0.0003,0.011535320072774387,250,0.00545303,0.2,0.061787923177083336,-0.7675164445924262,-0.0027811226405295504,-0.000765917357057333,0.5162930488586426,,,
3978,1327104,644427,0.7478333115577698,27,0,477931,,333,42.59,0.0003,0.010691645236753781,260,0.0050300937,0.2,0.052484130859375,-0.7308254832401871,-0.001922190001096169,-0.0007199924439191818,0.5340282917022705,,,
3971,1376256,669681,0.7239444255828857,28,0,500439,,346,40.74,0.0003,0.010936455923850492,270,0.0048726792,0.2,0.0503662109375,-0.7054681560955942,-0.0019178980659489754,0.008916071616113186,0.5327028036117554,,,
3963,1425408,695183,0.7313610911369324,29,0,522763,,359,41.45,0.0003,0.011583056237335162,280,0.004761549,0.2,0.046148681640625,-0.6887406229041517,-0.0016222868812595455,-0.01234438642859459,0.50505131483078,,,
3955,1474560,720665,0.7122500538825989,30,0,545074,,372,41.23,0.0003,0.010855582999647595,290,0.0037457312,0.2,0.04327596028645833,-0.6837293737878402,-0.0010908504999558013,0.0036628125235438347,0.5290288925170898,,,
3947,1523712,745907,0.737027645111084,31,0,567838,,386,35.8,0.0003,0.01163726379891159,300,0.0044309464,0.2,0.05239054361979167,-0.6725194042858978,-0.0022226011327196224,-0.0008451812900602818,0.5170055627822876,,,
3940,1572864,770938,0.7775554656982422,32,0,590865,,399,41.46,0.0003,0.010871778618214497,310,0.003963404,0.2,0.048325602213541666,-0.6501873802704116,-0.0017287592237456315,0.0025761062279343605,0.5162608623504639,,,
3934,1622016,796059,0.7658889293670654,33,0,613998,,412,42.32,0.0003,0.009995035026562012,320,0.004151648,0.2,0.04785970052083333,-0.622980303534617,-0.0017701034931330165,-0.0008000899106264114,0.5227339267730713,,,
3927,1671168,821059,0.7148331999778748,34,0,637336,,425,39.78,0.0003,0.010636454975610832,330,0.0036188948,0.2,0.039752197265625,-0.6069729979460438,-0.0011307171811192043,0.0039163995534181595,0.5132569074630737,,,
3921,1720320,846353,0.7132222056388855,35,0,660487,,438,40.35,0.0003,0.010611540003689393,340,0.004406356,0.2,0.045697021484375,-0.589399417831252,-0.0019298152474220842,0.00521885696798563,0.5119251608848572,,,
3915,1769472,871721,0.7631388902664185,36,0,683569,,451,43.84,0.0003,0.011197374346375,350,0.004134951,0.2,0.045094807942708336,-0.5881244549527764,-0.0022423363822478373,0.008896973915398121,0.5038015842437744,,,
3910,1818624,896823,0.7661667466163635,37,0,706856,,465,42.48,0.0003,0.010246219086063017,360,0.004104748,0.2,0.044474283854166664,-0.5811327789134035,-0.0018348101677474915,0.0031621926464140415,0.5101762413978577,,,
3904,1867776,922107,0.7564166784286499,38,0,729991,,478,39.05,0.0003,0.01090046544947351,370,0.0038755946,0.2,0.04047444661458333,-0.5605374999033909,-0.001567968644546151,0.005729781463742256,0.5092859268188477,,,
3900,1916928,947568,0.7342221736907959,39,0,753051,,491,39.98,0.0003,0.01093224976430065,380,0.0037954368,0.2,0.04818522135416667,-0.542660324042663,-0.001957671450509224,-0.0010654865764081478,0.5098713040351868,,,
3895,1966080,972586,0.6996111273765564,40,0,776582,,504,34.73,0.0003,0.009966965544541987,390,0.003935732,0.2,0.039957682291666664,-0.5378289520740509,-0.0014852827972087349,-0.006630353629589081,0.5139925479888916,,,
3887,2015232,997866,0.7733055949211121,41,0,799788,,518,39.79,0.0003,0.010905177073194256,400,0.003787584,0.2,0.04040934244791667,-0.5322798080897579,-0.0016873440067987151,0.005773280747234821,0.5088385343551636,1,2000016,0.5
3883,2064384,1023333,0.809833288192749,42,0,822907,,531,44.77,0.0003,0.011433930798860577,410,0.0035268797,0.2,0.040362548828125,-0.5338574330943326,-0.0016761399136764035,-0.004979244899004698,0.5046431422233582,,,
3879,2113536,1048826,0.7425278425216675,43,0,845905,,544,40.39,0.0003,0.010145354202055994,420,0.004022993,0.2,0.03851521809895833,-0.5159599538116405,-0.0015902976944137967,0.0003739502280950546,0.5216448903083801,,,
3878,2162688,1074241,0.7544443607330322,44,0,869096,,557,43.64,0.0003,0.010717828801716678,430,0.0036840516,0.2,0.043426513671875,-0.5133110194311787,-0.0020840319271883344,0.0033970405347645283,0.5213143825531006,,,
3877,2211840,1099734,0.7806388735771179,45,0,892168,,570,40.38,0.0003,0.011093438245249368,440,0.003905494,0.2,0.038407389322916666,-0.5096545257760833,-0.00166574089007554,0.0033628190867602825,0.502896785736084,,,
3877,2260992,1125223,0.7516666650772095,46,0,915302,,583,40.52,0.0003,0.010342900013104858,450,0.0034266852,0.2,0.03329671223958333,-0.5012482021624843,-0.0012666035441725398,0.0033777253702282906,0.5184401869773865,,,
3877,2310144,1150901,0.7710832953453064,47,0,938240,,595,44.5,0.0003,0.01070327043319897,460,0.0045819506,0.2,0.03946533203125,-0.5014168535980086,-0.0016102905154184554,0.0043770307675004005,0.5131822824478149,,,
3877,2359296,1176786,0.777222216129303,48,0,961005,,608,42.8,0.0003,0.010128872460821487,470,0.003732862,0.2,0.039499918619791664,-0.49254333584879834,-0.001795323780485584,0.00686963927000761,0.524361252784729,,,
3876,2408448,1202644,0.6912500262260437,49,0,983759,,621,37.75,0.0003,0.010711251155589708,480,0.0036634926,0.2,0.034283447265625,-0.4900483942590654,-0.0013953335548952358,0.005824292078614235,0.5111874341964722,,,
3875,2457600,1227983,0.7875555157661438,50,0,1007021,,634,42.29,0.0003,0.011242699701688253,490,0.0038325067,0.2,0.04023030598958333,-0.4888126247096807,-0.0014632327040696206,0.0020553795620799065,0.5122321248054504,,,
3873,2506752,1253401,0.7685555219650269,51,0,1030197,,647,42.12,0.0003,0.010825396700480876,500,0.0036445225,0.2,0.0379638671875,-0.4827366878123333,-0.0015291928997006228,0.006721537094563246,0.5107074975967407,,,
