time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,shield/actions_blocked,shield/actions_block_ignored,rollout/ep_len_mean,shield/actions_allowed,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,shield_cutoff_timestep
1,0.4768333435058594,7913,6,49152,6864,0,144.72,14257,,,,,,,,,,,
2,0.45713892579078674,5536,17,98304,15017,0,133.66,30919,0.006770352502159464,0.0005148816853761673,-1.9326860022420684,0.2,0.01987636089324951,0.05740152994791667,10,-0.00518391415359171,0.0003,0.01418713,
3,0.5055277347564697,4951,29,147456,24242,0,120.15,50105,0.008110936191466559,-0.014652470126748085,-1.8924147250751655,0.2,0.5487249493598938,0.0888671875,20,-0.006470165331544801,0.0003,0.0154372975,
4,0.5858055353164673,4686,41,196608,35084,0,108.01,70069,0.009597438742396965,-0.02323010191321373,-1.8509693308422963,0.2,0.6259588003158569,0.10736083984375,30,-0.008607189097771577,0.0003,0.013025287,
5,0.5693888664245605,4528,54,245760,47342,0,83.32,91408,0.011358101043151691,-0.0029698703438043594,-1.7884287749727568,0.2,0.6381789445877075,0.11976725260416667,40,-0.00956109716892873,0.0003,0.012061466,
6,0.6729999780654907,4442,66,294912,60811,0,75.06,113357,0.012779674342891668,-0.0062001231126487255,-1.7165617167949676,0.2,0.6345563530921936,0.121063232421875,50,-0.00991339038713098,0.0003,0.011355422,
7,0.6790555715560913,4357,78,344064,75055,0,69.54,136638,0.011920953710796312,0.012091605924069881,-1.6503843772535522,0.2,0.6560361385345459,0.11187744140625,60,-0.008436809297988172,0.0003,0.01069374,
8,0.6965277791023254,4296,91,393216,90139,0,58.09,160919,0.012518292748912549,-0.011311271227896214,-1.568204163884123,0.2,0.6367932558059692,0.10736287434895833,70,-0.008264014046411224,0.0003,0.01012889,
9,0.6444445252418518,4239,104,442368,106090,0,53.15,186456,0.012360300060148195,0.011028293520212173,-1.4683328000207743,0.2,0.6236338019371033,0.106292724609375,80,-0.006434066211962393,0.0003,0.010887749,
10,0.7062222361564636,4196,117,491520,122955,0,50.78,212258,0.011915064989201104,-0.007278339937329292,-1.3740330314263702,0.2,0.6176197528839111,0.09545491536458334,90,-0.005588757714334255,0.0003,0.009140427,
11,0.6784999966621399,4170,129,540672,139997,0,46.84,238826,0.01215185045536297,0.003941201139241457,-1.298182008912166,0.2,0.595133900642395,0.09069010416666666,100,-0.00526997101642337,0.0003,0.008799973,
12,0.7162777781486511,4148,142,589824,157189,0,46.54,266152,0.011154155574816589,-0.001812486443668604,-1.2422839262212315,0.2,0.597900390625,0.07580159505208334,110,-0.003558753385489884,0.0003,0.0077908486,
13,0.7396667003631592,4131,154,638976,174993,0,49.71,293667,0.010926094588891525,0.0065145897679030895,-1.1675399806971352,0.2,0.5806470513343811,0.081756591796875,120,-0.004437939670848815,0.0003,0.007770745,
