time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,shield/actions_blocked,shield/actions_block_ignored,rollout/ep_len_mean,shield/actions_allowed,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,shield_cutoff_timestep
1,0.04267857223749161,9219,5,49152,2718,0,239.73,18415,,,,,,,,,,,
2,0.12349999696016312,6116,16,98304,5515,0,222.37,37797,0.0005715286095418529,-0.008373248390853405,-1.9377327321097255,0.2,-0.0017707347869873047,0.07128499348958334,10,-0.002768587716127513,0.0003,0.010721198,
3,0.3039642870426178,5470,26,147456,8276,0,187.33,57912,0.0015736710316105018,-0.01282961294054985,-1.917762453791996,0.2,0.3201356530189514,0.115130615234375,20,-0.00797920907431641,0.0003,0.011768483,
4,0.5028214454650879,5225,37,196608,11468,0,137.53,78167,0.0038483773432138454,-0.012714549899101257,-1.8880446603521706,0.2,0.4142131805419922,0.12017618815104167,30,-0.010069936504684544,0.0003,0.01025619,
5,0.6070356965065002,5085,48,245760,15365,0,108.17,99960,0.007960166754977157,-0.0330955944955349,-1.8452838993941745,0.2,0.48404747247695923,0.15057169596354167,40,-0.013265155047398973,0.0003,0.011480645,
6,0.6977857351303101,4986,59,294912,19751,0,79.1,123231,0.009841650972036101,-0.011974986642599106,-1.7781992781286438,0.2,0.5903863906860352,0.17496134440104166,50,-0.015485369302162629,0.0003,0.013056139,
7,0.744107186794281,4911,70,344064,24598,0,60.67,149392,0.011277217972383369,-0.01097826287150383,-1.6806427194426456,0.2,0.6386569142341614,0.20666300455729167,60,-0.017616683219118082,0.0003,0.013584356,
8,0.7754999399185181,4852,81,393216,29780,0,52.21,177874,0.01161542149517724,-0.009756533429026604,-1.5504814337318142,0.2,0.6652238368988037,0.23350423177083332,70,-0.02017827234667493,0.0003,0.015038774,
9,0.8231428265571594,4798,92,442368,35172,0,43.96,209064,0.009230334282377347,0.009208395145833492,-1.3893421946714322,0.2,0.6756463050842285,0.24928995768229167,80,-0.019872802484678688,0.0003,0.016739264,
10,0.8646785020828247,4748,103,491520,40952,0,37.89,242662,0.0076694919051078616,-0.015170704573392868,-1.2270670701439181,0.2,0.6416405439376831,0.2093505859375,90,-0.015273357804107945,0.0003,0.016054342,
