time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,shield/actions_blocked,shield/actions_block_ignored,rollout/ep_len_mean,shield/actions_allowed,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,shield_cutoff_timestep
1,0.6037929654121399,8459,5,49152,8911,0,59.59,12227,,,,,,,,,,,
2,0.5742421746253967,5722,17,98304,19843,0,45.18,25838,0.0121434536689776,-0.010521319694817066,-1.9318777273098628,0.2,0.004216670989990234,0.1235107421875,10,-0.00954194981289523,0.0003,0.015109728,
3,0.712503969669342,5165,28,147456,33101,0,40.65,40882,0.012865961462375708,0.010572101920843124,-1.8905605550234517,0.2,0.7051500082015991,0.210308837890625,20,-0.018405689611608978,0.0003,0.016609026,
4,0.6712968349456787,4860,40,196608,48492,0,32.49,56531,0.01400948948576115,-0.01462613046169281,-1.825949262517194,0.2,0.6986268758773804,0.21406453450520832,30,-0.020546907370104842,0.0003,0.014168225,
5,0.7724062204360962,4703,52,245760,65925,0,28.88,73163,0.01288987263008797,-0.015999477356672287,-1.7486135522524515,0.2,0.624685525894165,0.207806396484375,40,-0.017956995119675412,0.0003,0.014130295,
6,0.7685586810112,4598,64,294912,85609,0,26.65,90232,0.012418363329197745,-0.012590467929840088,-1.659453825528423,0.2,0.5696435570716858,0.19254353841145833,50,-0.014178121460524077,0.0003,0.013363375,
7,0.7223398089408875,4518,76,344064,107342,0,22.78,107558,0.012840428795607295,-0.00323445163667202,-1.5653889826809366,0.2,0.48066598176956177,0.16712646484375,60,-0.010118807068647585,0.0003,0.012405106,
8,0.7268045544624329,4453,88,393216,131029,0,22.54,125042,0.013603724004739585,0.0018233396112918854,-1.4783199114724994,0.2,0.4240635633468628,0.13766886393229166,70,-0.0070286253741869585,0.0003,0.011450651,
9,0.740531325340271,4400,100,442368,156153,0,20.45,142898,0.013803627071441345,0.006144334562122822,-1.3948079602171977,0.2,0.37698233127593994,0.11232096354166667,80,-0.005143126914360133,0.0003,0.009932625,
10,0.679425835609436,4356,112,491520,182847,0,18.51,160559,0.015413058462096766,0.02371561899781227,-1.3006672556201617,0.2,0.3476896286010742,0.10699666341145833,90,-0.0037859300020500085,0.0003,0.009862752,
11,0.7830624580383301,4321,125,540672,210643,0,20.01,178005,0.014829505427769618,0.018775202333927155,-1.2463729053735733,0.2,0.3367226719856262,0.08507893880208334,100,-0.0023905902380041274,0.0003,0.0081134215,
