time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance
1,4,80.5,9970,0.012722223065793514,49152,,,,,,,,,,
2,15,81.49,6480,0.016055556014180183,98304,0.0008846502751111984,0.010800558,0.0003,-0.003512060997369796,10,0.2,0.0005690693353121409,-1.9378356128310164,0.08487955729166667,-0.22591137886047363
3,25,75.74,5796,0.011527777649462223,147456,0.0020745815709233284,0.008881229,0.0003,-0.0023628039068171345,20,0.2,0.0008204944609000602,-1.9268442292387287,0.05657958984375,0.12406301498413086
4,35,76.14,5510,0.03750000149011612,196608,0.0008971444331109524,0.008660878,0.0003,-0.002713963198099615,30,0.2,0.0006229334860601436,-1.9194199722260237,0.05929972330729167,0.21645909547805786
5,45,80.21,5352,0.04561110958456993,245760,-0.012625700794160366,0.008954961,0.0003,-0.004346467637272629,40,0.2,0.0013183814826561503,-1.9155048991243044,0.08112386067708334,0.3046133518218994
6,56,72.03,5250,0.05091666057705879,294912,0.0020922706462442875,0.0091981245,0.0003,-0.0057015691443969745,50,0.2,0.0016242966376770103,-1.902642357411484,0.08812255859375,0.43738871812820435
7,66,86.92,5181,0.10219444334506989,344064,0.00044056400656700134,0.010971292,0.0003,-0.006008753209365144,60,0.2,0.00221569478847717,-1.8849796717986465,0.10247802734375,0.5005354881286621
8,76,79.4,5145,0.15700000524520874,393216,-0.02032163180410862,0.010992442,0.0003,-0.0072939974055164685,70,0.2,0.0033882741429503466,-1.8487689029425383,0.11079305013020833,0.5346474647521973
9,86,69.45,5112,0.18886111676692963,442368,0.008506080135703087,0.012197543,0.0003,-0.008698889971613728,80,0.2,0.005206432815490795,-1.80110718558232,0.122747802734375,0.5795869827270508
10,96,77.19,5080,0.36419442296028137,491520,-0.01863730326294899,0.012262014,0.0003,-0.00944716946942208,90,0.2,0.008384470319288084,-1.7320750683546067,0.150457763671875,0.597400426864624
11,106,72.52,5053,0.4307222366333008,540672,0.010155899450182915,0.013470163,0.0003,-0.010304268765260834,100,0.2,0.00986104855328449,-1.6466767289365332,0.15443115234375,0.6448804140090942
12,117,64.65,5030,0.399222195148468,589824,-0.01260763593018055,0.014367859,0.0003,-0.01122518577928228,110,0.2,0.011690255312957257,-1.524878374238809,0.17100016276041666,0.6723320484161377
13,127,54.53,5010,0.4987777769565582,638976,-0.009659458883106709,0.011471125,0.0003,-0.009336561470869734,120,0.2,0.013369673609849997,-1.4011232806990543,0.13584798177083332,0.6776569485664368
14,137,56.27,4994,0.562833309173584,688128,0.009384030476212502,0.010721825,0.0003,-0.008810621323876451,130,0.2,0.013838518731548295,-1.2743181493754188,0.12951253255208334,0.6748594045639038
15,148,50.17,4980,0.6293888688087463,737280,0.00016717379912734032,0.009563695,0.0003,-0.007353721465218162,140,0.2,0.014504888352045478,-1.164438196271658,0.11777547200520834,0.6459470987319946
16,158,51.12,4967,0.6806667447090149,786432,0.0021879468113183975,0.008160279,0.0003,-0.006308696104557991,150,0.2,0.014869235447743752,-1.0503910338816544,0.10264689127604167,0.6284664869308472
17,168,48.44,4955,0.6716387271881104,835584,0.0011412077583372593,0.007300321,0.0003,-0.005985608838818735,160,0.2,0.013975085095444229,-0.9703918732702732,0.09669189453125,0.600456953048706
18,178,45.87,4955,0.7117499709129333,884736,0.010468149557709694,0.006138033,0.0003,-0.004252212840886689,170,0.2,0.012891986200702376,-0.8947544612921774,0.07729288736979166,0.5950740575790405
19,188,42.67,4949,0.585861086845398,933888,0.009483058005571365,0.005879857,0.0003,-0.004025732504427045,180,0.2,0.01313961534566867,-0.7893636312956611,0.07152913411458334,0.5841788053512573
20,198,45.51,4940,0.7329167127609253,983040,0.011550676077604294,0.0053908527,0.0003,-0.004294483415833383,190,0.2,0.01383933167089708,-0.7345229941109817,0.07182413736979167,0.5503768920898438
21,209,43.39,4932,0.698722243309021,1032192,-0.004852954298257828,0.004835838,0.0003,-0.0035205055630891974,200,0.2,0.013705311435235975,-0.6986376795607309,0.061126708984375,0.5448398590087891
22,219,42.89,4926,0.7310833930969238,1081344,0.0014697713777422905,0.0044514867,0.0003,-0.0027958773556141145,210,0.2,0.011857877678509491,-0.6381764735716084,0.05292154947916667,0.556230902671814
23,229,42.77,4920,0.707527756690979,1130496,0.0075959861278533936,0.0041177687,0.0003,-0.0018783194906063726,220,0.2,0.01242222362513227,-0.6116644151198367,0.045939127604166664,0.541115403175354
24,240,39.01,4914,0.7180277109146118,1179648,0.00804764311760664,0.003927481,0.0003,-0.002424613210981382,230,0.2,0.013066868496874424,-0.567567431461066,0.05017903645833333,0.5401679873466492
25,250,40.42,4908,0.6612499356269836,1228800,0.017188210040330887,0.004830848,0.0003,-0.002470160505132905,240,0.2,0.013191693453215218,-0.5163147065788507,0.04956868489583333,0.5238935947418213
26,260,43.92,4902,0.7438611388206482,1277952,0.0023591965436935425,0.0031761248,0.0003,-0.0019094016409326286,250,0.2,0.01334536003729833,-0.4835937466627608,0.039469401041666664,0.540878415107727
27,270,42.15,4898,0.7288889288902283,1327104,0.006636238656938076,0.003489688,0.0003,-0.002038679280182502,260,0.2,0.011657240185013507,-0.4526359781622887,0.04054972330729167,0.5472289323806763
28,281,43.87,4893,0.7716666460037231,1376256,-0.001512050163000822,0.0037058506,0.0003,-0.0019753612229275555,270,0.2,0.013055949643846059,-0.4342302884596089,0.03996988932291667,0.5286198854446411
29,291,39.93,4890,0.776638925075531,1425408,0.006242363713681698,0.0037430928,0.0003,-0.002219596668055601,280,0.2,0.013479699409314587,-0.4289413348926852,0.03982747395833333,0.5142096877098083
30,301,38.76,4885,0.7588889598846436,1474560,0.005903090815991163,0.0032300379,0.0003,-0.0015253765290253797,290,0.2,0.012237616629136028,-0.39854033387576543,0.03906453450520833,0.53252112865448
31,312,40.26,4882,0.7155277729034424,1523712,0.0068137506023049355,0.003469021,0.0003,-0.001662111644327524,300,0.2,0.012627349000346537,-0.3844133916931848,0.036265055338541664,0.5360541343688965
32,322,38.45,4877,0.7121666073799133,1572864,-0.0007406678050756454,0.0028879636,0.0003,-0.0016282308257965876,310,0.2,0.012061735100481504,-0.3644242674577981,0.032666015625,0.5328812599182129
33,332,44.04,4873,0.7711111307144165,1622016,0.008511248975992203,0.0029444627,0.0003,-0.0015945403500760827,320,0.2,0.013431205491845807,-0.34668636134204767,0.030938720703125,0.5344444513320923
34,343,39.72,4870,0.7083055973052979,1671168,0.002596245612949133,0.0027889758,0.0003,-0.0012798756684787803,330,0.2,0.011512341035995632,-0.34258524236890175,0.0287109375,0.5165554285049438
35,353,39.44,4867,0.7174444794654846,1720320,-0.0002011386677622795,0.0032011142,0.0003,-0.002103950755099504,340,0.2,0.012258243276301073,-0.32800470790825786,0.036981201171875,0.5176960825920105
36,363,37.34,4865,0.7614721059799194,1769472,0.0021063354797661304,0.0028567535,0.0003,-0.001694757119124309,350,0.2,0.01200028045786894,-0.30148479058407246,0.030692545572916667,0.5149573683738708
37,373,39.93,4864,0.7841388583183289,1818624,0.0091300830245018,0.0026862908,0.0003,-0.001465737051087975,360,0.2,0.012680431566938448,-0.28784878097940236,0.026605224609375,0.5136770009994507
38,384,40.17,4862,0.7644444108009338,1867776,0.00439087301492691,0.004842164,0.0003,-0.0016375261827609696,370,0.2,0.012849548087251606,-0.2831962621382748,0.029502360026041667,0.4917546510696411
39,394,40.55,4861,0.7617778182029724,1916928,-0.0026629422791302204,0.0037684366,0.0003,-0.001764877389268804,380,0.2,0.011194216471388548,-0.2655150611652061,0.030572509765625,0.512824535369873
40,404,40.0,4861,0.773805558681488,1966080,0.003641650080680847,0.0031949822,0.0003,-0.0014102762992479257,390,0.2,0.012065128847704424,-0.2557333666443204,0.027520751953125,0.4979463815689087
41,414,38.02,4861,0.6568055152893066,2015232,0.0060657719150185585,0.003067944,0.0003,-0.0010862499965999936,400,0.2,0.012364422607546052,-0.24940708600915967,0.024928792317708334,0.511454701423645
42,424,39.13,4861,0.7188889384269714,2064384,0.006718487478792667,0.0043015233,0.0003,-0.001675716285474967,410,0.2,0.012714362765351931,-0.25244284595828503,0.025701904296875,0.5087183713912964
43,434,39.14,4862,0.7475000023841858,2113536,0.000544513575732708,0.003765883,0.0003,-0.0013749053635062106,420,0.2,0.013098424825875555,-0.24562526206330706,0.02510986328125,0.5161731243133545
44,444,38.94,4862,0.7203332781791687,2162688,0.003048023208975792,0.0032493772,0.0003,-0.0013976235546579118,430,0.2,0.011789000803643528,-0.23651686563001326,0.025211588541666666,0.5220211148262024
45,454,37.18,4862,0.7525833249092102,2211840,0.004239728674292564,0.0030788642,0.0003,-0.0015888481259025867,440,0.2,0.01259719252557261,-0.22644264997603994,0.023897298177083335,0.5089133977890015
46,464,38.07,4863,0.7133055925369263,2260992,0.0048311930149793625,0.004141051,0.0003,-0.0019713196368684295,450,0.2,0.011782198433987407,-0.21936140016186984,0.025467936197916666,0.5128835439682007
47,474,40.5,4863,0.7916666269302368,2310144,0.006869408302009106,0.003590717,0.0003,-0.0018219226976119293,460,0.2,0.011678539966184568,-0.21419786665743837,0.02691650390625,0.5117429494857788
48,485,41.19,4864,0.7721388936042786,2359296,0.002840380184352398,0.003665223,0.0003,-0.0017473664219627002,470,0.2,0.01246958835205684,-0.207162178059419,0.024021402994791666,0.5086151957511902
49,495,41.63,4864,0.8074166774749756,2408448,0.0044829873368144035,0.002241391,0.0003,-0.0011964578359766164,480,0.2,0.011210486930212937,-0.1998556818269814,0.022334798177083334,0.523143470287323
50,505,39.31,4865,0.7564166784286499,2457600,-0.0033564213663339615,0.0049476037,0.0003,-0.0015990167945953242,490,0.2,0.011416002186160767,-0.20813757619665316,0.02406005859375,0.5156475305557251
51,515,39.25,4865,0.7670833468437195,2506752,0.004790810868144035,0.0028017454,0.0003,-0.0015224833521036393,500,0.2,0.01244792908061451,-0.2132543871877715,0.027103678385416666,0.5053988695144653
52,525,41.72,4865,0.7712777853012085,2555904,0.006616577971726656,0.0029094883,0.0003,-0.0018632097429872375,510,0.2,0.011611216703992492,-0.20948068414969992,0.024798583984375,0.5069254040718079
53,535,39.83,4866,0.7748333811759949,2605056,0.004816846456378698,0.0023990143,0.0003,-0.0015794244257752628,520,0.2,0.013248229553573765,-0.21048103965198,0.02327880859375,0.5009784698486328
54,545,37.62,4866,0.7503889203071594,2654208,0.0029856692999601364,0.003090684,0.0003,-0.001411015994472109,530,0.2,0.012274175059428672,-0.20392376152643313,0.022184244791666665,0.5086430311203003
55,555,39.9,4867,0.7363055348396301,2703360,0.004077743738889694,0.0029393428,0.0003,-0.001958701072059436,540,0.2,0.013321496031373196,-0.20805815395433455,0.02408447265625,0.5037363767623901
56,565,38.92,4867,0.7029999494552612,2752512,0.003965429030358791,0.0035879891,0.0003,-0.0018132595802550593,550,0.2,0.013212027015106287,-0.21349750358300904,0.025948079427083333,0.5134894251823425
57,575,39.21,4866,0.7849723100662231,2801664,0.008200996555387974,0.0030131964,0.0003,-0.0014349034894015251,560,0.2,0.012330419993425797,-0.1985798137107243,0.02308349609375,0.5050609707832336
58,586,39.02,4863,0.7201666235923767,2850816,0.007150560617446899,0.0028537062,0.0003,-0.001530893164575294,570,0.2,0.012992751919227885,-0.20720703375991434,0.02242431640625,0.5031381845474243
59,596,39.25,4863,0.775444507598877,2899968,0.007328066974878311,0.0024811355,0.0003,-0.0015185030496165078,580,0.2,0.012765657203757049,-0.20780265719319382,0.026462809244791666,0.5032227039337158
60,606,39.94,4862,0.7645000219345093,2949120,0.002065877430140972,0.0024784664,0.0003,-0.001466250502380717,590,0.2,0.01193079162670377,-0.18751001133738707,0.023557535807291665,0.5156270861625671
61,616,40.58,4860,0.7540555000305176,2998272,0.0022082391660660505,0.0030520186,0.0003,-0.0014362007767582932,600,0.2,0.012426726470584981,-0.17763651981173703,0.021303304036458335,0.5042492151260376
62,627,37.1,4858,0.7148056030273438,3047424,0.004459515679627657,0.0032399213,0.0003,-0.001512313093614163,610,0.2,0.014045637113789174,-0.1842668751021847,0.021181233723958335,0.4908870458602905
63,637,38.54,4856,0.6905278563499451,3096576,-0.0002950127236545086,0.0019900065,0.0003,-0.0012930269136631977,620,0.2,0.012665834128226076,-0.18854196406900883,0.020882161458333333,0.4981244206428528
