#{"t_start": 1773144424.479831, "env_id": "None"}
r,l,t
0.0,24,0.679552
0.78055555,79,0.933496
0.0,80,0.93686
0.76944447,83,0.946963
0.7583333,87,0.959812
0.7222222,100,1.006858
0.6722222,118,1.062327
0.66944444,119,1.065805
0.0,34,1.072403
0.6638889,121,1.072415
0.0,48,1.093906
0.0,57,1.131369
0.6027778,143,1.140961
0.55833334,159,1.18945
0.60833335,141,1.208369
0.5138889,175,1.239934
0.4611111,194,1.299666
0.0,60,1.329129
0.43611112,203,1.329142
0.0,121,1.385331
0.59444445,146,1.460077
0.34444445,236,1.490448
0.33055556,241,1.504014
0.32777777,242,1.507002
0.0,14,1.528514
0.3,252,1.534063
0.62777776,134,1.542691
0.6027778,143,1.558883
0.23333333,276,1.599946
0.18333334,294,1.647705
0.57222223,154,1.647717
0.175,297,1.655894
0.55277777,161,1.718934
0.0,324,1.72965
0.0,324,1.729662
0.0,324,1.729667
0.56666666,156,1.74974
0.4027778,215,1.782935
0.35277778,233,1.812311
0.34444445,236,1.814994
0.6,144,1.842028
0.51944447,173,1.847708
0.51944447,173,1.872376
0.0,6,1.889207
0.0,19,1.894661
0.4888889,184,1.902734
0.5777778,152,1.921828
0.7083333,105,1.935854
0.35,234,1.935866
0.5861111,149,1.9415
0.80277777,71,1.97505
0.7,108,2.013257
0.50277776,179,2.016002
0.42777777,206,2.021744
0.6111111,140,2.029761
0.55833334,159,2.032734
0.51111114,176,2.038536
0.73888886,94,2.071903
0.63611114,131,2.08855
0.42777777,206,2.104491
0.60555553,142,2.136871
0.65555555,124,2.223321
0.6888889,112,2.236366
0.78333336,78,2.239166
0.68333334,114,2.242183
0.5472222,163,2.252468
0.74722224,91,2.258065
0.45555556,196,2.26079
0.69166666,111,2.274389
0.71666664,102,2.296618
0.59166664,147,2.299595
0.0,36,2.339541
0.36666667,228,2.347546
0.0,37,2.358635
0.0,324,2.383399
0.44444445,200,2.388902
0.24444444,272,2.394652
0.0,69,2.411457
0.46666667,192,2.441826
0.425,207,2.455667
0.6166667,138,2.477614
0.51666665,174,2.504529
0.4888889,184,2.567749
0.31666666,246,2.605196
0.45277777,197,2.618339
0.62777776,134,2.62381
0.7138889,103,2.626638
0.0,49,2.634928
0.44444445,200,2.67502
0.34166667,237,2.677745
0.5972222,145,2.688821
0.5972222,145,2.691725
0.0,113,2.744768
0.0,47,2.869417
0.55833334,159,2.880378
0.0,324,2.888371
0.43333334,204,2.907684
0.30277777,251,2.929845
0.5222222,172,2.938147
0.4,216,2.965856
0.21666667,282,3.033747
0.0,7,3.053009
0.31111112,248,3.061086
0.0,50,3.063834
0.0,324,3.108145
0.4888889,184,3.111303
0.0,324,3.111315
0.5472222,163,3.127888
0.0,9,3.135697
0.5,180,3.157102
0.119444445,317,3.191974
0.7027778,107,3.194864
0.40555555,214,3.19789
0.3861111,221,3.197901
0.16111112,302,3.201112
0.0,36,3.207295
0.0,42,3.22677
0.73055553,97,3.226783
0.3861111,221,3.229588
0.15,306,3.235514
0.69166666,111,3.238461
0.35555556,232,3.25257
0.85,54,3.285473
0.38055557,223,3.291183
0.5555556,160,3.304809
0.0,74,3.331625
0.0,36,3.35043
0.0,20,3.385827
0.8138889,67,3.421461
0.45,198,3.427014
0.0,29,3.43011
0.0,71,3.430119
0.0,76,3.435958
0.0,324,3.444679
0.0,13,3.467309
0.0,16,3.480597
0.6527778,125,3.503208
0.71666664,102,3.508899
0.6805556,115,3.519753
0.86388886,49,3.522464
0.0,324,3.557833
0.0,19,3.561104
0.61944443,137,3.572027
0.28611112,257,3.583194
0.44444445,200,3.610007
0.85833335,51,3.620639
0.46944445,191,3.72143
0.5555556,160,3.727184
0.45,198,3.740728
0.46944445,191,3.751198
0.29444444,254,3.756678
0.0,93,3.77007
0.64166665,129,3.773037
0.73888886,94,3.775989
0.6527778,125,3.783898
0.50555557,178,3.789312
0.0,147,3.830338
0.6527778,125,3.841639
0.0,111,3.872108
0.73055553,97,3.883368
0.64444447,128,3.907839
0.6805556,115,3.92181
0.48055556,187,3.938591
0.0,324,3.938603
0.25277779,269,3.944668
0.50277776,179,4.04419
0.76111114,86,4.067116
0.11388889,319,4.070062
0.48333332,186,4.088309
0.61944443,137,4.115857
0.0,104,4.126851
0.75,90,4.129729
0.7916667,75,4.14948
0.76666665,84,4.168851
0.0,324,4.171592
0.59444445,146,4.186284
0.5638889,157,4.189475
0.725,99,4.194967
0.0,13,4.208932
0.65,126,4.220246
0.4888889,184,4.228543
0.20277777,287,4.253111
0.5638889,157,4.337488
0.7027778,107,4.337507
0.5888889,148,4.342859
0.0,11,4.372449
0.7416667,93,4.383148
0.33333334,240,4.383161
0.3361111,239,4.405088
0.0,13,4.419415
0.8277778,62,4.419427
0.0,37,4.437913
0.0,22,4.443447
0.58055556,151,4.50041
0.69166666,111,4.509064
0.25555557,268,4.522663
0.20833333,285,4.555384
0.63055557,133,4.555397
0.5555556,160,4.563376
0.60833335,141,4.568746
0.46944445,191,4.587821
0.625,135,4.593477
0.50277776,179,4.655766
0.0,324,4.655779
0.0,324,4.65908
0.46388888,193,4.675635
0.4861111,185,4.721222
0.56666666,156,4.76195
0.6722222,118,4.764841
0.76111114,86,4.7899
0.25277779,269,4.803818
0.0,79,4.803831
0.54444444,164,4.820306
0.58055556,151,4.849306
0.55,162,4.860136
0.6333333,132,4.881696
0.80277777,71,4.914423
0.15833333,303,4.941256
0.8333333,60,4.952337
0.0,56,4.955618
0.6944444,110,4.955629
0.6666667,120,4.982537
0.5638889,157,4.982549
0.39722222,217,5.009651
0.5277778,170,5.030365
0.0,140,5.03834
0.0,324,5.067762
0.4861111,185,5.095679
0.39722222,217,5.098474
0.6805556,115,5.115293
0.35833332,231,5.129333
0.5277778,170,5.13745
0.38055557,223,5.170055
0.7777778,80,5.172799
0.21388888,283,5.17559
0.74444443,92,5.192013
0.55277777,161,5.200652
0.0,39,5.203498
0.0,26,5.209263
0.51666665,174,5.239169
0.6527778,125,5.256007
0.0,69,5.289082
0.7,108,5.30545
0.0,101,5.308372
0.0,4,5.316724
0.0,5,5.322347
0.50555557,178,5.335801
0.6,144,5.349683
0.0,65,5.349695
0.0,56,5.363828
0.60555553,142,5.372534
0.0,13,5.372547
0.0,18,5.400498
0.725,99,5.449542
0.58055556,151,5.454803
0.60555553,142,5.460341
0.51111114,176,5.465669
0.4027778,215,5.471058
0.0,8,5.482638
0.44722223,199,5.499079
0.6111111,140,5.557433
0.5611111,158,5.562925
0.725,99,5.618647
0.80277777,71,5.641234
0.0,30,5.644254
0.67777777,116,5.679567
0.16111112,302,5.685267
0.0,15,5.68528
0.5083333,177,5.685286
0.0,324,5.7038
0.0,126,5.715309
0.55277777,161,5.755821
0.475,189,5.772307
0.70555556,106,5.786196
0.51666665,174,5.797441
0.0,41,5.797454
0.55,162,5.814706
