shield/actions_block_ignored,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,shield/actions_allowed,time/time_elapsed,shield/actions_blocked,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/clip_range,shield/delta,shield/transition_timestep,shield/stage
0,49152,138.48,0.38313883543014526,1,8371,14237,5,6973,,,,,,,,,,,,,
0,98304,134.18,0.5236944556236267,2,5590,31267,17,15203,-0.004498951836588579,0.07571207682291667,-1.9337543026233712,0.005863508640686632,0.0003,0.014304605,0.009007927030324936,-0.0029753446578979492,10,0.2,,,
0,147456,137.47,0.311861127614975,3,4931,54352,29,20235,-0.006622486738585091,0.07537434895833334,-1.8901316558321317,0.009066954370306727,0.0003,0.012308792,-0.008394438773393631,0.52840256690979,20,0.2,0.75,100008,0
0,196608,122.88,0.37680554389953613,4,4668,77819,42,26007,-0.007614024221462993,0.08921712239583333,-1.8716659708569447,0.0067882939889386765,0.0003,0.010822014,0.01401560939848423,0.5778076648712158,30,0.2,,,
0,245760,70.08,0.05980555713176727,5,4520,106977,54,27542,-0.009719273580534113,0.12714029947916666,-1.8210570356498161,0.006971166687192939,0.0003,0.01192984,0.007695749402046204,0.6595396995544434,40,0.2,0.5,200016,1
0,294912,91.46,0.17713887989521027,6,4417,137124,66,28909,-0.008608172319266789,0.12146809895833334,-1.8104397989809513,0.0048165066337484555,0.0003,0.011606363,-0.01099211722612381,0.6255757808685303,50,0.2,,,
0,344064,69.92,0.12250000238418579,7,4329,169098,79,29044,-0.009812376642063707,0.133135986328125,-1.7697454201057554,0.005363091139952303,0.0003,0.011272274,-0.004254757426679134,0.6689517498016357,60,0.2,0.25,300000,2
0,393216,76.83,0.16863888502120972,8,4278,201626,91,29044,-0.009859064178453992,0.13329264322916667,-1.7312694201866785,0.006275399350730974,0.0003,0.01117332,-0.006600823253393173,0.5925980806350708,70,0.2,,,
0,442368,79.2,0.33683329820632935,9,4296,0,102,0,-0.011822786900059631,0.1607666015625,-1.656860820700725,0.008322030668690179,0.0003,0.012400798,-0.014267882332205772,0.585532546043396,80,0.2,0.0,400008,3
0,491520,72.28,0.3683888614177704,10,4327,0,113,0,-0.01038393445087422,0.14840087890625,-1.582027548365295,0.010567136443811857,0.0003,0.011967118,0.0038190572522580624,0.5754008293151855,90,0.2,,,
0,540672,71.38,0.5102221965789795,11,4347,0,124,0,-0.010817937882954235,0.15181681315104167,-1.46577721927315,0.012168918737734203,0.0003,0.012370321,-0.008482977747917175,0.5964425206184387,100,0.2,,,
