#{"t_start": 1773144566.3547988, "env_id": "None"}
r,l,t
0.58928573,115,0.320735
0.31071427,193,0.531534
0.25714287,208,0.57161
0.0,252,0.758221
0.0,252,0.758247
0.0,252,0.758253
0.0,252,0.758256
0.0,252,0.75826
0.0,252,0.758264
0.0,252,0.758268
0.0,252,0.758271
0.0,252,0.758274
0.0,252,0.758277
0.0,252,0.758281
0.0,252,0.758284
0.0,252,0.758287
0.0,252,0.75829
0.0,252,0.758293
0.0,252,0.758296
0.0,252,0.758299
0.0,252,0.758303
0.0,252,0.758306
0.0,252,0.758309
0.0,252,0.758312
0.0,252,1.053114
0.5857143,116,1.055963
0.0,252,1.253919
0.30714285,194,1.256709
0.0,252,1.292184
0.18571429,228,1.343898
0.175,231,1.351876
0.0,252,1.407078
0.0,252,1.40709
0.0,252,1.407096
0.0,252,1.4071
0.0,252,1.407103
0.0,252,1.407106
0.0,252,1.407109
0.0,252,1.407112
0.0,252,1.407115
0.0,252,1.407118
0.0,252,1.407121
0.0,252,1.407125
0.0,252,1.407128
0.0,252,1.407131
0.0,252,1.407134
0.0,252,1.407137
0.0,252,1.40714
0.47142857,148,1.632009
0.6464286,99,1.657213
0.0,252,1.697716
0.0,252,1.700603
0.42142856,162,1.816592
0.3,196,1.842
0.0,252,1.896781
0.0,252,1.932732
0.23214285,215,1.950976
0.0,252,1.991478
0.0,252,2.046533
0.0,252,2.046546
0.0,252,2.046551
0.0,252,2.046554
0.0,252,2.046557
0.0,252,2.04656
0.0,252,2.046563
0.0,252,2.046566
0.0,252,2.04657
0.0,252,2.046572
0.0,252,2.046575
0.0,252,2.046578
0.0,252,2.046581
0.0,252,2.046584
0.35357141,181,2.16159
0.4642857,150,2.226381
0.0,252,2.275317
0.0,252,2.300116
0.0,252,2.341535
0.0,252,2.459844
0.0,252,2.54127
0.0,252,2.57681
0.0,252,2.595515
0.0,252,2.635764
0.31785715,191,2.648222
0.0,252,2.68954
0.0,252,2.689553
0.0,252,2.689558
0.0,252,2.689561
0.0,252,2.689564
0.0,252,2.689568
0.0,252,2.689571
0.0,252,2.689574
0.0,252,2.689577
0.0,252,2.68958
0.0,252,2.689583
0.0,252,2.689586
0.0,252,2.689589
0.0,252,2.689592
0.0,252,2.865344
0.5535714,125,2.893913
0.0,252,2.914516
0.0,252,2.939834
0.0,252,2.980686
0.0,252,3.099289
0.0,252,3.180299
0.0,252,3.233944
0.23214285,215,3.233957
0.0,252,3.275003
0.0,252,3.286998
0.15357143,237,3.289763
0.0,252,3.328437
0.0,252,3.32845
0.0,252,3.328456
0.0,252,3.32846
0.0,252,3.328463
0.0,252,3.328466
0.0,252,3.328469
0.0,252,3.328472
0.0,252,3.328475
0.0,252,3.328477
0.0,252,3.32848
0.0,252,3.328483
0.56785715,121,3.407451
0.0,252,3.506165
0.7178571,79,3.529468
0.0,252,3.534545
0.0,252,3.554728
0.0,252,3.580713
0.0,252,3.621097
0.0,252,3.821348
0.0,252,3.874915
0.1,252,3.874928
0.0,252,3.915947
0.0,252,3.929113
0.0,252,3.931937
0.14285715,240,3.939359
0.0,252,3.970526
0.0,252,3.970538
0.0,252,3.970543
0.0,252,3.970547
0.0,252,3.97055
0.0,252,3.970553
0.0,252,3.970556
0.0,252,3.970559
0.0,252,3.970562
0.0,252,3.970565
0.0,252,4.050348
0.27142859,204,4.055793
0.0,252,4.148569
0.0,252,4.171505
0.0,252,4.19633
0.12142857,246,4.206485
0.0,252,4.261954
0.64285713,100,4.424227
0.0,252,4.46128
0.0,252,4.513212
0.0,252,4.513225
0.13928571,241,4.540831
0.0,252,4.553888
0.0,252,4.566911
0.0,252,4.577215
0.12142857,246,4.592777
0.0,252,4.608494
0.0,252,4.608507
0.0,252,4.608512
0.0,252,4.608516
0.0,252,4.608518
0.0,252,4.608521
0.0,252,4.608525
0.0,252,4.608528
0.0,252,4.608531
0.0,252,4.68757
0.0,252,4.692938
0.25714287,208,4.723013
0.0,252,4.785022
0.0,252,4.843441
0.5535714,125,4.884156
0.0,252,4.899484
0.725,77,4.98028
0.36785713,177,5.056018
0.0,252,5.061318
0.0,252,5.104948
0.0,252,5.159045
0.0,252,5.15906
0.0,252,5.187778
0.18928571,227,5.19073
0.0,252,5.200858
0.0,252,5.223515
0.0,252,5.239365
0.0,252,5.255061
0.0,252,5.255074
0.0,252,5.25508
0.0,252,5.255085
0.0,252,5.255089
0.0,252,5.255092
0.0,252,5.255096
0.0,252,5.334162
0.0,252,11.102797
0.0,252,11.134169
0.0,252,11.259688
0.5714286,120,11.265292
0.0,252,11.301326
0.0,252,11.316673
0.18928571,227,11.334894
0.53571427,130,11.355592
0.33214286,187,11.40719
0.0,252,11.476239
0.0,252,11.48188
0.31071427,193,11.518241
0.0,252,11.520798
0.19285715,226,11.548129
0.0,252,11.573511
0.0,252,11.602802
0.16071428,235,11.625969
0.0,252,11.638569
0.13571429,242,11.643688
0.0,252,11.653865
0.0,252,11.669521
0.0,252,11.669533
0.0,252,11.669539
0.0,252,11.748673
0.0,252,11.753968
0.4857143,144,11.777494
0.0,252,11.784988
0.0,252,11.910005
0.49285713,142,11.915334
0.0,252,11.915347
0.74285716,72,11.941178
0.0,252,11.951554
0.3892857,171,11.959975
0.0,252,11.968129
0.0,252,11.986143
0.0,252,12.006648
0.25,210,12.020281
0.21071428,221,12.091918
0.0,252,12.132964
0.32857144,188,12.156646
0.16428572,234,12.179712
0.67142856,92,12.205087
0.2,224,12.218164
0.18571429,228,12.243734
0.0,252,12.254346
0.34642857,183,12.259548
0.0,252,12.277538
0.0,252,12.294856
0.0,252,12.320213
0.0,252,12.320226
0.40714285,166,12.37884
0.0,252,12.399789
0.0,8,12.399802
0.0,252,12.427787
0.26785713,205,12.443125
0.24642856,211,12.483266
0.39642859,169,12.524115
0.114285715,248,12.547688
0.0,252,12.563074
0.23928571,213,12.565804
0.0,252,12.605848
0.0,252,12.630895
0.0,252,12.651461
0.0,252,12.775954
0.46785715,149,12.778684
0.0,252,12.798732
0.45714286,152,12.814938
0.21428572,220,12.814952
0.0,252,12.822782
0.6142857,108,12.838325
0.27142859,204,12.84085
0.0,252,12.848542
0.0,252,12.861554
0.0,252,12.887382
0.42857143,160,12.892916
0.4857143,144,12.892929
0.5964286,113,12.895633
0.0,3,12.90056
0.0,252,12.903117
0.0,252,12.920961
0.0,252,12.938988
0.0,252,12.964745
0.0,252,13.043138
0.0,252,13.085951
0.62857145,104,13.103853
0.13928571,241,13.178887
0.0,252,13.188812
0.54285717,128,13.21941
0.48214287,145,13.267514
0.0,252,13.27274
0.45714286,152,13.272753
0.0,252,13.292995
0.225,217,13.373584
0.0,252,13.416929
0.0,252,13.419986
0.18571429,228,13.427324
0.0,252,13.439962
0.0,252,13.455607
0.0,252,13.455619
0.28928572,199,13.469003
0.0,252,13.481405
0.0,252,13.501953
0.0,252,13.533046
0.0,252,13.543257
0.0,252,13.560923
0.0,252,13.578488
0.75714284,68,13.630179
0.4642857,150,13.65584
0.0,252,13.68367
0.6035714,111,13.723899
0.0,252,13.726617
0.22142857,218,13.734687
0.0,252,13.744892
0.30357143,195,13.770761
0.0,252,13.831385
0.525,133,13.841768
0.0,252,13.862299
0.3857143,172,13.867551
0.39642859,169,13.900906
0.0,252,13.910997
0.0,252,13.936178
0.46785715,149,13.959302
0.15714286,236,13.977473
0.0,252,14.060425
0.0,252,14.063203
0.0,252,14.098604
0.10357143,251,14.121392
0.15714286,236,14.134674
0.0,252,14.185121
0.0,252,14.203024
0.17857143,230,14.268313
0.0,252,14.270674
0.0,252,14.296457
0.21071428,221,14.333067
0.49285713,142,14.338393
0.0,252,14.366206
0.0,252,14.36927
0.0,252,14.377118
0.0,252,14.387295
0.19642857,225,14.405301
0.18928571,227,14.441184
0.0,252,14.483432
0.0,252,14.508803
0.0,252,14.541954
0.0,252,14.552942
0.0,252,14.57811
0.0,252,14.600668
0.20714286,222,14.698627
0.0,252,14.701354
0.0,252,14.70409
0.0,252,14.738721
0.0,252,14.761737
0.41428572,164,14.785113
0.25,210,14.805683
0.0,252,14.826602
0.0,252,14.844061
0.0,252,14.909435
0.225,217,14.937608
0.0,252,14.937621
0.0,6,14.953377
0.0,252,14.973638
0.0,252,14.979153
0.0,252,15.006735
0.0,252,15.017539
0.2642857,206,15.032477
0.0,252,15.045585
0.13214286,243,15.0586
0.0,252,15.123734
0.12857144,244,15.163171
0.35,182,15.165808
0.675,91,15.186448
0.0,252,15.193997
0.0,252,15.220058
0.0,252,15.24344
0.0,252,15.342354
0.0,252,15.347633
0.2642857,206,15.353069
0.0,252,15.38342
0.0,252,15.40625
0.30357143,195,15.409145
0.0,252,15.428902
0.0,252,15.449361
0.12857144,244,15.467113
0.30357143,195,15.47712
0.375,175,15.571252
0.0,252,15.581886
0.43571427,158,15.597452
0.0,252,15.617835
0.39285713,170,15.620741
0.32142857,190,15.648902
0.0,252,15.65144
0.0,252,15.66175
0.30357143,195,15.664666
0.0,252,15.677276
0.0,252,15.690224
0.0,252,15.703271
0.54642856,127,15.733815
0.41785714,163,15.764235
0.37142858,176,15.791421
0.0,252,15.863171
0.0,252,15.885913
0.0,252,15.99512
0.39642859,169,16.002697
0.5392857,129,16.005111
0.0,252,16.024924
0.5,140,16.045485
0.4642857,150,16.045498
0.0,252,16.048104
0.0,252,16.071156
0.0,252,16.091559
0.35714287,180,16.109576
0.0,252,16.109589
0.0,252,16.119907
0.0,252,16.223719
