#{"t_start": 1773144846.7818491, "env_id": "None"}
r,l,t
0.0,7,0.598684
0.0,8,0.601896
0.0,21,0.638221
0.0,73,0.932431
0.79444444,74,0.935968
0.78333336,78,0.948358
0.7138889,103,1.025994
0.66944444,119,1.076256
0.8361111,59,1.116825
0.625,135,1.12645
0.0,147,1.164532
0.0,47,1.174473
0.58055556,151,1.177581
0.5638889,157,1.196007
0.0,83,1.209005
0.0,6,1.21549
0.54444444,164,1.218453
0.53055555,169,1.234168
0.55,162,1.237551
0.0,11,1.253298
0.47777778,188,1.293791
0.49444443,182,1.297103
0.4611111,194,1.312851
0.43611112,203,1.340662
0.0,35,1.344308
0.49166667,183,1.34432
0.41944444,209,1.360262
0.4138889,211,1.366642
0.3361111,239,1.516602
0.32222223,244,1.53113
0.65555555,124,1.564561
0.73333335,96,1.567647
0.46388888,193,1.595634
0.25833333,267,1.595647
0.6027778,143,1.669749
0.5611111,158,1.704208
0.5277778,170,1.70422
0.6333333,132,1.749799
0.0,324,1.758533
0.0,324,1.758546
0.8055556,70,1.765214
0.8194444,65,1.782412
0.62222224,136,1.801978
0.71666664,102,1.80767
0.0,13,1.844167
0.8277778,62,1.847129
0.5861111,149,1.861565
0.4888889,184,1.955565
0.0,76,1.97548
0.5361111,167,2.006383
0.6888889,112,2.023674
0.30833334,249,2.043968
0.0,324,2.097614
0.17777778,296,2.10929
0.0,13,2.147558
0.16944444,299,2.153329
0.25277779,269,2.156534
0.42777777,206,2.156545
0.0,26,2.173628
0.5833333,150,2.17949
0.24722221,271,2.191444
0.0,58,2.191457
0.0,21,2.208946
0.18333334,294,2.21193
0.0,324,2.247035
0.0,28,2.272985
0.5361111,167,2.281905
0.57222223,154,2.2909
0.675,117,2.293886
0.28611112,257,2.333677
0.0,19,2.33678
0.0,324,2.34567
0.42777777,206,2.351828
0.41944444,209,2.36607
0.6888889,112,2.369006
0.0,17,2.399915
0.0,18,2.417763
0.0,50,2.434693
0.78055555,79,2.474843
0.62777776,134,2.539846
0.18055555,295,2.551867
0.31944445,245,2.565922
0.58055556,151,2.591585
0.22777778,278,2.641861
0.69722223,109,2.647671
0.8277778,62,2.650721
0.7416667,93,2.665063
0.30555555,250,2.69443
0.5138889,175,2.71146
0.0,324,2.711473
0.70555556,106,2.720255
0.5888889,148,2.768375
0.3861111,221,2.813067
0.39444444,218,2.816362
0.35277778,233,2.877209
0.39444444,218,2.894157
0.45,198,2.897155
0.0,99,2.923009
0.7638889,85,2.934543
0.0,324,2.934556
0.43888888,202,2.943707
0.21944444,281,2.961197
0.5472222,163,3.002949
0.64166665,129,3.017837
0.28333333,258,3.02966
0.16666667,300,3.032976
0.5611111,158,3.041661
0.38055557,223,3.070215
0.5861111,149,3.073508
0.49444443,182,3.085113
0.5888889,148,3.088089
0.63055557,133,3.091404
0.63055557,133,3.091417
0.0,61,3.100029
0.7222222,100,3.103001
0.8,72,3.142717
0.71666664,102,3.187706
0.74722224,91,3.204666
0.88611114,41,3.219278
0.0,62,3.267632
0.74444443,92,3.282107
0.8472222,55,3.298728
0.7138889,103,3.324814
0.23888889,274,3.333424
0.75555557,88,3.341979
0.67777777,116,3.365216
0.45,198,3.379448
0.71666664,102,3.379461
0.58055556,151,3.39341
0.0,26,3.407865
0.4611111,194,3.433427
0.33888888,238,3.447654
0.7972222,73,3.549159
0.3888889,220,3.563519
0.16944444,299,3.571919
0.6888889,112,3.58585
0.0,14,3.589175
0.0,10,3.600575
0.7916667,75,3.659418
0.54444444,164,3.670823
0.0,39,3.695857
0.6861111,113,3.698641
0.6472222,127,3.738838
0.33333334,240,3.756485
0.15833333,303,3.762398
0.24722221,271,3.776894
0.0,30,3.786083
0.5833333,150,3.791659
