#{"t_start": 1773145131.2171462, "env_id": "None"}
r,l,t
0.0,1,0.012155
0.0,5,0.023607
0.0,19,0.060194
0.86992186,37,0.112171
0.85234374,42,0.126056
0.8382813,46,0.137006
0.8347656,47,0.140017
0.83125,48,0.14336
0.82421875,50,0.149201
0.8171875,52,0.155335
0.8171875,52,0.155347
0.8171875,52,0.158161
0.0,2,0.161268
0.0,3,0.16727
0.79609376,58,0.173348
0.7890625,60,0.17921
0.0,2,0.179222
0.78203124,62,0.18509
0.0,2,0.190988
0.7714844,65,0.193999
0.8453125,44,0.240182
0.0,1,0.243467
0.71171874,82,0.243478
0.6976563,86,0.254779
0.8558594,41,0.262967
0.0,38,0.271595
0.0,16,0.289471
0.6449219,101,0.29809
0.8101562,54,0.312741
0.6238281,107,0.3156
0.61679685,109,0.321624
0.0,1,0.324832
0.0,3,0.333589
0.65546876,98,0.345134
0.5746094,121,0.357377
0.0,4,0.369257
0.78203124,62,0.374727
0.75742185,69,0.380638
0.7398437,74,0.394847
0.0,2,0.40074
0.51835936,137,0.403883
0.68710935,89,0.409899
0.79609376,58,0.412821
0.5042969,141,0.415931
0.82773435,49,0.433581
0.0,85,0.439455
0.8417969,45,0.44529
0.6027344,113,0.468018
0.7328125,76,0.476892
0.42695314,163,0.479776
0.89453125,30,0.491286
0.8628906,39,0.494411
0.4234375,164,0.497498
0.0,4,0.506314
0.83125,48,0.51567
0.8382813,46,0.536455
0.0,2,0.542143
0.5078125,140,0.550393
0.8347656,47,0.553213
0.89453125,30,0.556408
0.65898436,97,0.55642
0.71171874,82,0.556425
0.7433594,73,0.559305
0.7609375,68,0.568527
0.0,7,0.578051
0.6625,96,0.581153
0.43398437,161,0.59919
0.8453125,44,0.610868
0.43398437,161,0.640545
0.55,128,0.640557
0.0,3,0.649237
0.0,4,0.65218
0.7433594,73,0.722558
0.72578126,78,0.725501
0.859375,40,0.736576
0.0,1,0.739321
0.0,2,0.747744
0.7328125,76,0.766353
0.8417969,45,0.766368
0.8839844,33,0.818033
0.0,108,0.818046
0.7609375,68,0.821049
0.75390625,70,0.824054
0.5816406,119,0.824066
0.7328125,76,0.835508
0.7855469,61,0.83852
0.8839844,33,0.858142
0.690625,88,0.861047
0.8347656,47,0.861058
0.0,2,0.866634
0.7644531,67,0.866646
0.9296875,20,0.879943
0.7046875,84,0.883096
0.6203125,108,0.883109
0.0,11,0.89138
0.5921875,116,0.896722
0.4832031,147,0.899517
0.68007815,91,0.90549
0.75742185,69,0.908527
0.64140624,102,0.911533
0.0,18,0.917403
0.5816406,119,0.922905
0.5359375,132,0.936668
0.85234374,42,0.955974
0.84882814,43,0.955986
0.7328125,76,0.961722
0.8804687,34,0.986209
0.7152344,81,0.99152
0.83125,48,1.016279
0.859375,40,1.021499
0.7328125,76,1.034981
0.71875,80,1.043299
0.0,8,1.043311
0.7714844,65,1.046187
0.8101562,54,1.054029
0.0,5,1.057067
0.68359375,90,1.0681
0.8453125,44,1.076458
0.7398437,74,1.087231
0.7433594,73,1.108419
0.775,64,1.111317
0.72578126,78,1.114069
0.0,256,1.127712
0.82070315,51,1.130783
0.7222656,79,1.133945
0.0,1,1.133962
0.64140624,102,1.139759
0.803125,56,1.139771
0.0,12,1.161735
0.9121094,25,1.181237
0.5359375,132,1.184188
0.0,18,1.190083
0.40234375,170,1.190094
0.8101562,54,1.195865
0.8347656,47,1.198746
0.5921875,116,1.201756
0.6941406,87,1.201769
0.0,1,1.204606
0.8382813,46,1.237915
0.7046875,84,1.248375
0.8171875,52,1.27829
0.57109374,122,1.29216
0.68359375,90,1.30615
0.78203124,62,1.311614
0.0,144,1.31967
0.7046875,84,1.34704
0.78203124,62,1.360902
0.7679688,66,1.366586
0.39882812,171,1.369411
0.8136719,53,1.383174
