#{"t_start": 1773144021.4596267, "env_id": "None"}
r,l,t
0.0,7,0.582715
0.0,47,0.827581
0.0,57,0.859056
0.0,57,0.859072
0.79444444,74,0.912488
0.76944447,83,0.941848
0.0,32,0.960517
0.73888886,94,0.982856
0.0,105,1.01692
0.6888889,112,1.038854
0.0,119,1.061149
0.6638889,121,1.08981
0.0,131,1.099586
0.55833334,159,1.188297
0.62222224,136,1.294544
0.5472222,163,1.347239
0.34444445,236,1.490258
0.31111112,248,1.5247
0.0,131,1.530542
0.26944444,263,1.567177
0.0,192,1.576029
0.4722222,190,1.596491
0.23055555,277,1.607782
0.0,18,1.619403
0.18888889,292,1.651953
0.0,324,1.743707
0.0,324,1.74372
0.0,324,1.743725
0.0,324,1.743729
0.0,324,1.743732
0.0,324,1.743736
0.0,324,1.743739
0.0,16,1.791502
0.66944444,119,1.835428
0.0,66,1.844472
0.0,282,1.881562
0.30555555,250,1.901463
0.62777776,134,1.918736
0.0,84,1.988306
0.0,324,2.017519
0.26944444,263,2.02975
0.7138889,103,2.044255
0.0,324,2.05021
0.0,324,2.070485
0.0,9,2.070498
0.5388889,166,2.079277
0.35833332,231,2.08541
0.0,6,2.097558
0.64444447,128,2.117615
0.0,324,2.126288
0.0,26,2.146513
0.6472222,127,2.160694
0.0,24,2.166575
0.5777778,152,2.186763
0.0,19,2.201395
0.64444447,128,2.207228
0.35555556,232,2.249004
0.0,324,2.303235
0.0,43,2.309098
0.0,6,2.320691
0.69722223,109,2.33217
0.7361111,95,2.343769
0.0,175,2.349701
0.5472222,163,2.352929
0.0,154,2.364027
0.0,227,2.400549
0.64444447,128,2.417413
0.7972222,73,2.456844
0.0,324,2.459939
0.6472222,127,2.4887
0.4027778,215,2.520364
0.0,65,2.534956
0.0,324,2.543307
0.0,324,2.555302
0.42777777,206,2.581278
0.0,168,2.597901
0.49722221,181,2.604185
0.44444445,200,2.604199
0.0,25,2.627496
0.0,324,2.67772
0.62222224,136,2.697493
0.0,118,2.700426
0.0,129,2.720622
0.48055556,187,2.734729
0.46944445,191,2.751955
0.0,56,2.786133
0.34444445,236,2.839297
0.2638889,265,2.915107
0.0,74,2.929663
0.0,115,2.929676
0.41666666,210,2.941296
0.0,141,2.944583
0.575,153,2.955944
0.0,97,3.009244
0.46666667,192,3.034957
0.0,133,3.076996
0.48333332,186,3.130868
0.33888888,238,3.133885
0.57222223,154,3.133898
0.25,270,3.185236
0.7222222,100,3.214334
0.0,324,3.242735
0.175,297,3.245987
0.0,324,3.254685
0.65833336,123,3.266325
0.32222223,244,3.291017
0.0,31,3.341154
0.6888889,112,3.352796
0.0,83,3.366983
0.0,324,3.381363
0.53333336,168,3.419431
0.63611114,131,3.451632
0.0,324,3.457155
0.5083333,177,3.460222
0.4861111,185,3.472282
0.21666667,282,3.480805
0.28055555,259,3.48957
0.0,324,3.505058
0.69166666,111,3.505071
0.0,48,3.508616
0.6805556,115,3.577344
0.0,8,3.600585
0.1388889,310,3.671736
0.5555556,160,3.674706
0.41944444,209,3.734278
0.12222222,316,3.743206
0.0,28,3.755016
0.0,107,3.811375
0.6527778,125,3.819958
0.0,5,3.825916
