#{"t_start": 1773144156.6063058, "env_id": "None"}
r,l,t
0.5535714,125,0.345315
0.21071428,221,0.607893
0.20714286,222,0.676783
0.5928571,114,0.723038
0.0,252,0.756776
0.0,252,0.756789
0.0,252,0.756794
0.0,252,0.756798
0.0,252,0.756802
0.0,252,0.756804
0.0,252,0.756808
0.0,252,0.756811
0.0,252,0.756814
0.0,252,0.756818
0.0,252,0.756821
0.0,252,0.756824
0.0,252,0.756828
0.0,252,0.756831
0.0,252,0.756834
0.0,252,0.756838
0.0,252,0.756841
0.0,252,0.756845
0.0,252,0.756848
0.0,252,0.756851
0.0,252,0.756854
0.17142858,232,1.268943
0.23214285,215,1.301462
0.0,252,1.316735
0.0,252,1.36279
0.0,252,1.39695
0.0,252,1.396963
0.0,252,1.396968
0.0,252,1.396972
0.0,252,1.396975
0.0,252,1.396978
0.0,252,1.396981
0.0,252,1.396984
0.0,252,1.396987
0.0,252,1.39699
0.0,252,1.396993
0.0,252,1.396996
0.0,252,1.396999
0.0,252,1.397002
0.0,252,1.397005
0.0,252,1.397008
0.0,252,1.397011
0.0,252,1.397014
0.0,252,1.397017
0.0,252,1.39702
0.0,100,1.649684
0.34285715,184,1.862971
0.0,252,1.908972
0.12857144,244,1.921376
0.0,252,1.956634
0.11071429,249,1.994984
0.15714286,236,1.994998
0.15,238,2.00026
0.0,252,2.036292
0.0,252,2.036304
0.0,252,2.036309
0.0,252,2.036313
0.0,252,2.036316
0.0,252,2.036319
0.0,252,2.036322
0.0,252,2.036325
0.0,252,2.036328
0.0,252,2.036331
0.0,252,2.036334
0.0,252,2.036336
0.0,252,2.036339
0.0,252,2.036342
0.0,252,2.036345
0.0,252,2.036348
0.0,252,2.291567
0.23928571,213,2.4997
0.0,252,2.504778
0.0,252,2.549446
0.0,252,2.562675
0.0,252,2.636651
0.0,252,2.636664
0.0,252,2.642449
0.11071429,249,2.671324
0.0,252,2.679961
0.0,252,2.679974
0.0,252,2.67998
0.0,252,2.679983
0.0,252,2.679986
0.0,252,2.67999
0.0,252,2.679992
0.0,252,2.679996
0.0,252,2.679999
0.0,252,2.680002
0.0,252,2.680005
0.0,252,2.680008
0.0,252,2.680011
0.0,252,2.680013
0.0,252,2.680017
0.60714287,110,2.918607
0.0,252,2.933697
0.32857144,188,2.984229
0.42857143,160,3.08466
0.23928571,213,3.092664
0.0,7,3.110504
0.36785713,177,3.128502
0.34642857,183,3.136329
0.0,252,3.141561
0.35,182,3.141574
0.31785715,191,3.164439
0.23214285,215,3.190029
0.0,252,3.205694
0.23214285,215,3.226561
0.0,252,3.279939
0.0,252,3.320955
0.0,252,3.320968
0.0,252,3.320973
0.0,252,3.320977
0.0,252,3.32098
0.0,252,3.320983
0.0,252,3.320986
0.0,252,3.320989
0.0,252,3.320992
0.0,252,3.320995
0.3857143,172,3.52282
0.19285715,226,3.55766
0.0,252,3.557674
0.0,252,3.573593
0.24642856,211,3.646147
0.0,252,3.76608
0.0,252,3.773855
0.0,252,3.779356
0.0,252,3.779369
0.0,252,3.802643
0.0,252,3.828336
0.0,252,3.843049
0.0,252,3.863071
0.0,252,3.916429
0.13214286,243,3.93421
0.114285715,248,3.947218
0.0,252,3.957622
0.0,252,3.957634
0.0,252,3.95764
0.0,252,3.957644
0.0,252,3.957647
0.0,252,3.95765
0.0,252,3.957653
0.0,252,3.957656
0.0,30,4.033641
0.54285717,128,4.127522
0.0,252,4.160219
0.0,252,4.196432
0.0,252,4.196446
0.0,252,4.212285
0.0,252,4.284451
0.0,252,4.404546
0.0,252,4.412662
0.0,252,4.417955
0.0,252,4.417968
0.0,252,4.466719
0.0,252,4.482767
0.0,252,4.502539
0.0,252,4.555712
0.0,252,4.573665
0.0,252,4.586846
0.0,252,4.597443
0.0,252,4.597457
0.0,252,4.597461
0.0,252,4.597465
0.0,252,4.597468
0.0,252,4.597471
0.0,252,4.597474
0.0,5,4.601313
0.0,252,4.673821
0.51428574,136,4.752476
0.63928574,101,4.759962
0.0,252,4.767555
0.0,252,4.80057
0.50714284,138,4.818084
0.5214286,134,4.823536
0.0,252,4.836521
0.0,252,4.836535
0.0,252,4.851825
0.0,252,4.92445
0.0,252,5.051837
0.0,252,5.05701
0.0,252,5.057024
0.0,252,5.191567
0.11071429,249,5.201723
0.0,252,5.232032
0.0,252,5.232046
0.0,252,5.232052
0.0,252,5.232056
0.0,252,5.23206
0.0,252,5.232064
0.0,252,5.232067
0.0,252,5.235685
0.0,252,5.308976
0.0,252,11.158048
0.0,252,11.166327
0.0,252,11.174393
0.13928571,241,11.17986
0.20714286,222,11.182615
0.0,252,11.22532
0.0,252,11.230456
0.0,252,11.243536
0.0,252,11.243549
0.36785713,177,11.271429
0.28928572,199,11.332351
0.0,252,11.332365
0.0,252,11.465048
0.28214285,201,11.515885
0.25,210,11.535877
0.16428572,234,11.597473
0.0,252,11.602666
0.0,252,11.612768
0.22857143,216,11.627877
0.0,252,11.64312
0.0,252,11.643133
0.0,252,11.643138
0.0,252,11.643141
0.0,252,11.643145
0.27857143,202,11.691819
0.23928571,213,11.706903
0.32142857,190,11.724272
0.43928573,157,11.729405
0.0,252,11.796133
0.3392857,185,11.798874
0.0,252,11.81212
0.0,252,11.820103
0.0,252,11.863267
0.0,252,11.868665
0.0,252,11.881458
0.0,252,11.909091
0.51785713,135,11.984853
0.18928571,227,12.089256
0.0,252,12.101853
