time/total_timesteps,shield/actions_block_ignored,rollout/ep_len_mean,rollout/ep_rew_mean,shield/actions_allowed,time/iterations,shield/actions_blocked,time/fps,time/time_elapsed,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,shield_cutoff_timestep
49152,0,230.14,0.07357142865657806,18833,1,2487,9250,5,,,,,,,,,,,
98304,0,230.35,0.09739285707473755,38241,2,4648,6046,16,0.0003,0.0004934588581799441,0.008328257,0.0026224537286907434,10,-0.002647092312266371,-1.940094637622436,0.03990885416666667,0.2,-0.004047036170959473,
147456,0,191.39,0.26453572511672974,57598,3,6807,5423,27,0.0003,0.0011230772697520782,0.00869653,0.007062999531626701,20,-0.005983896793501723,-1.926225402392447,0.0767578125,0.2,0.40010714530944824,
196608,0,145.69,0.4665714204311371,77821,4,9121,5213,37,0.0003,0.0035210151203500573,0.010383555,0.0005557421827688813,30,-0.010128732668878608,-1.8938675766189894,0.12019449869791667,0.2,0.4339965581893921,
245760,0,120.43,0.5502142310142517,99697,5,11695,5058,48,0.0003,0.006385406634217361,0.011636951,-0.006250554695725441,40,-0.012128882244117753,-1.8477430760860443,0.14580078125,0.2,0.5309419631958008,
294912,0,84.07,0.22153569757938385,101745,6,11979,5031,58,0.0003,0.009872749120161946,0.013522737,-0.030142629519104958,50,-0.015786181225545686,-1.7792428351938725,0.19082234700520834,0.2,0.5899940729141235,250008
344064,,72.31,0.46285709738731384,,7,,5028,68,0.0003,0.010562053633960507,0.013297255,-0.0166638046503067,60,-0.013162963127615512,-1.7239952329546213,0.183038330078125,0.2,0.37170690298080444,
393216,,66.76,0.5773571133613586,,8,,5023,78,0.0003,0.015009979093641353,0.01463275,-0.022020775824785233,70,-0.01739547910146939,-1.6243495596572757,0.20318400065104167,0.2,0.46131426095962524,
442368,,54.07,0.7137500047683716,,9,,5018,88,0.0003,0.017525660998459595,0.015745943,-0.0098515460267663,80,-0.020760282578582215,-1.4937803470840056,0.21806640625,0.2,0.4930960536003113,
491520,,42.26,0.7637500166893005,,10,,5009,98,0.0003,0.016776831530053944,0.01793269,-0.0034850272350013256,90,-0.02074597478628372,-1.3150153843065102,0.24586995442708334,0.2,0.5268118381500244,
540672,,40.76,0.8172857165336609,,11,,5005,108,0.0003,0.014256103810233374,0.015561856,0.00390611682087183,100,-0.017434819470145156,-1.126369359778861,0.20632731119791667,0.2,0.5153334736824036,
