#{"t_start": 1773144282.4566298, "env_id": "None"}
r,l,t
0.0,1,0.014592
0.0,2,0.017774
0.0,30,0.097479
0.89101565,31,0.100557
0.0,34,0.109803
0.86640626,38,0.122109
0.86640626,38,0.122122
0.0,56,0.175215
0.0,3,0.184174
0.7890625,60,0.187476
0.775,64,0.199837
0.75039065,71,0.22085
0.7433594,73,0.227235
0.7011719,85,0.263796
0.0,85,0.263809
0.65546876,98,0.302579
0.63789064,103,0.317162
0.61679685,109,0.334853
0.61328125,110,0.338005
0.6027344,113,0.347123
0.5957031,115,0.353204
0.0,59,0.365565
0.0,3,0.374913
0.6695312,94,0.38453
0.0,99,0.39712
0.7714844,65,0.424929
0.8136719,53,0.424942
0.7328125,76,0.431061
0.5078125,140,0.434374
0.49375,144,0.443372
0.84882814,43,0.449571
0.49023438,145,0.453067
0.0,3,0.453079
0.0,39,0.45629
0.68359375,90,0.459543
0.0,1,0.462596
0.5816406,119,0.471554
0.0,4,0.48352
0.79960936,57,0.514217
0.409375,168,0.517195
0.0,23,0.520335
0.0,2,0.523595
0.40234375,170,0.523607
0.0,7,0.536167
0.521875,136,0.536179
0.78203124,62,0.539304
0.58867186,117,0.579094
0.45859376,154,0.59143
0.83125,48,0.600698
0.60625,112,0.606687
0.28632814,203,0.624615
0.84882814,43,0.65464
0.82070315,51,0.748233
0.72929686,77,0.753919
0.61679685,109,0.764521
0.5042969,141,0.786281
0.8171875,52,0.789049
0.7363281,75,0.816566
0.0,48,0.819513
0.61328125,110,0.819526
0.6027344,113,0.825127
0.0,2,0.830478
0.54296875,130,0.830491
0.5746094,121,0.841814
0.0,8,0.841826
0.7433594,73,0.858233
0.6308594,105,0.885686
0.60625,112,0.902132
0.0,124,0.902145
0.8839844,33,0.921276
0.0,2,0.926834
0.7890625,60,0.929761
0.4234375,164,0.935205
0.5746094,121,0.940845
0.7890625,60,0.951781
0.6027344,113,0.98116
0.7890625,60,1.005314
0.0,93,1.043215
0.8453125,44,1.053966
0.690625,88,1.057005
0.0,79,1.073294
0.19140625,230,1.076131
0.44101563,159,1.099635
0.49726564,143,1.105301
0.49375,144,1.145653
0.72578126,78,1.161366
0.5746094,121,1.169497
0.64140624,102,1.177646
0.0,2,1.183295
0.16328125,238,1.186216
0.7222656,79,1.194673
0.8171875,52,1.197552
0.0,256,1.208194
0.0,113,1.208206
0.0,1,1.211267
0.0,3,1.216958
0.0,256,1.233788
0.58515626,118,1.250162
0.91914064,23,1.250175
0.51835936,137,1.258496
0.0,38,1.27494
0.6625,96,1.31442
0.0,1,1.317459
0.61679685,109,1.339225
0.0,197,1.355487
0.409375,168,1.396242
0.6941406,87,1.39896
0.79960936,57,1.404778
0.8101562,54,1.404791
0.0,256,1.445862
0.6695312,94,1.451655
0.6484375,100,1.457391
