#{"t_start": 1773143670.0045652, "env_id": "None"}
r,l,t
0.0,8,0.615038
0.0,9,0.617209
0.0,12,0.623424
0.0,15,0.629626
0.0,23,0.772534
0.0,24,0.775035
0.0,3,0.78001
0.0,34,0.840944
0.0,38,0.850858
0.0,29,0.865393
0.0,45,0.874055
0.0,11,0.883757
0.0,50,0.886359
0.0,52,0.891347
0.0,17,0.915373
0.0,18,0.92994
0.0,76,0.949519
0.0,9,0.952179
0.0,56,0.96456
0.0,92,0.989169
0.0,31,0.991823
0.0,46,0.99684
0.0,17,1.006465
0.0,26,1.016372
0.0,104,1.019087
0.0,11,1.019098
0.0,6,1.021649
0.0,109,1.031757
0.0,109,1.031769
0.0,47,1.066232
0.0,23,1.073813
0.0,128,1.078971
0.0,86,1.084022
0.0,80,1.08915
0.0,133,1.091781
0.0,130,1.104191
0.0,8,1.111476
0.0,15,1.120982
0.0,40,1.130777
0.0,139,1.165114
0.0,23,1.16777
0.0,42,1.170403
0.0,61,1.182764
0.0,67,1.185435
0.0,68,1.188043
0.0,49,1.195572
0.0,16,1.20814
0.0,43,1.210738
0.0,11,1.213343
0.0,23,1.223437
0.0,49,1.242946
0.0,14,1.245487
0.0,65,1.250628
0.0,177,1.284654
0.0,50,1.294487
0.0,114,1.30433
0.0,241,1.417501
0.0,63,1.426117
0.0,35,1.43677
0.0,74,1.445228
0.0,167,1.456389
0.0,40,1.456401
0.0,264,1.467299
0.0,70,1.467311
0.0,72,1.473746
0.0,5,1.484615
0.0,18,1.495665
0.0,36,1.495678
0.2611111,266,1.497976
0.0,46,1.525409
0.0,95,1.527732
0.0,32,1.566003
0.0,47,1.568344
0.0,48,1.570618
0.0,313,1.57284
0.0,40,1.581309
0.0,28,1.587989
0.0,8,1.588001
0.0,324,1.59692
0.0,324,1.596932
0.0,324,1.596937
0.0,71,1.59969
0.0,56,1.606122
0.0,324,1.616991
0.0,23,1.619728
0.0,10,1.61974
0.0,17,1.619745
0.0,11,1.622073
0.0,241,1.624315
0.39722222,217,1.643208
0.0,96,1.645424
0.0,95,1.66205
0.0,44,1.683348
0.0,37,1.685617
0.0,23,1.692236
0.0,47,1.701039
0.0,85,1.709864
0.0,228,1.712154
0.0,6,1.722853
0.0,9,1.731507
0.0,53,1.733872
0.0,71,1.74257
0.0,80,1.747045
0.0,4,1.751636
0.0,61,1.751648
0.0,42,1.753977
0.0,225,1.75629
0.0,74,1.777607
0.0,84,1.779879
0.0,16,1.788425
0.0,62,1.817672
0.0,36,1.832534
0.0,39,1.834806
0.0,54,1.847835
0.0,75,1.847847
0.0,8,1.850182
0.0,57,1.856883
0.0,135,1.859244
0.0,15,1.868096
0.0,37,1.868109
0.0,191,1.908671
0.0,29,1.913189
0.0,104,1.91772
0.0,141,1.928514
0.0,20,1.960476
0.0,159,1.965162
0.0,324,1.965174
0.0,24,1.965179
0.0,113,1.967665
0.0,58,1.974304
0.0,324,1.976652
0.0,57,1.9921
0.0,324,2.000703
0.0,12,2.003174
0.0,126,2.020222
0.0,7,2.035212
0.0,134,2.041769
0.0,323,2.052752
0.0,50,2.074229
0.0,129,2.09762
0.0,221,2.097632
0.0,27,2.09989
0.0,47,2.102298
0.0,63,2.10231
0.0,189,2.110944
0.0,12,2.123751
0.0,25,2.128134
0.0,78,2.13046
0.0,19,2.139113
0.0,55,2.15404
0.0,176,2.160617
0.0,24,2.162918
0.0,143,2.169384
0.0,23,2.18851
0.0,30,2.188522
0.0,41,2.188527
0.0,107,2.19714
0.0,109,2.203661
0.0,37,2.232969
0.0,87,2.239228
0.0,114,2.247605
0.0,40,2.254143
0.0,130,2.254155
0.0,61,2.260736
0.0,18,2.286723
0.0,42,2.293464
0.0,50,2.295785
0.0,66,2.302468
0.0,30,2.304783
0.0,184,2.307086
0.0,68,2.309391
0.0,23,2.311694
0.0,10,2.333139
0.0,63,2.333152
0.0,69,2.337606
0.0,324,2.346377
0.0,8,2.350997
0.0,26,2.353288
0.0,79,2.359911
0.0,48,2.359924
0.0,237,2.370726
0.0,177,2.375207
0.0,238,2.383838
0.0,65,2.396615
0.0,19,2.401125
0.0,261,2.413991
0.0,32,2.416283
0.0,302,2.431334
0.0,151,2.454889
0.0,55,2.457143
0.0,245,2.459479
0.0,106,2.463866
0.0,31,2.468333
0.0,75,2.473023
0.0,171,2.473036
0.0,35,2.473042
0.0,7,2.475319
0.0,53,2.48626
0.0,29,2.49488
0.0,39,2.499319
0.0,17,2.510155
0.0,71,2.514584
0.0,23,2.523564
0.0,6,2.523576
0.0,18,2.525816
0.0,108,2.540884
0.0,14,2.54526
0.0,76,2.549684
0.0,36,2.554014
0.0,48,2.569153
0.0,14,2.571426
0.0,22,2.592439
0.0,49,2.600991
0.0,72,2.61178
0.0,10,2.622549
0.0,52,2.635516
0.0,52,2.637777
0.0,49,2.654634
0.0,151,2.661043
0.0,171,2.665468
0.0,66,2.665482
0.0,136,2.669932
0.0,29,2.674456
0.7138889,103,2.680865
0.0,42,2.683146
0.0,3,2.689562
0.0,131,2.700241
0.0,72,2.725874
0.0,202,2.741142
0.0,36,2.7778
0.0,52,2.777813
0.0,69,2.786662
0.0,110,2.791109
0.0,61,2.797612
0.0,324,2.804151
0.0,36,2.804163
0.0,157,2.808687
0.0,37,2.821471
0.0,70,2.825919
0.0,88,2.825931
0.0,24,2.838601
0.0,266,2.864513
0.0,32,2.873409
0.0,37,2.884216
0.0,31,2.893139
0.0,57,2.902012
0.0,14,2.904393
0.0,255,2.904405
0.0,44,2.934318
0.0,58,2.934331
0.0,202,2.936743
0.0,118,2.936753
0.0,54,2.939058
0.0,29,2.964548
0.0,32,2.973073
0.0,151,2.981699
0.0,42,2.983981
0.0,28,2.994783
0.0,100,2.994795
0.0,95,2.997042
0.0,6,3.00788
0.0,324,3.010172
0.0,27,3.022949
0.0,40,3.025174
0.0,28,3.033946
0.0,11,3.033958
0.5555556,160,3.036182
0.0,20,3.040615
0.0,67,3.049161
0.0,324,3.055727
0.0,56,3.058253
0.0,14,3.064866
0.0,39,3.069278
0.0,14,3.080174
0.0,11,3.082464
0.0,14,3.086771
0.0,215,3.089163
0.0,37,3.089174
0.0,32,3.093841
0.0,96,3.093853
0.0,27,3.093858
0.0,78,3.104779
0.0,77,3.104792
0.0,60,3.113539
0.0,11,3.113551
0.0,149,3.122486
0.0,24,3.122499
0.0,38,3.124939
0.0,14,3.124949
0.0,259,3.131598
0.0,6,3.14458
0.0,223,3.146889
0.0,21,3.159812
0.0,10,3.168738
0.0,20,3.16875
0.0,324,3.177556
0.0,16,3.180062
0.0,41,3.184548
0.0,34,3.197559
0.0,152,3.197571
0.0,15,3.210292
0.0,57,3.214729
0.0,84,3.221215
0.0,3,3.227784
0.0,66,3.232517
0.0,16,3.232529
0.0,50,3.232533
0.0,96,3.236995
0.0,14,3.2415
0.0,15,3.248093
0.0,13,3.261104
0.0,48,3.274308
0.0,88,3.27432
0.0,17,3.278853
0.0,84,3.278866
0.0,81,3.28325
0.0,79,3.287613
0.0,44,3.294123
0.0,10,3.315342
0.0,64,3.323859
0.0,25,3.332467
0.0,112,3.349317
0.0,56,3.357899
0.0,85,3.364567
0.0,43,3.366889
0.0,324,3.375702
0.0,47,3.380299
0.0,10,3.389091
0.0,22,3.397786
0.0,107,3.40237
0.0,146,3.402383
0.0,18,3.419985
0.0,124,3.430979
0.0,26,3.433329
0.0,95,3.43576
0.0,51,3.435772
0.0,38,3.448775
0.0,80,3.448787
0.0,8,3.453248
0.0,4,3.457674
0.0,8,3.46627
0.0,88,3.479125
0.0,31,3.487869
0.0,85,3.501251
0.0,51,3.501263
0.0,101,3.503733
0.0,200,3.503745
0.0,28,3.514685
0.0,54,3.521327
0.0,43,3.527924
0.0,14,3.534529
0.0,324,3.534541
0.0,47,3.539121
0.0,20,3.545552
0.0,37,3.547811
0.0,41,3.57737
0.0,169,3.600602
0.0,14,3.607165
0.0,44,3.615769
0.0,41,3.622395
0.0,90,3.626736
0.0,84,3.63955
0.0,47,3.646049
0.0,79,3.650518
0.0,8,3.657455
0.0,55,3.657467
0.0,197,3.661952
0.0,17,3.664294
0.0,76,3.668791
0.0,65,3.675298
0.0,26,3.679739
0.0,161,3.684503
0.0,72,3.684515
0.0,134,3.690941
0.0,13,3.693198
0.0,324,3.703955
0.0,88,3.706607
0.0,14,3.706619
0.0,29,3.7216
0.0,20,3.728179
0.0,156,3.743525
0.0,76,3.767282
0.0,34,3.767294
0.0,38,3.767298
0.0,240,3.784377
0.0,39,3.788862
0.0,27,3.801561
0.0,72,3.808078
0.0,96,3.816887
0.0,324,3.832195
0.0,61,3.838879
0.0,90,3.843334
0.0,138,3.847738
0.0,107,3.850102
0.0,9,3.858878
0.0,71,3.861159
0.0,9,3.863499
0.0,80,3.865806
0.0,11,3.883127
0.0,16,3.885415
0.0,37,3.889926
0.0,34,3.892268
0.0,59,3.89662
0.0,17,3.903109
0.0,12,3.915883
0.0,27,3.922394
0.0,20,3.928752
0.0,80,3.941662
0.0,324,3.954595
0.0,138,3.963768
0.0,16,3.96378
0.0,24,3.974755
0.0,53,3.977102
0.0,35,3.979366
0.0,53,3.998868
0.0,157,4.012111
0.0,17,4.01656
0.0,106,4.033575
0.0,79,4.063706
0.0,324,4.066015
0.0,20,4.077037
0.0,31,4.079371
0.25,270,4.090043
0.0,84,4.098918
0.0,20,4.120421
0.0,126,4.122665
0.0,162,4.137831
0.0,11,4.146545
0.0,23,4.148823
0.0,40,4.151043
0.0,102,4.1639
0.0,8,4.168357
0.0,71,4.170638
0.0,129,4.177177
0.0,189,4.179404
0.0,108,4.190048
0.0,234,4.230234
0.0,40,4.234678
0.0,23,4.239271
0.0,235,4.239283
0.0,69,4.239288
0.0,60,4.249976
0.0,40,4.262891
0.0,140,4.267587
0.0,17,4.2676
0.0,44,4.274078
0.0,20,4.282861
0.0,12,4.293902
0.0,27,4.298281
0.0,149,4.300628
0.0,5,4.305065
0.0,289,4.3095
0.0,36,4.352303
0.0,167,4.361053
0.0,324,4.363395
0.0,32,4.368084
0.0,112,4.389807
0.0,50,4.417287
0.16388889,301,4.443024
0.0,97,4.445493
0.0,39,4.445503
0.0,239,4.481995
0.0,26,4.502161
0.0,110,4.502173
0.0,69,4.502178
0.0,123,4.506821
0.0,157,4.51144
0.0,110,4.522572
0.0,324,4.537585
0.0,30,4.548653
0.0,181,4.557528
0.0,26,4.559869
0.0,19,4.564336
0.0,17,4.575292
0.0,35,4.583907
0.0,77,4.586227
0.0,131,4.590649
0.0,49,4.60992
0.0,13,4.614338
0.0,24,4.616679
0.0,37,4.629421
0.0,59,4.631706
0.0,24,4.636123
0.0,38,4.642597
0.0,236,4.651301
0.0,21,4.655714
0.0,315,4.660208
0.0,103,4.670949
0.0,17,4.673298
0.0,10,4.677758
0.0,11,4.684417
0.0,40,4.730155
0.0,29,4.747273
0.0,12,4.755904
0.0,324,4.771672
0.0,47,4.776272
0.0,324,4.785071
0.0,97,4.787429
0.0,226,4.794308
0.0,17,4.79432
0.0,133,4.803046
0.0,11,4.811784
0.0,169,4.814142
0.0,18,4.816523
0.0,119,4.818979
0.0,260,4.818992
0.7083333,105,4.821247
0.0,210,4.823533
0.0,256,4.827834
0.0,15,4.851009
0.0,23,4.853311
0.0,105,4.85983
0.0,34,4.868393
0.0,324,4.874678
0.0,44,4.881217
0.0,14,4.883443
0.0,37,4.894102
0.0,55,4.913463
0.62777776,134,4.924248
0.0,49,4.928675
0.0,27,4.933024
0.0,271,4.958656
0.0,17,4.961026
0.0,75,4.974372
0.0,167,4.978893
0.0,49,5.00057
0.0,281,5.002925
0.0,67,5.013499
0.0,155,5.015753
0.0,92,5.018006
0.0,28,5.020271
0.0,66,5.024689
0.0,54,5.050285
0.0,116,5.071213
0.0,11,5.073474
0.0,36,5.080199
0.675,117,5.080211
0.0,8,5.091226
0.0,37,5.099927
0.0,134,5.106553
0.0,90,5.108976
0.0,42,5.108986
0.0,128,5.128222
0.34444445,236,5.130473
0.0,71,5.132761
0.0,8,5.145925
0.0,68,5.148219
0.0,125,5.154836
0.0,26,5.165569
0.0,38,5.1745
0.0,17,5.191977
0.0,59,5.200557
0.0,111,5.202852
0.0,49,5.207227
0.0,32,5.216085
0.0,11,5.227113
0.0,13,5.236028
0.0,78,5.250978
0.0,70,5.259718
0.0,127,5.293633
