rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl
88.01,4,0.023555554449558258,49152,1,10316,,,,,,,,,,
67.41,14,0.014166667126119137,98304,2,6650,0.0004427915160690077,0.004370980896055698,0.2,-0.0010773257367266828,10,-1.9394849179312588,-0.04379117488861084,0.0003,0.024473063151041665,0.008499578
79.67,24,0.01122222188860178,147456,3,5944,0.0007672207572397838,-0.010480997152626514,0.2,-0.0019640901330300648,20,-1.930031776924928,0.08539533615112305,0.0003,0.03255818684895833,0.0065576914
78.96,34,0.017416667193174362,196608,4,5636,0.0008626120315265477,-0.0016188545851036906,0.2,-0.003380108291700405,30,-1.9125439361358683,0.217942476272583,0.0003,0.076751708984375,0.008818663
96.5,44,0.04699999839067459,245760,5,5477,0.0011874583107366258,0.0047900076024234295,0.2,-0.004029568671588398,40,-1.9110297926391164,0.2506107687950134,0.0003,0.065887451171875,0.009403944
105.59,54,0.05230555683374405,294912,6,5374,0.0015691261083550974,-0.0008270916296169162,0.2,-0.005961370557512661,50,-1.8894211106623213,0.3152080178260803,0.0003,0.10356241861979167,0.010205056
114.23,64,0.1067500039935112,344064,7,5308,0.0024336869765951025,-0.0090871537104249,0.2,-0.005363512443970346,60,-1.8640386655305823,0.3640899062156677,0.0003,0.085791015625,0.008319563
95.04,75,0.18416668474674225,393216,8,5233,0.003768035288157989,0.00530892563983798,0.2,-0.008111505347672694,70,-1.8248459745198489,0.40108293294906616,0.0003,0.10876668294270833,0.011585732
104.03,85,0.3373888432979584,442368,9,5189,0.005597801051044371,-0.01758587546646595,0.2,-0.00938656294025956,80,-1.7736270583545168,0.5087766051292419,0.0003,0.13861897786458333,0.012495528
82.55,95,0.39863887429237366,491520,10,5145,0.008523374726307036,-0.008553232997655869,0.2,-0.009695441277259912,90,-1.694814979409178,0.5405830144882202,0.0003,0.14636027018229167,0.012999686
65.8,105,0.437416672706604,540672,11,5102,0.010509081692725885,0.01436065323650837,0.2,-0.011013026414669487,100,-1.5827759529153507,0.5909829139709473,0.0003,0.160992431640625,0.012630627
