#{"t_start": 1773143889.7889671, "env_id": "None"}
r,l,t
0.0,1,0.012511
0.0,1,0.012529
0.0,1,0.012534
0.0,1,0.012537
0.0,1,0.01254
0.0,2,0.015114
0.0,2,0.015126
0.0,2,0.01513
0.0,1,0.015133
0.0,2,0.015136
0.0,2,0.015139
0.0,3,0.021178
0.0,6,0.027189
0.0,8,0.029253
0.0,2,0.031301
0.0,10,0.033405
0.0,13,0.03742
0.0,13,0.041555
0.0,5,0.041566
0.0,2,0.045593
0.0,18,0.047868
0.0,1,0.047879
0.0,3,0.047884
0.0,1,0.049991
0.0,22,0.056416
0.0,22,0.056427
0.0,25,0.063441
0.0,23,0.063453
0.0,1,0.065897
0.0,4,0.072735
0.0,4,0.081728
0.0,33,0.081743
0.0,34,0.084169
0.0,1,0.084178
0.0,25,0.08884
0.0,36,0.088852
0.0,37,0.091187
0.0,16,0.093555
0.0,39,0.096038
0.0,20,0.09605
0.0,2,0.09846
0.0,5,0.100905
0.0,1,0.103331
0.0,2,0.108058
0.0,2,0.112771
0.0,47,0.117291
0.0,3,0.119643
0.0,45,0.122069
0.0,17,0.122081
0.0,3,0.124541
0.0,52,0.127057
0.0,53,0.129554
0.0,1,0.129564
0.0,19,0.141755
0.0,40,0.141767
0.0,57,0.144182
0.0,8,0.148851
0.0,51,0.155825
0.0,1,0.158389
0.0,43,0.1584
0.0,31,0.158405
0.0,16,0.161
0.0,16,0.161009
0.0,1,0.161014
0.0,20,0.172386
0.0,2,0.176996
0.0,1,0.17933
0.0,20,0.188628
0.0,38,0.18864
0.0,1,0.191041
0.0,31,0.193436
0.0,22,0.195865
0.0,17,0.198375
0.0,1,0.198386
0.0,1,0.200903
0.0,9,0.200912
0.0,45,0.203317
0.0,3,0.208249
0.0,86,0.208261
0.0,4,0.208265
0.0,4,0.21088
0.0,29,0.210891
0.0,1,0.210896
0.0,52,0.213299
0.0,87,0.215672
0.0,41,0.226953
0.0,12,0.238262
0.0,20,0.238274
0.0,6,0.240747
0.0,35,0.243241
0.0,3,0.245725
