time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
6,49152,1,7888,169.93,14275,0,6751,0.40947219729423523,,,,,,,,,,,,,
17,98304,2,5465,134.55,30526,0,14627,0.4186388850212097,-1.934369264294704,-0.0035967106361567856,0.0003,0.052866617838541664,0.005925424885329752,0.010783851146697998,10,0.2,0.00325897429138422,0.012597528,,,
29,147456,3,4927,107.76,48146,0,24006,0.5396111011505127,-1.9061914071440698,-0.006769720664245445,0.0003,0.08803507486979166,0.007840351155512812,0.5362997055053711,20,0.2,-0.009438651613891125,0.012019304,,,
41,196608,4,4716,101.86,67859,0,34717,0.5605278015136719,-1.8617279707143704,-0.00938407037374418,0.0003,0.11842447916666667,0.01040898839419242,0.6317782402038574,30,0.2,-0.016385221853852272,0.013457094,,,
53,245760,5,4581,86.62,88621,0,46898,0.6339444518089294,-1.798956100953122,-0.00814602011420599,0.0003,0.10780232747395833,0.011444008527663148,0.6628440618515015,40,0.2,0.009183872491121292,0.011004739,,,
65,294912,6,4473,72.98,109862,0,60240,0.6453055739402771,-1.7480269126594066,-0.0076945621817988774,0.0003,0.10202229817708333,0.011876363362534902,0.6777756214141846,50,0.2,-0.011830780655145645,0.010775897,,,
78,344064,7,4394,65.79,131584,0,74911,0.7332777976989746,-1.6649559917549293,-0.007936059966353545,0.0003,0.10928955078125,0.011859510722570122,0.6722407937049866,60,0.2,-0.0010358672589063644,0.010654374,,,
90,393216,8,4340,64.01,154358,0,90629,0.7089443802833557,-1.5852204106748105,-0.007151997679829947,0.0003,0.10439249674479166,0.011957531050332667,0.6678216457366943,70,0.2,-0.003964513540267944,0.010690273,,,
102,442368,9,4297,48.41,178057,0,107184,0.633055567741394,-1.4844486533974608,-0.008426079590208246,0.0003,0.11876220703125,0.011560046830951857,0.6355068683624268,80,0.2,0.005661205854266882,0.011173989,,,
115,491520,10,4256,47.56,202832,0,123885,0.6579722762107849,-1.3898132773737113,-0.006374559392861556,0.0003,0.10522054036458334,0.011337495018475844,0.6109262108802795,90,0.2,-0.013562329113483429,0.010259338,,,
