time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
5,49152,1,9474,237.83,18302,0,2833,0.04953571408987045,,,,,,,,,,,,,
15,98304,2,6211,222.53,39462,0,5819,0.1343214362859726,-1.9352636254703006,-0.0028820103708615836,0.0003,0.06399129231770834,0.0005324910753036723,-0.00145721435546875,10,0.2,-0.01443302258849144,0.011212445,,,
26,147456,3,5553,192.54,60255,0,8762,0.23607143759727478,-1.9184387511884173,-0.007469328591165929,0.0003,0.103350830078125,0.0015841836330309888,0.27762120962142944,20,0.2,-0.009560796432197094,0.010184932,,,
37,196608,4,5291,155.4,82088,0,12234,0.4231428802013397,-1.892764774337411,-0.009155094703783107,0.0003,0.11878458658854167,0.003172432356010783,0.36511385440826416,30,0.2,-0.02556973695755005,0.010842101,,,
47,245760,5,5148,114.82,104363,0,16143,0.5593571066856384,-1.8471915202215314,-0.012516292879566512,0.0003,0.14726359049479168,0.006474531728235889,0.4698178172111511,40,0.2,-0.007844335399568081,0.011122212,,,
58,294912,6,5049,90.63,127414,0,20453,0.652571439743042,-1.7852376650397976,-0.015082822316617239,0.0003,0.171221923828125,0.00947377545501998,0.5537106990814209,50,0.2,-0.0006825271993875504,0.011295784,,,
69,344064,7,4976,72.15,151862,0,25331,0.732499897480011,-1.7041108602657915,-0.0180320728259782,0.0003,0.20370279947916667,0.011502515340058988,0.6308374404907227,60,0.2,-0.01218846533447504,0.014016059,,,
80,393216,8,4912,57.79,178555,0,30912,0.7936071157455444,-1.5945797267680366,-0.019073686375183266,0.0003,0.22725423177083334,0.011759591679826068,0.6679975986480713,70,0.2,-0.010438909754157066,0.014376241,,,
91,442368,9,4857,47.5,208250,0,36770,0.8212500214576721,-1.4422545439253251,-0.021015624776797873,0.0003,0.24973958333333332,0.010696322560397676,0.6643737554550171,80,0.2,-0.028845589607954025,0.016414946,,,
102,491520,10,4805,39.92,240281,0,42992,0.8475357890129089,-1.2822449137146275,-0.017596940791554515,0.0003,0.22273966471354167,0.008147062991095784,0.6547237038612366,90,0.2,-0.006453519221395254,0.015490414,,,
113,540672,11,4761,35.16,273941,0,49701,0.8546785712242126,-1.1168604579443733,-0.014336476969037903,0.0003,0.193115234375,0.006025478955901538,0.6234126687049866,100,0.2,0.00161165208555758,0.015410286,,,
124,589824,12,4722,31.57,309570,0,56316,0.8773214221000671,-0.9968304414922993,-0.009858199270941745,0.0003,0.1419677734375,0.004453739021604027,0.6166143417358398,110,0.2,-0.011027486994862556,0.009562968,,,
136,638976,13,4686,31.5,346293,0,63493,0.8874999284744263,-0.8608984326322874,-0.007598571265043574,0.0003,0.116595458984375,0.004010962892183064,0.590370774269104,120,0.2,-0.006518092006444931,0.0077288807,,,
