#{"t_start": 1773169173.2364075, "env_id": "None"}
r,l,t
0.62857145,104,0.309562
0.20357142,223,0.650339
0.19285715,226,0.658458
0.17857143,230,0.670083
0.125,245,0.712783
0.0,252,0.733857
0.0,252,0.733869
0.0,252,0.733875
0.0,252,0.733878
0.0,252,0.733882
0.0,252,0.733885
0.0,252,0.733888
0.0,252,0.733891
0.0,252,0.733894
0.0,252,0.733898
0.0,252,0.733901
0.0,252,0.733904
0.0,252,0.733907
0.0,252,0.733911
0.0,252,0.733914
0.0,252,0.733917
0.0,252,0.73392
0.0,252,0.733924
0.0,252,0.733927
0.61071426,109,0.963023
0.0,252,1.030404
0.34285715,184,1.236081
0.25,210,1.327779
0.19642857,225,1.370059
0.0,252,1.372969
0.0,252,1.384413
0.10357143,251,1.44317
0.0,252,1.447051
0.0,252,1.447063
0.0,252,1.447068
0.0,252,1.447072
0.0,252,1.447075
0.0,252,1.447078
0.0,252,1.44708
0.0,252,1.447083
0.0,252,1.447087
0.0,252,1.447089
0.0,252,1.447093
0.0,252,1.447095
0.0,252,1.447098
0.0,252,1.447101
0.0,252,1.447104
0.0,252,1.447108
0.0,2,1.455002
0.0,252,1.783273
0.0,252,1.844214
0.5321429,131,1.91073
0.40357143,167,1.935221
0.0,252,2.024512
0.30714285,194,2.071334
0.28214285,201,2.08393
0.0,252,2.105946
0.0,252,2.142942
0.0,252,2.15547
0.16785714,233,2.163332
0.0,252,2.207748
0.0,252,2.211117
0.0,252,2.211129
0.0,252,2.211134
0.0,252,2.211138
0.0,252,2.211143
0.0,252,2.211146
0.0,252,2.211149
0.0,252,2.211152
0.0,252,2.211156
0.0,252,2.211159
0.0,252,2.211162
0.0,252,2.211165
0.40714285,166,2.326154
0.0,74,2.395322
0.0,252,2.413301
0.0,252,2.472723
0.3607143,179,2.472735
0.525,133,2.543058
0.0,252,2.56303
0.45357144,153,2.593224
0.31785715,191,2.641157
0.15714286,236,2.660964
0.0,252,2.71355
0.0,252,2.736468
0.23571429,214,2.746555
0.0,252,2.773866
0.17857143,230,2.786508
0.0,252,2.786521
0.16071428,235,2.798975
0.0,252,2.841011
0.0,252,2.841023
0.0,252,2.841028
0.0,252,2.841032
0.0,252,2.841034
0.0,252,2.841038
0.0,252,2.841041
0.0,252,2.952168
0.3857143,172,3.023131
0.0,252,3.023144
0.0,252,3.04041
0.0,252,3.099508
0.0,252,3.09952
