time/fps,time/total_timesteps,shield/actions_allowed,rollout/ep_rew_mean,time/iterations,shield/actions_block_ignored,shield/actions_blocked,shield/constant_delta,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,shield/stage,shield/transition_timestep,shield/ignore_prob
8722,49152,12260,0.5642500519752502,1,0,8918,0.9,5,58.31,,,,,,,,,,,,,
5850,98304,26644,0.5980468988418579,2,0,19418,,16,56.93,0.0003,0.011672278746118536,10,0.014792633,0.2,0.11127115885416666,-1.9318437814712524,-0.00948626423535946,-0.023014787584543228,-0.015422344207763672,,,
5180,147456,41913,0.718566358089447,3,0,32385,,28,42.53,0.0003,0.013723467969005773,20,0.016447453,0.2,0.20314127604166668,-1.8916215559467673,-0.01886633848856339,-0.025711163878440857,0.7025421261787415,,,
4922,196608,57771,0.7264257669448853,4,0,47435,,39,37.12,0.0003,0.015188691029713179,30,0.014616893,0.2,0.20671183268229168,-1.8313682629416386,-0.02058870983237284,-0.008920620195567608,0.6814168691635132,,,
4752,245760,74195,0.6661327481269836,5,0,64858,,51,27.7,0.0003,0.013986758264460756,40,0.014548994,0.2,0.19981689453125,-1.7582227760305007,-0.017068561934017148,-0.018660355359315872,0.6002662181854248,,,
4653,294912,90988,0.6801953315734863,6,0,84102,,63,24.37,0.0003,0.012646966354077449,50,0.01329835,0.2,0.196905517578125,-1.6671095710868638,-0.01449633498195908,-0.020113110542297363,0.5456118583679199,,,
4575,344064,108992,0.6829727292060852,7,0,104779,,75,23.58,0.0003,0.01272465639121947,60,0.012048976,0.2,0.16769816080729166,-1.5813508418078224,-0.010381750424373119,-0.021936258301138878,0.4694158434867859,,,
4518,393216,127056,0.7249062061309814,8,0,127172,,87,22.14,0.0003,0.013884475582987459,70,0.010510166,0.2,0.13835042317708332,-1.4868903884664177,-0.007277050716341668,-0.005226442590355873,0.3952491879463196,,,
4466,442368,145585,0.7188788652420044,9,0,150809,,99,21.31,0.0003,0.014357408085440207,80,0.009824679,0.2,0.13425496419270833,-1.4030674070740738,-0.006225928392935506,-0.008171000517904758,0.36622679233551025,,,
4425,491520,165159,0.7165428996086121,10,0,174894,,111,19.19,0.0003,0.015747702663065865,90,0.0100814225,0.2,0.11237386067708334,-1.3239969290792941,-0.00402524707945607,-0.01318383775651455,0.33935481309890747,,,
