time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance
1,4,101.15,11657,0.0,49152,,,,,,,,,,
2,14,54.76,7010,0.0,98304,-0.023538831621408463,0.011496954,0.0003,-0.006544107295879561,10,0.2,0.00010207347961568302,-1.936606518489619,0.08059285481770834,-0.19963037967681885
3,23,32.78,6294,0.0,147456,-0.016669725999236107,0.0154472655,0.0003,-0.008096034664019196,20,0.2,0.0003528371870018532,-1.9032089695955317,0.1265625,0.01543956995010376
4,32,27.63,5974,0.00835714302957058,196608,0.0002701265912037343,0.011222206,0.0003,-0.005124161766131389,30,0.2,0.0003999157525394518,-1.864859153268238,0.13612467447916668,0.05841332674026489
5,42,24.98,5808,0.016285715624690056,245760,0.01123891957104206,0.018039973,0.0003,-0.005090325393878933,40,0.2,0.0008975978602810149,-1.870847945412,0.16206258138020832,0.17855030298233032
6,51,41.6,5701,0.033714283257722855,294912,-0.011780815199017525,0.009524844,0.0003,-0.003870453345674226,50,0.2,0.0013400663154053897,-1.8799238448341689,0.09476521809895834,0.29207783937454224
7,61,60.32,5634,0.10003571212291718,344064,-0.01486931275576353,0.018365404,0.0003,-0.008253197032414998,60,0.2,0.003304172793802233,-1.8746205987408757,0.16236165364583333,0.3745653033256531
8,70,63.0,5575,0.38857147097587585,393216,-0.009258768521249294,0.015482468,0.0003,-0.01155035446245165,70,0.2,0.006574222967901733,-1.8294714000076056,0.17936808268229168,0.4837101101875305
9,79,57.89,5531,0.5282857418060303,442368,-0.01268705539405346,0.014408983,0.0003,-0.01584122141757689,80,0.2,0.011363820754680395,-1.7484325288484495,0.19722086588541668,0.5541733503341675
10,89,46.51,5499,0.6349642872810364,491520,-0.0005570258945226669,0.013921112,0.0003,-0.01984336615726837,90,0.2,0.01608183636368873,-1.6366960358495513,0.21237386067708333,0.6326016187667847
11,98,42.04,5468,0.7301428318023682,540672,-0.016179518774151802,0.014670459,0.0003,-0.021724028225435177,100,0.2,0.017798199901396097,-1.5143268855909506,0.23356730143229168,0.6336579322814941
12,108,34.23,5443,0.7638214826583862,589824,-0.025741402059793472,0.015911937,0.0003,-0.021334224029972877,110,0.2,0.015849175703867027,-1.3612243053813775,0.23367106119791667,0.6024271249771118
13,117,29.96,5421,0.8087142705917358,638976,-0.010788514278829098,0.016424205,0.0003,-0.018560870435734008,120,0.2,0.015596634748605235,-1.174293623616298,0.23079427083333334,0.5121810436248779
14,127,26.77,5398,0.8367500305175781,688128,-0.010951045900583267,0.015553385,0.0003,-0.01286650799641696,130,0.2,0.01266479009379206,-0.9877737853055198,0.18893839518229166,0.4464714527130127
15,137,26.1,5365,0.8512142300605774,737280,0.0055326190777122974,0.010028868,0.0003,-0.008561513730273872,140,0.2,0.01127921824384733,-0.8272895172859231,0.14148966471354166,0.41510695219039917
16,147,23.22,5338,0.8400356769561768,786432,0.0030008750036358833,0.00713879,0.0003,-0.005820760632498908,150,0.2,0.012315829869233614,-0.7298408193513751,0.10141194661458333,0.3562236428260803
17,157,22.81,5315,0.8804286122322083,835584,-0.0023720692843198776,0.005805772,0.0003,-0.003838043887420402,160,0.2,0.01207554662663218,-0.6147021948670347,0.07207234700520833,0.3299561142921448
18,167,23.5,5292,0.8592499494552612,884736,0.0068695819936692715,0.0051097833,0.0003,-0.002717298041413111,170,0.2,0.011585913565310572,-0.5332315138541162,0.06331990559895834,0.3051760792732239
19,177,21.64,5273,0.8656070828437805,933888,-0.0038179485127329826,0.004550509,0.0003,-0.0024686385781024,180,0.2,0.01089524181758558,-0.49680151234691344,0.056382242838541666,0.29887282848358154
20,187,21.58,5256,0.8566428422927856,983040,0.008978838101029396,0.0042767995,0.0003,-0.0022376474603030753,190,0.2,0.012746797515622651,-0.4407068487567206,0.05206298828125,0.28026753664016724
21,196,22.01,5240,0.9020358324050903,1032192,0.0023921832907944918,0.0038275116,0.0003,-0.0021855693671871752,200,0.2,0.011805266507993413,-0.40470011288610597,0.043817138671875,0.27964991331100464
22,206,20.64,5225,0.8684999942779541,1081344,0.001125055830925703,0.0036063574,0.0003,-0.0020624473575783973,210,0.2,0.011196786910295487,-0.327104404863591,0.039839680989583334,0.2837090492248535
23,216,21.26,5219,0.9046428799629211,1130496,-0.0008091744966804981,0.003352145,0.0003,-0.0017702831480770934,220,0.2,0.011157944248407149,-0.29246913702227173,0.033966064453125,0.28483378887176514
24,226,19.65,5216,0.8623213768005371,1179648,0.010096183978021145,0.0034248016,0.0003,-0.001412023180819233,230,0.2,0.010524101748342219,-0.2643914091323192,0.030605061848958334,0.29168546199798584
25,235,21.04,5210,0.8761428594589233,1228800,0.002202478237450123,0.0025232432,0.0003,-0.0011217299573521207,240,0.2,0.011334719521983061,-0.24140023180128387,0.026603190104166667,0.2609935402870178
26,245,20.65,5206,0.8793214559555054,1277952,0.0019010920077562332,0.0028274942,0.0003,-0.0014655110858560268,250,0.2,0.010851795312555623,-0.22180199621555705,0.023384602864583333,0.2740058898925781
27,255,19.75,5202,0.8606786131858826,1327104,-0.0026068855077028275,0.013190396,0.0003,-0.001654158172429258,260,0.2,0.01177325908029161,-0.21311541084044924,0.03163859049479167,0.25248080492019653
28,264,20.39,5199,0.8700714111328125,1376256,0.0027945912443101406,0.003871138,0.0003,-0.002071767671289611,270,0.2,0.012117634504465968,-0.22121068340881417,0.030126953125,0.27538448572158813
29,274,19.6,5195,0.9004285335540771,1425408,0.012030322104692459,0.0020148715,0.0003,-0.001810082191514084,280,0.2,0.012880488501590055,-0.21423176131987323,0.024936930338541666,0.26675206422805786
30,283,21.1,5193,0.8964285850524902,1474560,0.004332468379288912,0.0024927792,0.0003,-0.001818248223298724,290,0.2,0.01101408667521658,-0.19117347518913447,0.0265625,0.2940182089805603
31,293,19.29,5189,0.8625714778900146,1523712,0.0027608112432062626,0.0061259405,0.0003,-0.0010364124699359914,300,0.2,0.012079437072679866,-0.17768123880960046,0.01845703125,0.25921326875686646
32,303,20.17,5185,0.8891429305076599,1572864,-0.005797034129500389,0.0030999768,0.0003,-0.0012039026567132775,310,0.2,0.010604341579649675,-0.1972907869766156,0.024104817708333334,0.27104324102401733
33,312,20.1,5182,0.8807498812675476,1622016,0.016893837600946426,0.0015691696,0.0003,-0.0009202138653563452,320,0.2,0.010826957400846974,-0.1896830522377665,0.019167073567708335,0.2718713879585266
34,322,19.7,5179,0.8338927626609802,1671168,0.002123901154845953,0.004603501,0.0003,-0.0013081011590960164,330,0.2,0.010901088427150778,-0.17937118062594284,0.021956380208333334,0.26434463262557983
35,332,20.16,5177,0.9001072645187378,1720320,6.96871429681778e-05,0.003025477,0.0003,-0.0016986490081004983,340,0.2,0.013593264584900074,-0.1803960580378771,0.025758870442708335,0.24116194248199463
36,341,20.66,5176,0.8495357036590576,1769472,0.009884570725262165,0.0029101453,0.0003,-0.0012956925054216602,350,0.2,0.011223010735435916,-0.17303713848038266,0.021197509765625,0.2723778486251831
37,351,21.15,5174,0.8563570380210876,1818624,0.003385111689567566,0.0053427652,0.0003,-0.001513143819738616,360,0.2,0.010856716101867885,-0.17610150737067062,0.023301188151041666,0.26631540060043335
