time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance
1,4,28.18,10380,0.0,49152,,,,,,,,,,
2,14,35.85,6581,0.0,98304,-0.022543519735336304,0.021333344,0.0003,-0.004544166972967408,10,0.2,0.0003592765766455841,-1.935909406716625,0.12673746744791667,-0.11219382286071777
3,25,55.33,5883,0.0196992177516222,147456,-0.007310144603252411,0.016274324,0.0003,-0.004960041029577648,20,0.2,0.0005009004766321823,-1.9189519604668022,0.11880086263020834,0.11090892553329468
4,34,72.23,5624,0.010628906078636646,196608,-0.0033000209368765354,0.009924974,0.0003,-0.005402100577369614,30,0.2,0.0007209279505199598,-1.901075568733116,0.10140380859375,0.2928687334060669
5,44,69.98,5482,0.05775780975818634,245760,0.0018494126852601767,0.009819574,0.0003,-0.006435594138656598,40,0.2,0.0011856055967806847,-1.8801090593760212,0.11312459309895834,0.41936182975769043
6,54,74.75,5411,0.2053828090429306,294912,-0.005101343151181936,0.011059987,0.0003,-0.009432442694924248,50,0.2,0.0029516949975610866,-1.8501940458392103,0.135516357421875,0.5663896799087524
7,64,59.67,5361,0.27754688262939453,344064,0.004046481102705002,0.012651802,0.0003,-0.01454898003830749,60,0.2,0.005518191496836759,-1.817132212407887,0.16586507161458333,0.6431525945663452
8,73,54.32,5317,0.42003902792930603,393216,-0.030788948759436607,0.015488335,0.0003,-0.017215931959435694,70,0.2,0.008230314382914609,-1.760011009251078,0.20652872721354168,0.6672912836074829
9,83,45.43,5282,0.5427148342132568,442368,-0.010509113781154156,0.01460062,0.0003,-0.020690638035254474,80,0.2,0.011923454478286051,-1.6761027274032434,0.217156982421875,0.704008162021637
10,93,36.67,5234,0.5686249732971191,491520,-0.006495104171335697,0.01537921,0.0003,-0.02153412272297525,90,0.2,0.014259520398142437,-1.5607929565012455,0.2291015625,0.706316351890564
11,103,33.91,5202,0.7174649238586426,540672,-0.02235303446650505,0.016462684,0.0003,-0.020771060004456863,100,0.2,0.014775752301890559,-1.410891867056489,0.24908447265625,0.6653351783752441
12,113,28.21,5186,0.6221796870231628,589824,-0.006708693690598011,0.015898002,0.0003,-0.017257331985092605,110,0.2,0.016281582061977436,-1.248848482221365,0.234173583984375,0.5841206908226013
13,123,25.17,5168,0.766011655330658,638976,-0.006327684037387371,0.012716085,0.0003,-0.011304376623714536,120,0.2,0.01740178788556174,-1.0916897537186743,0.16980794270833333,0.4974425435066223
14,133,22.6,5152,0.7544844746589661,688128,-0.007356344256550074,0.010820399,0.0003,-0.0077699554084877795,130,0.2,0.01595799329613025,-0.9482017675104241,0.132489013671875,0.44353461265563965
15,143,21.49,5137,0.7204960584640503,737280,0.0055841803550720215,0.0076426216,0.0003,-0.005294731241459279,140,0.2,0.01736199770384701,-0.8238125667907298,0.1157958984375,0.39663445949554443
16,153,20.53,5125,0.6638709902763367,786432,0.0009930133819580078,0.005800959,0.0003,-0.003872835487466849,150,0.2,0.0189777593955417,-0.7269870978159209,0.084228515625,0.34849274158477783
17,163,19.91,5113,0.7363672852516174,835584,0.014113297685980797,0.0056437044,0.0003,-0.002674413364790477,160,0.2,0.020352724352172422,-0.6432417321950197,0.074151611328125,0.32625603675842285
18,173,18.9,5102,0.725769579410553,884736,0.0030987216159701347,0.004344888,0.0003,-0.0021947111532426788,170,0.2,0.021455859303144583,-0.5781749394411843,0.057073974609375,0.3109498620033264
19,183,20.31,5091,0.7828867435455322,933888,5.081482231616974e-05,0.00437822,0.0003,-0.0023050830844416246,180,0.2,0.019998469429750306,-0.5024568885564804,0.05655110677083333,0.31154942512512207
20,193,18.58,5082,0.7275624871253967,983040,0.0076085468754172325,0.0037953344,0.0003,-0.0011180266923474847,190,0.2,0.021437736974621657,-0.47479778801401457,0.045334879557291666,0.2914404273033142
21,203,18.68,5074,0.7180546522140503,1032192,0.0050644949078559875,0.0033224577,0.0003,-0.0014981797552536592,200,0.2,0.018447364077777213,-0.42243858650326727,0.04018961588541667,0.309939444065094
22,213,19.02,5065,0.8156640529632568,1081344,0.00032377708703279495,0.0035668158,0.0003,-0.0016276110391117982,210,0.2,0.01918870099034393,-0.3908173469516138,0.04342447916666667,0.2934144139289856
23,223,19.16,5060,0.7669999599456787,1130496,0.005067186430096626,0.0066955215,0.0003,-0.0015373628919405746,220,0.2,0.018917091933690244,-0.3489018050022423,0.039174397786458336,0.2955717444419861
24,233,18.37,5054,0.7284414172172546,1179648,0.0013229390606284142,0.004563518,0.0003,-0.0015291580952786414,230,0.2,0.020573441620460167,-0.32636701222509146,0.03655802408854167,0.283283531665802
25,243,18.38,5046,0.8072109818458557,1228800,0.009805294685065746,0.0033876735,0.0003,-0.0014380326901421844,240,0.2,0.020864982160370953,-0.2985589480958879,0.034588623046875,0.2766430974006653
26,253,18.6,5039,0.7685116529464722,1277952,0.005931024439632893,0.0029702708,0.0003,-0.0018980264131945054,250,0.2,0.019590855396381814,-0.2668386594392359,0.032196044921875,0.28037166595458984
27,263,19.74,5033,0.861339807510376,1327104,0.0057342154905200005,0.0019730686,0.0003,-0.00091443532167735,260,0.2,0.019545117733893374,-0.25448615952239684,0.023531087239583335,0.2823485732078552
28,273,17.21,5027,0.7617109417915344,1376256,0.0050203511491417885,0.002496091,0.0003,-0.0007913674467696789,270,0.2,0.018043183440507468,-0.22943186371121554,0.023724365234375,0.28387701511383057
29,283,17.25,5023,0.7420976758003235,1425408,0.007276974618434906,0.002891173,0.0003,-0.00111959972139933,280,0.2,0.01829652250307845,-0.21876705253962428,0.025362141927083335,0.27588874101638794
30,293,19.02,5018,0.7971406579017639,1474560,0.012859633192420006,0.004419282,0.0003,-0.001550472921007895,290,0.2,0.020484459093616656,-0.21848971426176528,0.026509602864583332,0.2643110156059265
31,303,18.26,5013,0.7691092491149902,1523712,0.004945071414113045,0.005000659,0.0003,-0.0013841476442394197,300,0.2,0.02038302581058815,-0.19538441002368928,0.026298014322916667,0.26289308071136475
32,313,20.08,5010,0.8309882879257202,1572864,0.010882788337767124,0.003658438,0.0003,-0.0006669186991227131,310,0.2,0.01869861283048522,-0.1925701626576483,0.022245279947916665,0.27055656909942627
33,323,18.28,5006,0.7496719360351562,1622016,0.010369479656219482,0.0021372072,0.0003,-0.0008536807151055351,320,0.2,0.01687995240378465,-0.17974094594828785,0.017319742838541666,0.2734909653663635
34,334,17.58,5003,0.741570234298706,1671168,0.009741127490997314,0.00415141,0.0003,-0.0010117600935700467,330,0.2,0.019234176850053093,-0.18225478233459094,0.021539306640625,0.26681220531463623
35,344,18.42,4999,0.7777382731437683,1720320,0.00832567922770977,0.004005224,0.0003,-0.0012677744448713686,340,0.2,0.018150252630342343,-0.17847843086346984,0.024574788411458333,0.2815551161766052
36,354,20.15,4996,0.8321132659912109,1769472,0.006866707932204008,0.004586031,0.0003,-0.0009296407775764237,350,0.2,0.016362289949999345,-0.18321266695857047,0.021110026041666667,0.28697848320007324
37,364,16.98,4993,0.7532929182052612,1818624,0.010556643828749657,0.003964294,0.0003,-0.0007467948078556219,360,0.2,0.018554411814936125,-0.1775854836916551,0.018806966145833333,0.2736095190048218
38,374,18.99,4987,0.8440820574760437,1867776,0.00800763163715601,0.0018515369,0.0003,-0.0010432951440331331,370,0.2,0.018713623533403733,-0.16762959451880305,0.01895751953125,0.2765454053878784
39,384,17.8,4983,0.7437149286270142,1916928,0.009862381033599377,0.0018336034,0.0003,-0.0009502644660036216,380,0.2,0.018503928884213868,-0.16077053350551676,0.016090901692708333,0.276496946811676
40,394,16.71,4980,0.7046991586685181,1966080,0.009129451587796211,0.0015908383,0.0003,-0.00091189391308338,390,0.2,0.018406967341919274,-0.15071062153050055,0.016241455078125,0.2611975073814392
41,404,16.69,4977,0.7054374814033508,2015232,0.007063317112624645,0.003433509,0.0003,-0.0008039982991249417,400,0.2,0.020206739284427993,-0.15928106710780413,0.015309651692708334,0.26991719007492065
42,414,18.02,4977,0.7789688110351562,2064384,0.011477641761302948,0.0030471033,0.0003,-0.0009344715111183177,410,0.2,0.01954736033876543,-0.16181693632000435,0.017525227864583333,0.27471309900283813
43,424,17.91,4976,0.7690742015838623,2113536,0.010976490564644337,0.002277882,0.0003,-0.0013989261095351442,420,0.2,0.01938405109322048,-0.16200436309445648,0.02291259765625,0.2729039192199707
44,434,19.42,4976,0.8054178357124329,2162688,0.014340760186314583,0.002369164,0.0003,-0.0012538903854268332,430,0.2,0.017404883091512603,-0.1540335089278718,0.017734781901041666,0.2782225012779236
45,444,17.62,4975,0.7421327829360962,2211840,0.0089276023209095,0.0031310313,0.0003,-0.001047097856947706,440,0.2,0.017728725851338823,-0.14819453800640378,0.018088785807291667,0.28431862592697144
46,454,18.54,4974,0.7788984179496765,2260992,0.006394732277840376,0.0059030442,0.0003,-0.001283419089728947,450,0.2,0.018999484025941153,-0.1425236065289937,0.018336995442708334,0.27249133586883545
47,464,17.58,4973,0.7811132669448853,2310144,0.010179420001804829,0.0036582581,0.0003,-0.0007825541502825218,460,0.2,0.019460634666514428,-0.14068995794902245,0.015372721354166667,0.2663753032684326
48,474,19.59,4972,0.7544336915016174,2359296,0.0056230309419333935,0.0045384136,0.0003,-0.0014598112704940528,470,0.2,0.01712214455983485,-0.16376254244629915,0.0418701171875,0.2826114892959595
49,484,18.8,4972,0.7670000195503235,2408448,0.008612074889242649,0.012285932,0.0003,-0.002546636923367866,480,0.2,0.017198320280052335,-0.18050327332069477,0.050130208333333336,0.2785067558288574
50,494,17.6,4971,0.7400233745574951,2457600,0.005760767497122288,0.055311654,0.0003,-0.0019871503694654773,490,0.2,0.019868201872789846,-0.15212652711973837,0.03390096028645833,0.2764512300491333
51,504,18.83,4970,0.7977030873298645,2506752,0.009114366956055164,0.0045460626,0.0003,-0.000597989489021226,500,0.2,0.017766373660803463,-0.14852444506638374,0.019529215494791665,0.2872939109802246
52,514,17.63,4970,0.7603046894073486,2555904,0.0032861223444342613,0.0022711453,0.0003,-0.0009057598964621623,510,0.2,0.017473559580927635,-0.14017415336566047,0.014658610026041666,0.2890879511833191
53,524,16.28,4969,0.7161756753921509,2605056,0.008431008085608482,0.0029783752,0.0003,-0.0012459568528356614,520,0.2,0.018690009447648967,-0.14965446140849964,0.019130452473958334,0.27573639154434204
54,534,17.33,4969,0.7820976376533508,2654208,-0.0026767784729599953,0.0027417724,0.0003,-0.0011275461990104911,530,0.2,0.017283598194262596,-0.13881523232363785,0.017838541666666666,0.2907354235649109
55,544,16.29,4968,0.7263515591621399,2703360,0.0023887725546956062,0.003961335,0.0003,-0.0010504567692502557,540,0.2,0.017170804316507807,-0.14065230454240615,0.019588216145833334,0.28101158142089844
56,554,18.05,4968,0.7403397560119629,2752512,-0.00047778431326150894,0.0048911236,0.0003,-0.001038632065440955,550,0.2,0.018399749319602657,-0.1371879283610421,0.018951416015625,0.27560555934906006
57,563,16.07,4967,0.7262812256813049,2801664,0.010851453058421612,0.0071410113,0.0003,-0.000961822781664523,560,0.2,0.01824409240264989,-0.13314723666602124,0.017118326822916665,0.2724011540412903
58,573,17.64,4967,0.8300936818122864,2850816,0.009020766243338585,0.0012674629,0.0003,-0.000781349821954791,570,0.2,0.017234976274873286,-0.130710229719989,0.015694173177083333,0.28592681884765625
59,583,18.76,4967,0.8356993794441223,2899968,0.005353308282792568,0.0021514867,0.0003,-0.0007704205208331889,580,0.2,0.01822783189685045,-0.13715668823958063,0.016080729166666665,0.2706596255302429
60,593,18.62,4966,0.8166483044624329,2949120,0.004398596938699484,0.0020077734,0.0003,-0.0009791035847229069,590,0.2,0.017267999276373302,-0.12795408635865896,0.01590576171875,0.2759990692138672
61,603,21.12,4966,0.8196171522140503,2998272,0.0006236480548977852,0.0045707785,0.0003,-0.0013034046981071393,600,0.2,0.016811164277169156,-0.16270565532613546,0.03686726888020833,0.28748011589050293
62,613,18.08,4966,0.789812445640564,3047424,0.011817706748843193,0.02358593,0.0003,-0.002199360398541709,610,0.2,0.01814693171302982,-0.16141842209811633,0.051106770833333336,0.27068281173706055
63,623,19.3,4965,0.7751014828681946,3096576,0.006014055572450161,0.017632023,0.0003,-0.001630284736287043,620,0.2,0.016804863656216185,-0.14701409121820083,0.03060302734375,0.28971946239471436
64,633,19.78,4965,0.8251367807388306,3145728,0.013185620307922363,0.002620091,0.0003,-0.0012851944757130696,630,0.2,0.01740038882223113,-0.1515244664119867,0.023927815755208335,0.27660828828811646
65,643,17.76,4965,0.720339834690094,3194880,0.004710865207016468,0.053676914,0.0003,-0.0018634311001126966,640,0.2,0.01720684791155994,-0.13264651663290958,0.023958333333333335,0.2786180377006531
66,653,18.36,4965,0.7579843401908875,3244032,0.007641746662557125,0.0043669394,0.0003,-0.0015531461714696586,650,0.2,0.01905632931884611,-0.13002807133598254,0.0202880859375,0.2770038843154907
67,663,17.23,4965,0.7515703439712524,3293184,0.011687996797263622,0.002962216,0.0003,-0.001143273995300357,660,0.2,0.01859556638422267,-0.12992428365784386,0.014298502604166667,0.2812332510948181
68,673,16.56,4964,0.7450507283210754,3342336,0.010173600167036057,0.0018254019,0.0003,-0.0008196200701907704,670,0.2,0.018273197126109152,-0.13546617128886282,0.0139404296875,0.2820729613304138
69,683,17.32,4963,0.7614999413490295,3391488,0.00520704872906208,0.005163841,0.0003,-0.0011147927449201233,680,0.2,0.01817335324473485,-0.14251629885984585,0.019582112630208332,0.28339684009552
70,693,20.07,4962,0.7913398146629333,3440640,0.006069330498576164,0.010330786,0.0003,-0.0018489217800379265,690,0.2,0.02005410613225346,-0.16603011112893,0.0440673828125,0.27061957120895386
